,Soroti,Mbale
0,5.722318971851242,5.722318971851242
1,5.779300962010302,5.874231226657774
2,5.934618135666965,5.999119475863482
3,6.056455533668441,5.996356259907167
4,6.052053768235239,5.991297558814167
5,6.044489561326891,5.983435180334269
6,5.993799400221612,6.022404210803276
7,6.00134660082542,5.938288464858283
8,5.716820491491519,5.629472606775861
9,5.53261792194791,5.373399411927151
10,5.372561740665815,5.372561740665815
11,5.422704208118649,5.368581761113166
12,5.418839245740309,5.526976439104388
13,5.520357303853989,5.567445339952891
14,5.417449185415537,5.467556005469715
15,5.354824637015098,5.294200015198664
16,5.342936347741292,5.399799209635835
17,5.157147897923041,5.221686419060612
18,5.149173800831313,5.151747804826485
19,5.146349104755109,5.147636934939538
20,5.222295398136079,5.1529607047350146
21,5.144123700227983,5.138928883350879
22,5.149262200584922,5.149262200584922
23,5.149232731651864,5.149232731651864
24,5.1722953950349995,5.144268082780344
25,5.179917146043915,5.139302426889725
26,5.178569006359618,5.132759470328324
27,5.126191201696839,5.126191201696839
28,5.047672013900172,5.123795709372973
29,5.039616508713424,5.039616508713424
30,5.111724038485514,5.106418986255821
31,5.029877546190572,5.088471710456624
32,4.998536503897752,5.072644476051474
33,4.913103824050048,5.067713746135665
34,4.666220668449808,4.852632210495289
35,4.549307094916364,4.576458083982315
36,4.649584580173736,4.603064564538843
37,4.637137876021543,4.637137876021543
38,4.514828111541494,4.630512510540956
39,4.562665145881269,4.562665145881269
40,4.705910298417414,4.74422916271955
41,4.706655943919254,4.752465479950549
42,4.723078615563656,4.943140500340458
43,4.944059829839408,4.944059829839408
44,4.949208222765956,4.949208222765956
45,5.019239533194721,5.127453117834954
46,5.029341970386531,5.131306897043219
47,5.109427877309861,5.135136234020068
48,5.270238230515075,5.279048860197229
49,5.400438500735804,5.289896626335981
50,5.223509773156054,5.286030130137388
51,5.210398843775247,5.27784012457078
52,5.528341086086172,5.61253317730652
53,5.523180964090592,5.609203151428446
54,6.016729375660117,5.6081538451375605
