,Tororo,Eldoret
0,6.296387032703314,6.5975990927843515
1,6.320586014466734,6.529172917320767
2,6.344213214797799,6.542853543726102
3,6.363161473397284,6.575399588706978
4,6.481904996602015,6.566243885146357
5,6.429551051454128,6.562791194386278
6,6.1874863909384645,6.6083439324601665
7,6.2517202319590135,6.565447817194299
8,6.357125011186533,6.573465456687939
9,6.342784438973655,6.489935121849543
10,6.3932870748988515,6.455646589205965
11,6.388736192476026,6.394382903282802
12,6.47410698873742,6.2974354618860255
13,6.512793301594033,6.242893982776978
14,6.547504969030527,6.292614325884049
15,6.541587156469973,6.323245129490702
16,6.441994004612874,6.351516813718182
17,6.374409866289913,6.3927406716863295
18,6.294226504471901,6.387398856375553
19,6.289492503883714,6.427257504704034
20,6.394385161243428,6.48159495742286
21,6.540097754301309,6.618715381050426
22,6.577578956256621,6.596195810441369
23,6.6115778845739985,6.58279703260344
24,6.638905517956219,6.634620509036087
25,6.641214923006386,6.642439167868435
26,6.825240168977693,6.688841229613597
27,6.834685450311611,6.690197077351437
28,6.843377829081585,6.735312768732915
29,6.848876293235224,6.732615095060158
30,6.55213886379743,6.831905765651529
31,6.319800331943955,6.690545688143479
32,6.32383068556651,6.693505028047079
33,6.367735363778243,6.642163593156939
34,6.368444483235205,6.637693422977616
35,6.363348068111329,6.632377649562559
36,6.402890709992056,6.63866360280412
37,6.39953937633255,6.61629104235757
38,6.51408323407154,6.649234530454639
39,6.510595339523157,6.630725493818413
40,6.421128797400659,6.6387771033736165
41,6.29596660706919,6.604964871670312
42,6.203880881695268,6.627477743147643
43,6.222371379818112,6.723849723317328
44,6.296693428683594,6.742109040732414
45,6.286661969353938,6.733019947164562
46,6.293222309231491,6.785883385452971
47,6.338144228160699,6.744265597927602
48,6.493716170514268,6.730807116111072
49,6.524300611548169,6.701018483002359
50,6.520355067806187,6.6886338926961315
51,6.644707197559189,6.695339231698333
52,6.542805529109412,6.589572339532062
53,6.30130810535935,6.582430915839419
54,6.00530430091895,6.540337784534935
55,6.022433748000113,6.473177489950581
56,6.06290222022528,6.421041544792106
57,5.986883014610757,6.367348986724408
58,6.050321702162092,6.309279455127117
59,6.0338106882295675,6.284368678675764
60,6.0801275808179795,6.2793163966829475
61,6.1204853011356875,6.300100662450232
62,6.126011951115102,6.3317383350390655
63,6.024536245390805,6.315544108809236
64,5.911409693228261,6.271993364470966
65,5.921652255211821,6.252926015396951
66,5.924889082851135,6.282559986496706
67,6.0478205114340655,6.305925055153349
68,6.146022698829527,6.43036633939427
69,6.246782991763333,6.407574454727711
70,6.253849702009266,6.433428729692819
71,6.359961571765939,6.399875275589595
72,6.372508573657649,6.44589514813056
73,6.364233547174291,6.460883859100299
74,6.530603093066148,6.539691414987289
75,6.496239502871641,6.599507788191578
76,6.385439196322043,6.767628949632836
77,6.468615407132018,6.76523353529331
