,Arusha,Mombasa
0,5.3161332504449055,5.663050592336632
1,5.313708138404248,5.665145711442798
2,5.30891085511358,5.672257771114077
3,5.731657082610951,5.651678900329039
4,5.7245594047698205,5.616937775018008
5,5.721962954176504,5.559612094317776
6,5.617142605034944,5.508948156693528
7,5.400440642658901,5.6263395456444005
8,5.399964071637734,5.628726783762941
9,5.39768511652383,5.623469969304146
10,5.296231023149782,5.648495052856374
11,5.291335463523213,5.645324684896288
12,5.395121450512922,5.642164336412144
13,5.3918837370684916,5.701232614430102
14,5.357856917668446,5.7330818821748855
15,5.39836341672408,5.75819389314574
16,5.403761418458451,5.732670950171132
17,5.43679595632625,5.6348541569084265
18,5.44444472114339,5.726462901680004
19,5.534579538846854,5.720646562679751
20,5.649944168589701,5.715593832472825
21,5.75282669928617,5.709519147946396
22,5.794338779709701,5.7042127310879
23,5.827777437084094,5.698466882606674
24,5.869704669993074,5.828932639445087
25,5.930973454855508,5.8083487644079135
26,5.986426665467563,5.798502773635724
27,6.031250271040776,5.894760727380856
28,6.11528598802862,5.931263106852228
29,6.111559480006191,6.044876058755317
30,6.268523178429757,6.040135130622588
31,6.261541545051247,6.08743755590237
32,6.1877713548258875,6.156595783368672
33,6.183889545754441,6.106228931967803
34,6.006220888349961,6.10914137552613
35,5.7846371836482176,6.0124208253056635
36,5.497595701740491,6.0093684917455406
37,5.514044262101511,5.798358695976124
38,5.499299789558962,5.8025463916065
39,5.4992076023025565,5.731476442585433
40,5.412854321800954,5.615090218675191
41,5.408898442850501,5.585998293645282
42,5.380760254795821,5.625046498777687
43,5.54110921613512,5.6259706148010675
44,5.53579587677543,5.562411186352244
45,5.4499121698897035,5.488603902297297
46,5.259386746576515,5.481896746596045
47,5.257175820927511,5.478688512148342
48,5.25021947087972,5.442339363857878
49,5.3430828702914175,5.404987014890031
50,5.34498329758997,5.476969285325734
51,5.391339105961063,5.51190955272393
52,5.253218435175246,5.516384814767096
53,5.031718853651894,5.451887323360883
54,4.900092483650358,5.452128345910097
55,4.902001142312378,5.298810832680764
56,4.901519197262282,5.247015270894869
57,4.739282205158855,5.197511226331219
58,4.9023315780284715,5.288499750771752
59,4.969585316326035,5.110171222312179
60,5.029941707869589,5.106058887618105
61,5.028424999593834,5.198150143915265
62,5.025798518342362,5.274217653954362
63,5.136507602734529,5.348390814951041
64,5.188366307921746,5.3505638617977445
65,5.218885617578165,5.352724675040466
66,5.184950383554069,5.352533414353242
67,5.114944618859133,5.360036012356825
68,5.1628664932766215,5.313287179888288
69,5.1313885312131235,5.344731837670846
70,5.128853674501414,5.336953762447899
71,5.141140312830274,5.476130764378098
72,5.2216896097719925,5.755085558829836
73,5.240051789536639,5.807565399260921
74,5.213997725698514,5.729077884469241
75,5.3096563986669185,5.7270804619194875
76,5.685438107137704,5.746629404694002
77,5.746956373572211,5.743367757715662
78,5.686171358715641,5.743795460590952
79,5.807795590512352,5.74005315666646
80,5.688434236107429,5.7270849619597355
81,5.808464115211822,5.645532246460546
82,6.042551197210232,5.592702952799393
83,5.823283862802259,5.6137081930822825
