,Rubavu,Ngozi
0,5.858034478256338,5.914724628175666
1,5.855304708224462,6.0463516042297485
2,5.877860055279372,6.1562859289462635
3,5.9633141024487895,6.26880949077588
4,5.926263505101222,6.233048551417794
5,5.80672603062696,6.291324244122646
6,5.679877046209603,6.190009375416296
7,5.644133290424894,6.080106540280961
8,5.68332221695433,6.083595854626639
9,5.745570824194382,6.278549747862325
10,5.744499160299211,6.277044715576592
11,5.748902380419817,6.265595796077003
12,5.901412347891585,6.281201403477482
13,5.909609747127564,6.075748554299915
14,5.88138860820022,6.077610732578964
15,5.885449001183037,5.89961513316127
16,5.91023385747563,6.018392984072269
17,5.877949466551875,5.95475143657423
18,5.807430327510093,6.059859588631684
19,5.83024134348357,6.149972230191106
20,5.8552996144266825,6.143099350156119
21,5.8103414162114975,6.229229698805654
22,5.739689784605746,6.228869104423331
23,5.735005921817984,6.229294545621591
24,5.813501572369873,6.319924866041962
25,6.041301566473711,6.237235662910681
26,6.04049528549609,6.243342928811339
27,6.040736731833174,6.24830284061415
28,6.036111802048236,6.254981189231674
29,5.816209009947213,5.93648210791234
30,5.740604296024,5.93868912606712
31,5.795127212715662,5.871986130189663
32,5.814299381335753,5.872393469021647
33,5.943595759656696,5.801812236955429
34,5.857796833267144,5.865792788148753
35,5.879649152474358,5.719727094610259
36,5.825769074935162,5.643382971643061
37,5.754544091838312,5.5646538286159455
38,5.808523324099377,5.567933976927659
39,5.783547979374717,5.739145179503344
40,5.809637653017458,5.883119626063513
41,5.994437243245431,5.8892268125399205
42,5.884387792858654,5.676875716929893
43,5.850952166038857,5.767163274813551
44,5.861096686347354,5.768670592030551
45,5.910794225524063,5.917726034587793
46,5.8441516037878545,5.908180115972894
47,5.967701835382549,5.968201480598184
48,5.8648528666519715,5.9068882957854605
49,5.875312136219787,5.9068882957854605
50,5.869122619354873,6.024504345490049
51,5.793008395529098,6.018907569523006
52,5.8659538057791005,5.898069736281122
53,5.710285544700385,5.901934983382253
54,5.70659767384503,5.894725429555528
55,5.750670923712082,6.111845806410822
56,5.770783640589093,6.105520464663054
57,5.851113251675497,6.092602194811349
58,5.971516224160776,6.090356517873804
59,5.788494904457711,6.090018822849641
60,5.803054381132683,6.15223723321203
61,5.882112264482592,6.081504425209332
62,5.802729270206766,5.994140488272787
