,Ruhengeri,Ngozi
0,5.902075447499353,6.274015287068532
1,5.90847120073121,6.369134044251951
2,5.909609747127564,6.276161683759354
3,5.907674470471146,6.364820103532932
4,5.352890014635128,6.367989462999362
5,5.576571269155546,6.363567750828419
6,5.572610923236017,6.358082072153762
7,5.657981515716713,6.261654122552297
8,5.8024266553006925,6.245282409995431
9,5.79558037972506,6.2384095299604425
10,5.8770732642505985,6.230014936380357
11,5.8797785777764275,6.228869104423331
12,5.888558694303065,6.313681937899138
13,5.902518315739796,6.233045042035486
14,5.571507339385583,6.141727443695866
15,5.570072281113153,6.146922782984865
16,5.5703137274502375,6.0467499218923075
17,5.446643050963132,6.052198560566379
18,5.39362695989835,6.013160074860922
19,5.226505346913041,6.000084065035526
20,5.218883173342661,5.9354275585128615
21,5.209444807921487,5.804897977400199
22,5.169102939642798,5.801812236955429
23,5.302409381441242,5.798297296527306
24,5.386743758941939,5.547036430877266
25,5.393635719744837,5.461644335296973
26,5.5153510240897505,5.56306778546031
27,5.404346046175641,5.471353148921878
28,5.2125949576361315,5.572823964055831
29,5.141937138118677,5.5777379765123305
30,5.139273772052277,5.486095427777976
31,5.347775083481243,5.6607107800765375
32,5.293802470598628,5.767163274813551
33,5.299020872571068,5.768670592030551
34,5.083275951223835,5.917726034587793
35,5.0859619968138645,6.194685025251659
36,5.251980332784065,6.18781457811301
37,5.281033476975662,5.7636072881951055
38,5.313842779635041,5.800746835144563
39,5.322465976061956,6.053106908196236
40,5.255925038674372,6.130679026381403
41,5.202292790873619,6.133839127518489
42,5.261626827350946,5.718906462967478
43,5.295327034191545,5.88163779480016
44,5.422927602307356,5.473115000427939
45,5.359956589339543,5.357885098819039
46,5.444418887112604,5.3466568286844325
47,5.478250628743873,5.344411151746889
48,5.465165493275693,5.545029386719342
49,5.465558602968683,5.3552366962848295
50,5.504621008416834,5.471423843348001
51,5.548958411605434,5.652946199520379
52,5.632138716262267,5.793751934386212
53,5.620340833198896,5.98489248111995
54,5.593844477669925,6.0364631851751085
55,5.495615016389327,6.027916161448382
56,5.591207921877089,6.023196326604239
57,5.550513873773169,6.221461981588034
58,5.568693588168818,6.296980019745178
59,5.614719734401652,6.290350690181669
60,5.829185556865135,6.283723763877686
61,5.773842846645338,6.277910584176898
62,5.747925345648429,6.34282247703065
63,5.72131821467929,6.259648676664725
64,5.710345222818582,6.166593108832996
65,5.533089301487605,6.203994501084597
66,5.450571205152485,5.662329938968816
