,Kigali,Ruhengeri
0,6.5328452091628675,6.283217251193524
1,6.491584640558865,6.279903592265833
2,6.529926072459026,6.260076476302802
3,6.50209315646616,6.234497842581117
4,6.508785577192905,6.294194544742304
5,6.393959069372675,6.3505274176451865
6,6.428558123083476,6.356295554316818
7,6.434658363440602,6.380077795136465
8,6.40616155682553,6.349003142985581
9,6.42210990381126,6.3633161666305815
10,6.451228725898029,6.289103919590747
11,6.409914251384309,6.350349206799406
12,6.379463643047206,6.302376311379542
13,6.366924193610912,6.291961155137457
14,6.370332891679585,6.279249062378441
15,6.36276153907193,6.257052652046707
16,6.364963630451284,6.2517427560440675
17,6.4301660741235915,6.226291958943903
18,6.397130954596387,6.215248861663603
19,6.316348069458082,6.27304775892336
20,6.327422859653935,6.2909486980697835
21,6.330997027072136,6.38580526356713
22,6.329449294029392,6.386651314105039
23,6.295078156008032,6.38749933791425
24,6.221348180484063,6.37628657758218
25,6.230457468036351,6.364946664171547
26,6.162556965756881,6.355993085751263
27,6.180794742291233,6.355643362824861
28,6.154956133672827,6.353732811193225
29,6.147860606432022,6.348489997501445
30,6.150192084788358,6.257646079570573
31,6.25945436893988,6.2586330136575645
32,6.247702982524601,6.264677101509373
33,6.124835039259821,6.265813714959627
34,6.089406230727802,6.263995578232334
35,6.049112543595321,6.164504459410481
36,6.099758794000911,6.164539768770413
37,6.04281928172804,6.160488584088879
38,6.1628190976380814,6.256489932812973
39,6.099678178768624,6.248098183886897
40,6.104195661843307,6.2412519083112645
41,6.108632012490093,6.23363083040881
42,6.114383234047157,6.2355023862255505
43,6.1202778103196716,6.244994375170911
44,6.128160232519856,6.259788674998292
45,6.136611746278036,6.360040835118575
46,6.136377057199373,6.359139583551838
47,6.1356656687811855,6.3578554765800845
48,6.116800713298378,6.358377966301426
49,6.127755484831489,6.3550967145094175
50,6.141389938410206,6.342913076171015
51,6.092001733351607,6.337635569559889
52,6.080600658762584,6.328197204138714
53,6.114505725023713,6.315005363352365
54,6.122207800467896,6.311321603195794
55,6.089497161307324,6.303806393594676
56,6.086782900304782,6.3091539525461995
57,6.107145710389409,6.312222270177028
58,6.1185064163344025,6.1185064163344025
59,6.007221894000218,6.008281777512261
60,5.999235081840465,5.996031662122927
61,5.941793509760009,5.994437243245431
62,5.940086642981652,6.107053903247108
63,6.048587957805855,6.104732686814956
64,6.206653541702109,6.117584713642469
65,6.261103475445449,6.222280034362545
66,6.2621325198278495,6.221517800673659
67,6.25983825818371,6.220750869475664
68,6.31762819193753,6.226731638465731
69,6.343771363614148,6.268354724329394
70,6.4081191200875605,6.266689120611705
71,6.403764268107632,6.281604857851449
72,6.12003525298096,6.31453254494073
73,6.261116503080075,6.228662758230336
74,6.103828296092471,6.210744022017104
75,6.100748812389074,6.229199753781177
76,6.2198476327515735,6.224954026826148
77,6.245046106770489,6.237561664348352
78,6.267030882233326,6.211437970741141
79,6.404836673793912,6.196981814994793
80,6.343115958118999,6.224587488212667
81,6.253105021372525,6.197768188976779
82,6.25039826009862,6.156069595177607
