,Meru,Machakos
0,6.2500935083678355,6.744168603710505
1,6.236415078500186,6.7472407022661764
2,6.369865907953743,6.7431674395719465
3,6.332102394085951,6.740634989261978
4,6.256728992106149,6.747843346528941
5,6.261275849837203,6.721702696322021
6,6.22457698003964,6.449411148831758
7,6.24946940107117,6.469657770461288
8,6.2716100759226965,6.518358185006328
9,6.264717380653063,6.50303189297508
10,6.320506455025611,6.618975316091951
11,6.358458331401633,6.610090623639443
12,6.360052571078575,6.609707247941118
13,6.38397634097975,6.4887842177729995
14,6.387055240313006,6.421717222013925
15,6.137847983590425,6.205056733283875
16,6.132470949190579,6.362253082344705
17,6.143247193346733,6.368178055235038
18,6.144383863459561,6.291757457058001
19,6.032614018881839,6.204254566255459
20,6.171964065512139,6.264134525311796
21,6.131820463708053,6.280856042868541
22,6.13401030058486,6.307777643798006
23,6.1688617235895045,6.359539473654137
24,6.181842267476668,6.351071053975522
25,6.187962775629083,6.342720141151101
26,6.2352325424772115,6.408357388521492
27,6.342078014909487,6.342078014909487
28,6.275793882091732,6.376755098149193
29,6.204802287462465,6.4102698741493835
30,6.227651515984897,6.348736504576648
31,6.1897514374836895,6.372625633142221
32,6.183785628282967,6.406929179597177
33,6.194637067368583,6.401664499440328
34,6.218068109107476,6.391087273239116
35,6.3416151525419036,6.445717014792534
36,6.413917115603316,6.654523873933005
37,6.409321660193279,6.56421417981717
38,6.411212771383217,6.564438980404133
39,6.399320349866344,6.560727550511428
40,6.390862541509705,6.573267574406247
41,6.382332588007311,6.58565229164104
42,6.398976955485573,6.6672317740434694
43,6.447309725500407,6.629528141662018
44,6.407818263954988,6.679578237690898
45,6.409951735509691,6.72724227003319
