,Ruhengeri,Kamembe
0,5.745864548335489,5.98790204900966
1,5.742168303048542,5.8942718992540755
2,5.896988466668348,5.745182453800344
3,5.902075447499353,5.900901049243412
4,5.90847120073121,6.041636172187146
5,5.909609747127564,5.910786217851494
6,5.907674470471146,5.908853020990589
7,5.352890014635128,5.911038020125913
8,5.576571269155546,5.907886438557325
9,5.572610923236017,5.860907057727357
10,5.657981515716713,6.039276262897065
11,5.8024266553006925,6.02454403925959
12,5.79558037972506,6.327715790077802
13,5.8770732642505985,6.327670314523226
14,5.8797785777764275,6.334514734891375
15,5.888558694303065,5.73779143893941
16,5.902518315739796,5.748963051232302
17,5.571507339385583,6.039205129647183
18,5.570072281113153,5.90606501640655
19,5.5703137274502375,5.906306462743634
20,5.446643050963132,5.56778743432222
21,5.39362695989835,5.344637572698077
22,5.226505346913041,5.330928655379493
23,5.218883173342661,5.325651148768367
24,5.209444807921487,5.316212783347193
25,5.169102939642798,5.352231273406693
26,5.302409381441242,5.302409381441242
27,5.386743758941939,5.293747502268011
28,5.393635719744837,5.346195994673276
29,5.5153510240897505,5.296929524906737
30,5.404346046175641,5.256929398529727
31,5.2125949576361315,5.224263701470508
32,5.141937138118677,5.144446549724103
33,5.139273772052277,5.299151024436736
34,5.347775083481243,5.188851124901327
35,5.293802470598628,5.135332129626853
36,5.299020872571068,5.194617752869569
37,5.083275951223835,5.14579630820517
38,5.0859619968138645,5.306952694766974
39,5.251980332784065,5.52586908310351
40,5.281033476975662,5.305237078716549
41,5.313842779635041,5.313842779635041
42,5.322465976061956,5.3095068314194505
43,5.255925038674372,5.179697673286487
44,5.202292790873619,5.305714382026771
45,5.261626827350946,5.306277101088684
46,5.295327034191545,5.014896625135084
47,5.422927602307356,4.99243712663225
48,5.359956589339543,4.9823262802248225
49,5.444418887112604,5.099795438260684
50,5.478250628743873,5.254218583368549
51,5.465165493275693,5.2411254829144465
52,5.465558602968683,5.243758235200941
53,5.504621008416834,5.143007782837518
54,5.548958411605434,5.108300859490772
