,Owino,Kampala
0,6.425219904546283,6.424434666971581
1,6.55895576741423,6.548953959601279
2,6.502364627366297,6.500184393944528
3,6.494874353063846,6.494874353063846
4,6.618277430407989,6.618917840292188
5,6.605846195190644,6.6108579266410885
6,6.4525903644475,6.4525903644475
7,6.552406136343881,6.552406136343881
8,6.583306706487137,6.565444617365182
9,6.615933575438553,6.614492537642149
10,6.254477586647204,6.281417529383605
11,6.477066337580395,6.477066337580395
12,6.436759632406356,6.436759632406356
13,6.394081671682812,6.39447873343113
14,6.457941355652555,6.448236165626591
15,6.541643195727906,6.540622266593799
16,6.556107830249778,6.556107830249778
17,6.589533478879123,6.60864234057717
18,6.5743119407576085,6.577396609166684
19,6.398114045424532,6.398114045424532
20,6.273557312836522,6.274648420418857
21,6.300161239991715,6.300161239991715
22,6.461141600786897,6.461141600786897
23,6.506716735358224,6.506716735358224
24,6.503766816133705,6.504280558759954
25,6.540788747110095,6.540788747110095
26,6.538853054717605,6.5395087924460205
27,6.638017812616077,6.638017812616077
28,6.6359067418606585,6.6202616339528095
29,6.751808050114444,6.693659996484432
30,6.750390632850896,6.743012470263224
31,6.798991123381322,6.788462071485471
32,6.795426603304579,6.795052188323606
33,6.477932645340147,6.457610625961792
34,6.275183266455148,6.29567321599587
35,6.277598763045304,6.254304622917901
36,6.37044067943786,6.348590414901033
37,6.451455080544969,6.431339459747963
38,6.447769105613445,6.42795934562421
39,6.4454039239282785,6.425462546345036
40,6.479296931875494,6.4602948054482185
41,6.513422950125465,6.494082567364871
42,6.491903206511004,6.483104503385116
43,6.246809878751679,6.234672755335146
44,6.200410091507986,6.187225085769094
45,6.097921742852849,6.097422616313912
46,6.222810650635631,6.173064825751855
47,6.341429322524985,6.273969872959751
48,6.286661969353938,6.263249528729196
49,6.293222309231491,6.247874489253032
50,5.9749443426336715,6.03517053161397
51,6.08959064733516,6.08959064733516
52,6.09620787791807,6.089719210280764
53,6.077799615488465,6.078305560351269
54,6.2691793717656585,6.2691793717656585
55,6.065927672431015,6.065927672431015
56,6.00311230054583,6.059447919528419
57,5.93608511352962,5.937244533949354
58,5.737290303909339,5.746454978558903
59,5.7954405532111,5.779434433015206
60,5.85039437311795,5.830679903144867
61,5.864851360215098,5.831546365570914
62,5.869226387091382,5.869226387091382
63,5.852730596523678,5.852730596523678
64,6.023432237141434,6.023432237141434
65,6.014703821464067,6.015229998797965
66,6.020651435457276,6.020651435457276
67,5.84284145138766,5.874903383847323
68,5.847339446508051,5.85480216770964
69,5.713477319591533,5.714904871582719
70,5.85911523110557,5.825810236461387
71,5.8667251963633555,5.8667251963633555
72,6.040662183171701,6.040662183171701
73,6.047597628917374,6.046576699783267
74,6.054468022470003,6.081429216198022
75,6.251620427969974,6.2170324166826445
76,6.170044155741471,6.157397194040704
77,6.235529533008196,6.18924878044419
78,6.274307334435037,6.271091897581063
79,6.389061966805516,6.369587856970138
80,6.456945258824288,6.422032375552536
81,6.452777907140362,6.418737860900371
82,6.344497805944682,6.3256648576115895
83,6.3903324887379735,6.409434590611459
