,Machakos,Meru
0,6.744168603710505,6.2500935083678355
1,6.7472407022661764,6.236415078500186
2,6.7431674395719465,6.369865907953743
3,6.740634989261978,6.332102394085951
4,6.747843346528941,6.256728992106149
5,6.721702696322021,6.261275849837203
6,6.449411148831758,6.22457698003964
7,6.469657770461288,6.24946940107117
8,6.518358185006328,6.2716100759226965
9,6.50303189297508,6.264717380653063
10,6.618975316091951,6.320506455025611
11,6.610090623639443,6.358458331401633
12,6.609707247941118,6.360052571078575
13,6.4887842177729995,6.38397634097975
14,6.421717222013925,6.387055240313006
15,6.205056733283875,6.137847983590425
16,6.362253082344705,6.132470949190579
17,6.368178055235038,6.143247193346733
18,6.291757457058001,6.144383863459561
19,6.204254566255459,6.032614018881839
20,6.264134525311796,6.171964065512139
21,6.280856042868541,6.131820463708053
22,6.307777643798006,6.13401030058486
23,6.359539473654137,6.1688617235895045
24,6.351071053975522,6.181842267476668
25,6.342720141151101,6.187962775629083
26,6.408357388521492,6.2352325424772115
27,6.342078014909487,6.342078014909487
28,6.376755098149193,6.275793882091732
29,6.4102698741493835,6.204802287462465
30,6.348736504576648,6.227651515984897
31,6.372625633142221,6.1897514374836895
32,6.406929179597177,6.183785628282967
33,6.401664499440328,6.194637067368583
34,6.391087273239116,6.218068109107476
35,6.445717014792534,6.3416151525419036
36,6.654523873933005,6.413917115603316
37,6.56421417981717,6.409321660193279
38,6.564438980404133,6.411212771383217
39,6.560727550511428,6.399320349866344
40,6.573267574406247,6.390862541509705
41,6.58565229164104,6.382332588007311
42,6.6672317740434694,6.398976955485573
43,6.629528141662018,6.447309725500407
44,6.679578237690898,6.407818263954988
45,6.72724227003319,6.409951735509691
