,Tororo,Eldoret
0,6.191026517045488,6.538658906772202
1,6.270550272921105,6.529172917320767
2,6.344213214797799,6.51955563150128
3,6.33963097598709,6.53488598090611
4,6.3912827831916825,6.53182892653774
5,6.3362568312128476,6.519937367131795
6,6.079721765282146,6.5050349898044715
7,6.134167266475048,6.444225717881967
8,6.290847287159116,6.461392527092208
9,6.290276681284751,6.430019468513708
10,6.294792179027007,6.395938641759339
11,6.436160547191164,6.331220952106643
12,6.518242265563295,6.242796321812628
13,6.514882438844119,6.146136100946372
14,6.547504969030527,6.144022779466788
15,6.541587156469973,6.289086210679383
16,6.441994004612874,6.285960371729812
17,6.374409866289913,6.346366940428526
18,6.245436340302469,6.3718946698395875
19,6.238087458923326,6.424307650057613
20,6.297315023835952,6.446280553346781
21,6.380702644998204,6.583172424046684
22,6.423005711453711,6.534502241436029
23,6.463255465422941,6.545929377058253
24,6.456406483124705,6.599941747504524
25,6.455593811015265,6.571169687543891
26,6.558496210449027,6.6261299782917
27,6.555653119439313,6.632098548748255
28,6.586390305376328,6.676841000277581
29,6.645468105605275,6.681428444588674
30,6.477932645340147,6.630670895280196
31,6.223600867954746,6.46740213682927
32,6.124503715111705,6.455382450293878
33,6.126432570911583,6.447926613611896
34,6.22804477957373,6.520406858837512
35,6.270286038406951,6.514167901717069
36,6.316891171599328,6.569427747474398
37,6.356367204467341,6.577767760361235
38,6.396547692538435,6.605398215641461
39,6.392812303866773,6.53518460689575
40,6.294347746024714,6.596665618023489
41,5.978282284313611,6.532406934018864
42,5.9514758358243025,6.601106452266625
43,6.036528692625579,6.643719706087706
44,6.097564753573258,6.66402319759621
45,6.139101099205735,6.629479268223722
46,6.199470848312016,6.730823608269944
47,5.9749443426336715,6.599317818520078
48,5.970300452388205,6.558296429881377
49,6.025080533902487,6.504285811634673
50,5.960901815425774,6.444833311921062
51,5.9515600169992435,6.440809366563453
52,5.9491645246753775,6.388776086909848
53,5.939870241677762,6.40041506732291
54,5.938402611669982,6.415687052987334
55,5.636013349760887,6.328011557342653
56,5.696111735973429,6.2880350568149845
57,5.683569252393964,6.290988416543908
58,5.601992535895786,6.238801584480866
59,5.800758587813922,6.20509314072808
60,5.788688230196583,6.120670771124589
61,5.9064301464681215,6.122851793725292
62,5.896394331465438,6.125927634220183
63,5.902868399800893,6.1380033289192415
64,5.701762853127754,6.138903536048712
65,5.6229466757934095,6.09405092008637
66,5.634743279049029,6.08326285547492
67,5.6372070103993535,6.115225711302146
68,5.642355403325902,6.152775626974193
69,5.863266744713802,6.173549572973473
70,5.871785452308936,6.235724197801051
71,5.870525719778315,6.197432801761317
72,6.050212405285479,6.20701450490747
73,6.039841405289059,6.1679321464789885
74,6.1388784210552405,6.220403388132812
75,6.133180094494065,6.2477810064259875
76,6.266086904446707,6.299511181271283
77,6.378677568257577,6.31744045261313
78,6.261581745912932,6.34218235735565
79,6.262089117465058,6.424066418786598
80,6.242826351629383,6.412952498656401
