,Machakos,Arusha
0,5.663050592336632,5.3161332504449055
1,5.665145711442798,5.313708138404248
2,5.672257771114077,5.30891085511358
3,5.658435682791919,5.731657082610951
4,5.651305418522216,5.7245594047698205
5,5.644468629777895,5.721962954176504
6,5.2372561914830325,5.617142605034944
7,5.2546044479129295,5.400440642658901
8,5.2568218721470785,5.399964071637734
9,5.251565057688284,5.39768511652383
10,5.467497122992928,5.296231023149782
11,5.537016488401119,5.291335463523213
12,5.537539385333272,5.395121450512922
13,5.533469158949079,5.3918837370684916
14,5.532418680015416,5.357856917668446
15,5.5313670964152335,5.39836341672408
16,5.529654802134344,5.403761418458451
17,5.562680974575331,5.43679595632625
18,5.594651199935008,5.44444472114339
19,5.624883450128195,5.534579538846854
20,5.619678783453023,5.649944168589701
21,5.614208968142071,5.75282669928617
22,5.607079950536025,5.794338779709701
23,5.601256645229004,5.827777437084094
24,5.592101676982761,5.869704669993074
25,5.571691493926981,5.930973454855508
26,5.71808494893371,5.986426665467563
27,5.84575867635821,6.031250271040776
28,5.834345209659806,6.11528598802862
29,5.823634251278926,6.111559480006191
30,6.04216558817297,6.268523178429757
31,6.038454229669367,6.261541545051247
32,6.139219946114761,6.1877713548258875
33,6.135997253363657,6.183889545754441
34,6.145474694950575,6.006220888349961
35,6.054093521706231,5.7846371836482176
36,5.827897636831899,5.497595701740491
37,5.821020721157123,5.514044262101511
38,5.830917088735715,5.499299789558962
39,5.8043098052638795,5.4992076023025565
40,5.526340729972224,5.380760254795821
41,5.556322220511225,5.54110921613512
42,5.522802048257198,5.53579587677543
43,5.488603902297297,5.4499121698897035
44,5.519252533139814,5.259386746576515
45,5.478688512148342,5.257175820927511
46,5.511094959273008,5.25021947087972
47,5.365619232099011,5.3430828702914175
48,5.329098957286026,5.34498329758997
49,5.246206386990925,5.391339105961063
50,5.272187854255054,5.253218435175246
51,5.164205250909102,5.031718853651894
52,5.162662151664815,4.900092483650358
53,5.15634815115492,4.902001142312378
54,5.102240786696167,4.901519197262282
55,5.284522603320849,4.739282205158855
56,5.201488373782122,4.9023315780284715
57,5.245575859318381,4.969585316326035
58,5.289217614825124,5.029941707869589
59,5.362731166021395,5.028424999593834
60,5.427156946595323,5.025798518342362
61,5.354255934403439,5.136507602734529
62,5.3505638617977445,5.188366307921746
63,5.351549122967573,5.218885617578165
64,5.352533414353242,5.184950383554069
65,5.360036012356825,5.114944618859133
66,5.3523546480791975,5.1628664932766215
67,5.348555934109249,5.1313885312131235
68,5.340792538755065,5.128853674501414
69,5.0706656562699335,5.141140312830274
70,5.469077126936084,5.2216896097719925
71,5.329452972901233,5.240051789536639
72,5.620864299829009,5.213997725698514
73,5.618866877279254,5.3096563986669185
74,5.663247795754952,5.685438107137704
75,5.72055307994949,5.746956373572211
76,5.717611532290115,5.686171358715641
77,5.716568792487795,5.807795590512352
78,5.71552496424412,5.688434236107429
79,5.723996956778254,5.8231600757326785
