,Lira,Soroti
0,6.232552704507913,6.327378349052819
1,6.324083846206619,6.325698051561161
2,6.409221520778494,6.365728184444379
3,6.440140232317468,6.3588734794701285
4,6.355660991236779,6.354883688438217
5,6.234034308922701,6.612455971419808
6,5.934731851743436,6.00134660082542
7,5.719776886845121,6.005981854153889
8,5.872652050135484,6.0039587477378955
9,6.0053457714986695,5.979458000546542
10,6.000612331064097,5.971756014871413
11,5.998538568053312,5.949525909723434
12,6.083029640271961,5.962062496977297
13,6.107131873522337,5.921930616610154
14,6.105130231414992,5.8882911697383244
15,6.03501913224545,5.874815380705114
16,5.9743263594033085,5.917234561158096
17,5.915600186058894,5.914401863566786
18,5.943438269559567,5.97544100064574
19,6.041168467866345,5.979158393082132
20,5.902456860672624,6.191351789549613
21,5.97497381156673,6.196762043043929
22,6.091974649613189,6.291549454554702
23,6.243741327162418,6.290808838020404
24,6.285141029044338,6.329449525139282
25,6.325734520444718,6.3241534924474
26,6.397480079799721,6.2691793717656585
27,6.503524058721973,6.395084587475855
28,6.499815899317644,6.3868037865875475
29,6.281795291135769,6.386170099468836
30,5.778905185144974,6.375110420512689
31,5.894503762799993,6.139261158330617
32,5.8389946296532225,5.830037436049206
33,5.866086690823091,5.930625211960662
34,5.933305243775905,5.869226387091382
35,5.915250953505012,5.78338317796689
36,5.841110680347479,5.77390193065403
37,5.835325298116617,5.764892023067697
38,5.773371982388549,6.075711212640304
39,5.772773888770943,5.9372398463100335
40,5.846090227107619,5.778881477414169
41,6.039693056045557,5.790438360727661
42,6.042672118507518,6.042672118507518
43,6.315362476336729,6.0478205114340655
44,6.370646635314171,6.042717682353797
45,6.412807475305944,6.333236799739355
46,6.338093294226169,6.2063025460794305
47,6.297009093784002,6.379851730245158
48,6.407094153307429,6.368100043372883
49,6.545572785618135,6.364233547174291
50,6.504169835997992,6.351506145292312
51,6.463373999770067,6.425531646586908
52,6.6778210842283645,6.420997000136489
53,6.7067661338056705,6.5275549994261075
54,6.686286376193127,6.526819362738636
55,6.550384091171892,6.537520207809981
