,Mbale,Owino
0,6.76639066194905,6.798784380987672
1,6.734175636730581,6.780863139737147
2,6.700888158736531,6.785863734730093
3,6.696305919925822,6.782920392762594
4,6.747314433444672,6.812433444848947
5,6.749458388940976,6.81666122532976
6,6.757988539003953,6.854761481672814
7,6.762637890145943,6.731512427871016
8,6.760519296438291,6.693065159941576
9,6.746150910424898,6.711959545676619
10,6.715923403879571,6.681962294716007
11,6.676617289707049,6.676617289707049
12,6.676364356488018,6.676958710145931
13,6.6686852320788965,6.669579553199765
14,6.697623385329846,6.73250569688453
15,6.692853496253145,6.72413270251338
16,6.735580153255599,6.767621992926765
17,6.717010709988137,6.747918247451214
18,6.650901448410633,6.616691967556228
19,6.642807243899425,6.643105439816351
20,6.648837711772252,6.71367257311054
21,6.711791512623095,6.709005219374411
22,6.710872678054119,6.675305847059376
23,6.709960773684591,6.677944559785632
24,6.791406974447403,6.688526311269359
25,6.791408202813523,6.789634928124658
26,6.867779438137442,6.836408044213878
27,6.861353697393771,6.820345673666395
28,6.85805959884089,6.830895669900067
29,6.899838328598852,6.848876293235224
30,6.907855494294352,6.854794478039374
31,6.9176373326995755,6.798353170916925
32,6.92138527452351,6.7891845540846925
33,6.787544980142807,6.816866714907912
34,6.787724085786558,6.844035257349273
35,6.836934715764452,6.841756325876922
36,6.836416705240865,6.836897821439705
37,6.774140160250103,6.829654908914267
38,6.772632156253379,6.853850366589606
39,6.7690856058741335,6.849756700969181
40,6.757807827177755,6.757807827177755
41,6.733214621992752,6.76015492002685
42,6.6702873847601545,6.791068923412794
43,6.669712408417967,6.786246224673918
44,6.673427278751277,6.79121031440766
45,6.750447961988804,6.779138454451733
46,6.813851933094103,6.7576686534123604
47,6.812846378187989,6.757639184479301
48,6.808507341074157,6.754222657587084
49,6.803189271207565,6.747703532595385
50,6.800368015617292,6.743758663329377
51,6.867850748873399,6.86693289658317
52,6.864537404259304,6.864996435711017
53,6.8575456956748635,6.8575456956748635
54,6.777732302408008,6.880288890733101
55,6.754796997292776,6.836374624684397
56,6.738691200772804,6.749535613786933
57,6.710208041436984,6.7365115042288854
58,6.711795988525156,6.713384551210295
59,6.657572333049655,6.716524247478587
60,6.669982120033642,6.703920200722496
61,6.684830719386799,6.716058448687252
62,6.622178441338406,6.709428704165631
63,6.62735883092655,6.768858393200249
64,6.630387026869979,6.797002457317225
65,6.6356833059358165,6.800158323315804
66,6.551343082166565,6.787015970707526
67,6.553497742273509,6.789886520337739
68,6.559872376923301,6.795680491078833
69,6.708808061526229,6.788850769199765
70,6.711231924548906,6.790506319036384
71,6.71678028325294,6.56367290033826
72,6.716636515704671,6.594939580727151
73,6.73196556785697,6.6302377046216385
74,6.782866365657102,6.641552832590525
75,6.772208707220093,6.692003384699462
76,6.766029614012011,6.765539538040429
77,6.760818003799332,6.762291843417632
78,6.761816639324294,6.76328975523027
