,Lira,Mbale
0,6.436148975078473,6.345177196872746
1,6.478206631457466,6.368214610247294
2,6.518566601942577,6.3907332304326925
3,6.513984363131868,6.408623847474042
4,6.564992876650718,6.523607660487864
5,6.566218004111513,6.517100976959076
6,6.571103559520759,6.490642424291848
7,6.4973427750168735,6.454689250657641
8,6.497048837167734,6.4774332427395285
9,6.394664563239303,6.482272895773473
10,6.417630640577653,6.39527238426644
11,6.435400957333145,6.388736192476026
12,6.48135865213274,6.474834526055797
13,6.426573778057876,6.512793301594033
14,6.527179066016488,6.509919403873958
15,6.413799605024702,6.541251078496721
16,6.346535775359762,6.441994004612874
17,6.278349306323603,6.327946247462975
18,6.251666890053104,6.306900945368628
19,6.286941482092109,6.419141635669155
20,6.385939813542728,6.468766141124965
21,6.4632159964443785,6.503766816133705
22,6.503275976301969,6.503275976301969
23,6.535238790885069,6.541146258015762
24,6.569405482771316,6.76255386524853
25,6.700593093584647,6.816896839030441
26,6.564534684224114,6.867779438137442
27,6.55597204784259,6.861353697393771
28,6.6167693122360465,6.856648166002482
29,6.661574292137125,6.845083920830362
30,6.516054988073409,6.745994329735111
31,6.321415188976355,6.627582076102239
32,6.278021149535216,6.529804686986427
33,6.323424317453331,6.527619245638013
34,6.367155657177179,6.528099966129934
35,6.363348068111329,6.523633227923906
36,6.361975912353549,6.55863096255904
37,6.35791399518564,6.620159360657688
38,6.395805026332744,6.437993100713827
39,6.392812303866773,6.259280911242251
40,6.293525715563299,6.199612585745824
41,6.295145251786876,6.42589957911418
42,6.203880881695268,6.425946653131482
43,6.223249728579018,6.4220430143143945
44,6.296693428683594,6.424951546577268
45,6.286661969353938,6.413767803545446
46,6.338173697093758,6.420989997139264
47,6.338144228160699,6.420960528206205
48,6.455460139358731,6.416406543159853
49,6.487981003885049,6.411853508998498
50,6.483939259878529,6.406870323508568
51,6.644707197559188,6.397480079799721
52,6.60739326454471,6.395084587475855
53,6.5686328538369505,6.3868037865875475
54,6.30130810535935,6.386170099468836
55,6.038338737864384,6.363062081996514
56,6.017106084892325,6.122466600550152
57,6.010643726556405,6.126039556495682
58,5.996681677659458,6.151915194625549
59,6.051343674657786,6.156908459543163
60,6.038973322308375,6.13979212908586
61,6.128167557405342,6.124408154481436
62,6.121431822739718,6.123322182470887
63,6.175700184496219,6.020651435457276
64,6.0276661383997325,6.129583232279798
65,5.972722878040985,6.135021518959832
66,5.9813210498236495,6.145259736017071
67,6.148032634165344,6.148032634165344
68,6.154407268815136,6.154407268815136
69,6.242174275402044,6.148796625712253
70,6.290943887549104,6.152141484668644
71,6.297652324667658,6.158207792230096
72,6.337387249727399,6.155978518190804
73,6.366626203754582,6.144588235748122
74,6.403227657108837,6.14072173954953
75,6.470444201289956,6.135026817087231
76,6.463373999770067,6.529444834379141
77,6.5282893502574,6.676752137039459
78,6.493439246185936,6.527554999426108
