,Lira,Gulu
0,6.232552704507913,6.231664210446798
1,6.324083846206619,6.073922687572623
2,6.409221520778494,6.32025682083593
3,6.440140232317468,6.380387947412585
4,6.355660991236779,6.438389706434408
5,6.234034308922701,6.470023399859863
6,5.934731851743436,5.938288464858283
7,5.719776886845121,5.941295502429901
8,5.872652050135484,5.71998175547866
9,6.0053457714986695,5.941103502770316
10,6.000612331064097,6.447769105613445
11,5.998538568053312,6.445048115349538
12,6.083029640271961,6.43807558771933
13,6.107131873522337,6.436567583722606
14,6.105130231414992,6.4329197574491594
15,6.03501913224545,6.42076680644648
16,5.9743263594033085,6.201313026106578
17,5.915600186058894,6.202083936018567
18,5.943438269559567,5.910377407298679
19,6.041168467866345,5.915442578696024
20,5.902456860672624,6.191351789549613
21,5.97497381156673,6.198568728268878
22,6.091974649613189,6.198539259335819
23,6.243741327162418,6.194348571832841
24,6.285141029044338,6.188347047137754
25,6.325734520444718,6.1851823765270595
26,6.397480079799721,6.174703568313453
27,6.503524058721973,6.2667838794417925
28,6.499815899317644,6.3868037865875475
29,6.281795291135769,6.386170099468836
30,5.778905185144974,6.365332230531053
31,5.894503762799993,6.344840625085333
32,5.8389946296532225,6.127949776751802
33,5.866086690823091,6.150058183878336
34,5.933305243775905,6.156908459543163
35,5.915250953505012,6.14165259473878
36,5.841110680347479,6.124408154481436
37,5.835325298116617,6.243082505799806
38,5.773371982388549,6.349155502429312
39,5.772773888770943,6.312218317842586
40,5.846090227107619,6.316093856353355
41,6.039693056045557,6.327890459608974
42,6.042672118507518,6.287794576540503
43,6.315362476336729,5.991022913040933
44,6.370646635314171,5.928593415742293
45,6.412807475305944,5.8620054232552965
46,6.338093294226169,5.996118139407725
47,6.297009093784002,5.993888865368435
48,6.407094153307429,5.985205969900421
49,6.545572785618135,6.035974909090466
50,6.504169835997992,6.079061526660148
51,6.463373999770067,6.123979726270976
52,6.6778210842283645,6.338995653666395
53,6.7067661338056705,6.345481858979227
54,6.686286376193127,6.372949384524962
55,6.546580818191011,6.475844267099233
56,6.3978103983867545,6.473830705681163
57,6.273184428795545,6.470520096153883
58,5.850715738531863,6.0322279063702595
59,5.8473346357344775,5.999397632131252
60,5.843278421313797,5.968082819869337
61,5.839218878707314,5.963230776750746
62,5.837214537250789,5.963383933434243
63,5.837656208799724,5.963536454688727
64,6.025751556553039,5.967523051653245
65,6.020383092631721,5.961850190273471
66,6.075585196490672,6.022370671925227
67,6.126881227611116,6.1250580730496
68,6.350812651108987,6.350812651108987
