,Kampala,Mbale
0,6.549089386259068,6.345177196872746
1,6.577317384946351,6.368214610247294
2,6.508516266089075,6.3907332304326925
3,6.5350117303239434,6.408623847474042
4,6.671906240070198,6.523607660487864
5,6.609243981810443,6.517100976959076
6,6.615933575438553,6.490642424291848
7,6.429005350510378,6.454689250657641
8,6.477066337580395,6.4774332427395285
9,6.415933580826795,6.482272895773473
10,6.41956825017436,6.39527238426644
11,6.413894752112181,6.388736192476026
12,6.5409626921290025,6.474834526055797
13,6.556107830249778,6.512793301594033
14,6.608326833396764,6.509919403873958
15,6.577396609166684,6.541251078496721
16,6.398114045424532,6.441994004612874
17,6.381882860752917,6.327946247462975
18,6.434986174328528,6.306900945368628
19,6.500073397992073,6.419141635669155
20,6.509105407369265,6.468766141124965
21,6.612564378292032,6.503766816133705
22,6.61245173027075,6.503275976301969
23,6.607299149439882,6.541146258015762
24,6.745817624305464,6.76255386524853
25,6.774305041813348,6.816896839030441
26,6.8258503343514345,6.867779438137442
27,6.821446658547321,6.861353697393771
28,6.829929019268972,6.856648166002482
29,6.822144105081133,6.845083920830362
30,6.487855737885357,6.745994329735111
31,6.424615244241879,6.627582076102239
32,6.357738960360644,6.529804686986427
33,6.432177131009299,6.527619245638013
34,6.471522643595779,6.528099966129934
35,6.467893350509074,6.523633227923906
36,6.474676016540806,6.55863096255904
37,6.498616292278132,6.620159360657688
38,6.618651356660965,6.437993100713827
39,6.606987185198222,6.259280911242251
40,6.390068687798257,6.199612585745824
41,6.372593103411213,6.42589957911418
42,6.297843655052759,6.425946653131482
43,6.337612621164375,6.4220430143143945
44,6.404257397307855,6.424951546577268
45,6.393921507173515,6.413767803545446
46,6.420267192626407,6.420989997139264
47,6.440989810081778,6.420960528206205
48,6.563914749160479,6.416406543159853
49,6.597736688584924,6.411853508998498
50,6.604789438391978,6.406870323508568
51,6.719797648914258,6.397480079799721
52,6.724293251975721,6.395084587475855
53,6.70807347665705,6.3868037865875475
54,6.376134705826333,6.386170099468836
55,6.141810678834342,6.363062081996514
56,6.154170225733569,6.122466600550152
57,6.134606957780981,6.126039556495682
58,6.128450955290582,6.151915194625549
59,6.131779170741259,6.156908459543163
60,6.115762704359025,6.13979212908586
61,6.22424496797063,6.124408154481436
62,6.2386891236697295,6.123322182470887
63,6.288082666972602,6.020651435457276
64,6.223781017326023,6.129583232279798
65,6.138293314353324,6.135021518959832
66,6.146186949806263,6.145259736017071
67,6.148032634165344,6.148032634165344
68,6.154407268815136,6.154407268815136
69,6.309652122611329,6.148796625712253
70,6.373813365371398,6.152141484668644
71,6.418604935085321,6.158207792230096
72,6.446507810833791,6.155978518190804
73,6.445987944428703,6.144588235748122
74,6.546800532856458,6.14072173954953
75,6.596983860325174,6.135026817087231
76,6.611633926220768,6.529444834379141
77,6.664647080013184,6.676752137039459
78,6.64740628814655,6.527554999426108
