,Soroti,Lira
0,6.327378349052819,6.232552704507913
1,6.325698051561161,6.324083846206619
2,6.365728184444379,6.409221520778494
3,6.3588734794701285,6.440140232317468
4,6.354883688438217,6.355660991236779
5,6.612455971419808,6.234034308922701
6,6.00134660082542,5.934731851743436
7,6.005981854153889,5.719776886845121
8,6.0039587477378955,5.872652050135484
9,5.979458000546542,6.0053457714986695
10,5.971756014871413,6.000612331064097
11,5.949525909723434,5.998538568053312
12,5.962062496977297,6.083029640271961
13,5.921930616610154,6.107131873522337
14,5.8882911697383244,6.105130231414992
15,5.874815380705114,6.03501913224545
16,5.917234561158096,5.9743263594033085
17,5.914401863566786,5.915600186058894
18,5.97544100064574,5.943438269559567
19,5.979158393082132,6.041168467866345
20,6.191351789549613,5.902456860672624
21,6.196762043043929,5.97497381156673
22,6.291549454554702,6.091974649613189
23,6.290808838020404,6.243741327162418
24,6.329449525139282,6.285141029044338
25,6.3241534924474,6.325734520444718
26,6.2691793717656585,6.397480079799721
27,6.395084587475855,6.503524058721973
28,6.3868037865875475,6.499815899317644
29,6.386170099468836,6.281795291135769
30,6.375110420512689,5.778905185144974
31,6.139261158330617,5.894503762799993
32,5.830037436049206,5.8389946296532225
33,5.930625211960662,5.866086690823091
34,5.869226387091382,5.933305243775905
35,5.78338317796689,5.915250953505012
36,5.77390193065403,5.841110680347479
37,5.764892023067697,5.835325298116617
38,6.075711212640304,5.773371982388549
39,5.9372398463100335,5.772773888770943
40,5.778881477414169,5.846090227107619
41,5.790438360727661,6.039693056045557
42,6.042672118507518,6.042672118507518
43,6.0478205114340655,6.315362476336729
44,6.042717682353797,6.370646635314171
45,6.333236799739355,6.412807475305944
46,6.2063025460794305,6.338093294226169
47,6.379851730245158,6.297009093784002
48,6.368100043372883,6.407094153307429
49,6.364233547174291,6.545572785618135
50,6.351506145292312,6.504169835997992
51,6.425531646586908,6.463373999770067
52,6.420997000136489,6.6778210842283645
53,6.5275549994261075,6.7067661338056705
54,6.526819362738636,6.686286376193127
55,6.537520207809981,6.550384091171892
