,Soroti,Kasese
0,5.779300962010302,5.587182265971364
1,5.934618135666965,5.628726455502891
2,6.056455533668441,5.476937271098081
3,6.052053768235239,5.615586711787795
4,6.044489561326891,5.785360236914406
5,5.993799400221612,5.93045064721963
6,6.00134660082542,5.869718158346983
7,5.716820491491519,5.797147848052577
8,5.53261792194791,5.798202139185474
9,5.372561740665815,5.487085169245161
10,5.422704208118649,5.4286507073063754
11,5.418839245740309,5.423792202869158
12,5.520357303853989,5.523922370018485
13,5.417449185415537,5.61415947966159
14,5.354824637015098,5.699665123306827
15,5.342936347741292,5.504657086429095
16,5.157147897923041,5.509969272545783
17,5.149173800831313,5.509835631923639
18,5.146349104755109,5.399951863554027
19,5.222295398136079,4.997954958588023
20,5.144123700227983,5.364153600868913
21,5.149262200584922,5.398856937986302
22,5.149232731651864,5.340960086732695
23,5.1722953950349995,5.2955299611516224
24,5.039616508713424,5.031057255317754
25,5.111724038485514,4.957573358658255
26,5.029877546190572,4.92706805232435
27,4.998536503897752,4.736172239430261
28,4.913103824050048,4.733992542886342
29,4.666220668449808,4.666220668449808
30,4.549307094916364,4.4730797295284805
31,4.649584580173736,4.502981105981861
32,4.637137876021543,4.522474967701403
33,4.514828111541494,4.523722180934396
34,4.706655943919254,4.527454514461543
35,4.723078615563656,4.651334710704814
36,4.944059829839408,4.652254040203766
37,4.949208222765956,4.683771759261495
38,5.019239533194721,4.942049894503591
39,5.029341970386531,5.057198924889497
40,5.109427877309861,5.033716055574165
41,5.270238230515075,5.031486781534874
42,5.400438500735804,4.774732600971392
43,5.223509773156054,4.711146870071177
44,5.210398843775247,4.660042381252621
45,5.528341086086172,5.081759205498516
46,5.523180964090592,5.377469152909199
47,6.016729375660117,5.427699702518401
48,5.803827158986369,5.52419544989949
49,5.532984292497268,5.549679171069438
