,Rubavu,Ngozi
0,6.339168770196058,5.800053222391385
1,6.398322519768936,5.86990366183599
2,6.095316530794884,5.8744416833772455
3,6.1583768022964795,5.875488760740866
4,6.188511945939813,5.87355829151794
5,6.155967213988995,5.869307728576876
6,6.193923108978489,5.858775215490107
7,6.2692660683425,5.9870418642376055
8,6.3091539525461995,6.049819425140857
9,6.0091653020292055,5.936272031350254
10,5.942215786225738,6.114310584957968
11,6.075861221202065,6.008515448312788
12,5.999235081840465,6.124114584542641
13,5.940666749077419,6.016312240858618
14,5.963512142491708,6.136254589697888
15,5.910850307619926,6.14537874047434
16,5.887764933429515,6.197289005113433
17,5.934024073803191,6.20511498084665
18,6.011883621748981,6.196450250776229
19,5.9984734940493025,6.192225701277987
20,6.061563160898026,6.289454653656934
21,6.0102314541191575,6.289454653656934
22,6.038944013384596,6.282474754276641
23,6.000480185945827,6.273903548211585
24,5.92525732648596,6.132909327358523
25,5.919927276580723,6.056590331400893
26,5.992831520120446,6.131487411580053
27,5.9215112981320805,6.114685372918901
28,5.907984762102577,6.153588867704077
29,5.955982246065133,6.193954689071636
30,6.0191694960574775,6.403427824330405
31,5.936512306067896,6.403968822122032
32,5.8864359900717345,6.2471359750348245
33,6.051346186521179,5.876888951456165
34,6.0509088996823,5.806235923633672
35,6.056175482193793,5.931384492792854
36,6.06141447306415,5.95849633237177
37,6.002371348759317,5.98489248111995
