,Tororo,Masindi
0,5.366612950491872,5.275479556124178
1,5.340941584956898,5.112551408384965
2,5.3145937976166415,5.193232940612374
3,5.295622821353832,5.262470614036932
4,5.291061483717872,5.291061483717872
5,5.348429982859414,5.3013633293406315
6,5.549749753989781,5.488427863115462
7,5.610142423642327,5.501279277433299
8,5.602991124233586,5.500265656213766
9,5.576141902958443,5.485513885498625
10,5.4923782278421704,5.4884566541889885
11,5.423705056340891,5.453558019490573
12,5.360092855457803,5.35787309871949
13,5.454821743197266,5.351244553914868
14,5.5281612144275725,5.47078410184427
15,5.5139818386605155,5.462935610364402
16,5.555958906579959,5.445999762404194
17,5.635625854879024,5.546659148996874
18,5.656488286964094,5.552289159742523
19,5.725621390378153,5.544493151148241
20,5.695102992115967,5.549632479119975
21,5.643596694341668,5.54674686835175
22,5.687556151203077,5.595701695395968
23,5.72931576756422,5.642371381028475
24,5.722318971851242,5.635845373847415
25,5.7813879192895,5.675177687462979
26,5.969114394466924,5.868849431235698
27,5.9628779560878975,5.897916187093915
28,5.964084995289282,5.893859837756065
29,5.983435180334269,5.886718728325191
30,6.007103365847976,5.959743895809117
31,6.029826072147289,6.00134660082542
32,5.797147848052577,6.005981854153889
33,5.1801395887336295,5.535290529329386
34,5.372561740665815,5.312198590938724
35,5.366130350325041,5.368581761113166
36,5.423792202869158,5.368956130992608
37,5.527474771622853,5.41895718941226
38,5.471308355088266,5.3563303703594904
39,5.342139477487782,5.294200015198664
40,5.342936347741292,5.280381673081202
41,5.154580502417795,5.1520064984226215
42,5.154315200331731,5.074272492658195
43,5.075605806730655,5.074221723464717
44,5.1529607047350146,5.078458177437094
45,5.275061057675458,5.068819317163852
46,5.133677469568224,5.074360892411804
47,5.117816535418485,5.149232731651864
48,5.211709363575876,5.146848729373835
49,5.204488406774421,5.139302426889725
50,5.054234707216013,5.132759470328324
51,5.094273598728534,5.126191201696839
52,5.123795709372973,5.123795709372973
53,5.039616508713424,5.116156585835759
54,5.073983710502667,5.111724038485514
55,5.044143123349394,5.093877129023532
56,5.072644476051474,5.072644476051474
57,5.064955123696586,5.067713746135665
58,4.53969047128427,4.544330850840772
59,4.526104197836701,4.492688200916857
60,4.526622869038901,4.478766847861266
61,4.507543104770602,4.464766650080757
62,4.468255461410195,4.516574038681002
63,4.641371777279842,4.641371777279842
64,4.8450582667783735,4.752465479950549
65,4.943140500340458,4.760818943546503
66,4.944059829839408,4.853675768371139
67,4.8042179123373625,4.86609331605545
68,5.019239533194721,4.942049894503591
69,5.100216309973188,4.946942438619464
70,5.033716055574165,5.033716055574165
71,5.300741684808489,5.23877496105929
72,5.227376269354647,5.227376269354647
73,5.223509773156054,5.223509773156054
74,5.367203805187378,5.303592620673194
75,5.550062909233008,5.5467516479293515
76,5.563053355337969,5.564680694997345
77,5.520292489346226,5.520292489346226
78,5.500180573695616,5.4791271644977835
79,5.579045065873803,5.539695727085255
