,Bujumbura,Kamembe
0,6.551059360118871,6.253961657448276
1,6.588755294981189,6.256260569164049
2,6.605776806720178,6.028757744299471
3,6.583560273297957,6.035900224312573
4,6.594301393318915,6.042149124237378
5,6.58685742406695,5.912548332844893
6,6.588814356727455,5.910030184163604
7,6.589359020589508,5.8567096340591664
8,6.586142958847989,5.8265208821570385
9,6.579514759064343,5.850416372191885
10,6.569733284672292,6.213751966719874
11,6.556586103503144,6.343557628562012
12,6.549713223468156,6.421793008564208
13,6.604119515454373,6.332892258504377
14,6.601299775586061,6.342027918242158
15,6.602266781920763,6.02894453188407
16,6.611578779786718,6.036645123684083
17,6.609550046995242,6.157803968623679
18,6.617689646198851,6.101489798198932
19,6.625869143584258,6.040736731833174
20,6.626653862364576,6.15669204232568
21,6.6318103144186455,6.15137491065437
22,6.632927414209401,6.07547460999588
23,6.634048206486979,6.0187983293283125
24,6.630406914208195,6.030237548928692
25,6.626774874924381,5.958000440859244
26,6.624352233894867,5.9913282258916665
27,6.620303604451678,5.8557816710677155
28,6.680884611753697,5.991665752061717
29,6.689850951095116,5.985784853385141
30,6.694717142562465,5.8673270045932275
31,6.701662628872733,5.80584398493009
32,6.705549419872702,5.741656787688915
33,6.515340149394893,5.6895133643591445
34,6.371479561986303,6.040922264041188
35,6.407176191833273,6.01458158982066
36,6.382394242556285,5.994320906492115
37,6.42737863769142,5.715462431994093
38,6.419946473580604,5.818640016130446
39,6.509398202240473,6.316533601860256
40,6.529703468401219,6.31920672423058
41,6.530331411906939,6.32505006800594
42,6.521976964677472,6.3234764769334815
43,6.518046916719541,6.331334430262817
44,6.521803788991553,6.167258379912178
45,6.526846199265699,6.071033814026753
46,6.520651218276904,5.98847421475149
47,6.536400838625864,5.9215112981320805
48,6.527266458375356,5.827942054429041
49,6.515064879288084,5.955982246065133
50,6.51281920235054,6.209730028395985
51,6.518874025193815,6.158312673835638
52,6.524892407686636,5.983882922825795
53,6.517067355550041,5.98320838135396
