,Ngozi,Kamembe
0,6.083595854626639,6.002764318330901
1,6.278549747862325,5.950063258882491
2,6.277044715576592,5.913286848401468
3,6.265595796077003,6.008843422925059
4,6.281201403477482,6.083340281377958
5,6.075748554299915,6.110012869741412
6,6.077610732578964,6.043120302970567
7,5.89961513316127,5.915727360489298
8,6.018392984072269,5.980944674098517
9,5.95475143657423,5.934649562188009
10,6.059859588631684,5.953098566656013
11,6.149972230191106,5.920779329252172
12,6.143099350156119,5.938681223365733
13,6.229229698805654,6.051144921572411
14,6.228869104423331,5.990472439409617
15,6.229294545621591,6.048502540783727
16,6.319924866041962,6.060320959369367
17,6.237235662910681,6.082332963151574
18,6.243342928811339,6.087586893029941
19,6.24830284061415,6.087828339367025
20,6.254981189231674,5.966518510249041
21,5.93648210791234,5.961743790811702
22,5.93868912606712,5.947367927319533
23,5.871986130189663,5.884663982208585
24,5.872393469021647,5.928085837307651
25,5.801812236955429,5.918735722337301
26,5.865792788148753,5.9655757297892515
27,5.719727094610259,5.945807822725435
28,5.643382971643061,5.987410426491579
29,5.5646538286159455,5.791782436978431
30,5.567933976927659,5.643575735241475
31,5.739145179503344,5.66841395188991
32,5.883119626063513,5.667230462478968
33,5.8892268125399205,5.669014842810803
34,5.676875716929893,5.599089511762149
35,5.767163274813551,5.630890281262055
36,5.768670592030551,5.637645962553383
37,5.917726034587793,5.6382727933029635
38,5.908180115972894,5.776417385708099
39,5.968201480598184,5.743441589368264
40,5.9068882957854605,5.773881088446245
41,5.9068882957854605,5.720749849060107
42,6.024504345490049,5.7491633042758945
43,6.018907569523006,5.697430083265733
44,5.898069736281122,5.683133371449232
45,5.901934983382253,5.677690066450933
46,5.894725429555528,5.636156576181714
47,6.111845806410822,5.651380229421331
48,6.105520464663054,5.639541451558705
49,6.092602194811349,5.665345961715921
50,6.090356517873804,5.721440569652407
51,6.090018822849641,5.697584887052424
52,6.15223723321203,5.616632357291462
53,6.081504425209332,5.678284502467673
54,5.994140488272787,5.616044816719354
