,Meru,Machakos
0,5.90073795790374,6.139219946114761
1,6.018563318775577,6.135997253363657
2,5.945009930296401,6.145474694950575
3,5.937330373950593,6.054093521706231
4,5.634288120264093,5.827897636831899
5,5.533765360894449,5.821020721157123
6,5.5816893021735945,5.830917088735715
7,5.586206400697214,5.8043098052638795
8,5.491735200794748,5.526340729972224
9,5.423259102304064,5.556322220511225
10,5.385897971154036,5.522802048257198
11,5.164511466149675,5.488603902297297
12,5.160193797845806,5.519252533139814
13,5.155915119885291,5.478688512148342
14,5.158209693010464,5.511094959273008
15,5.197347650111786,5.365619232099011
16,5.201808719671995,5.329098957286026
17,5.178765106195391,5.246206386990925
18,5.206229886463256,5.272187854255054
19,5.210725266543995,5.164205250909102
20,5.209182167299708,5.162662151664815
21,5.112331265738146,5.15634815115492
22,5.001892812861884,5.102240786696167
23,4.9968405308690675,5.284522603320849
24,5.103675063759679,5.201488373782122
25,5.105158680488635,5.245575859318381
26,5.201825792710114,5.289217614825124
27,5.2582349546524645,5.362731166021395
28,5.311644059473479,5.427156946595323
29,5.308385480337343,5.354255934403439
30,5.3505638617977445,5.3505638617977445
31,5.29159019089933,5.351549122967573
32,5.2289194583860645,5.352533414353242
33,5.098820513093208,5.360036012356825
34,5.040107668803134,5.3523546480791975
35,5.032484858394782,5.348555934109249
36,5.023296203592858,5.340792538755065
37,5.33110499232784,5.0706656562699335
38,5.399845335366764,5.469077126936084
39,5.472042830327415,5.329452972901233
40,5.46671362000175,5.620864299829009
41,5.468043987544671,5.618866877279254
42,5.456538002545213,5.617377670523267
43,5.4817455174944145,5.607528757326522
44,5.506333205907609,5.597581877372754
45,5.6224229125033105,5.630953741355395
46,5.726426697376483,5.663247795754952
47,5.696791260962384,5.72055307994949
48,5.666250672617582,5.717611532290115
49,5.664594745414867,5.716568792487795
50,5.665645859122193,5.71552496424412
51,5.664005046150279,5.723996956778254
