,Ruhengeri,Ngozi
0,6.040304680308272,5.800053222391385
1,6.011286117483688,5.86990366183599
2,5.891147034475059,5.8744416833772455
3,5.8858695278639335,5.875488760740866
4,5.829566853466542,5.87355829151794
5,5.997897915733644,5.869307728576876
6,6.040925167031038,5.858775215490107
7,6.034473459811091,5.9870418642376055
8,6.039343175233221,6.049819425140857
9,6.103328911862708,5.936272031350254
10,5.8673270045932275,6.114310584957968
11,5.753936125328072,6.008515448312788
12,5.7065654678776445,6.124114584542641
13,5.916706675330274,6.016312240858618
14,5.992846130605414,6.136254589697888
15,6.035329222014908,6.14537874047434
16,6.021894233396215,6.197289005113433
17,5.99956668309799,6.20511498084665
18,6.000099875326919,6.196450250776229
19,5.997390656910471,6.192225701277987
20,6.050275201124174,6.289454653656934
21,6.123328952279136,6.289454653656934
22,6.123331405662144,6.282474754276641
23,6.000480185945827,6.273903548211585
24,5.868444467091552,6.132909327358523
25,5.952488292630035,6.056590331400893
26,5.98628842153151,6.131487411580053
27,5.975456961023795,6.114685372918901
28,5.962419968657595,6.153588867704077
29,6.015043960556395,6.193954689071636
30,6.064654850451594,6.403427824330405
31,6.0535493513875585,6.403968822122032
32,6.053942461080548,6.2471359750348245
33,6.0750159306070834,5.876888951456165
34,5.933375583093265,5.806235923633672
35,6.043318161974349,5.931384492792854
36,6.142361748868113,5.95849633237177
37,6.005459359447893,5.98489248111995
38,5.901329177417885,6.0364631851751085
39,5.886382290661799,6.081235798981164
40,5.97516682476429,6.127336585856836
41,5.883160292742626,6.150864688685514
42,5.851819844084738,6.167609368916407
43,5.8423984408812535,6.060055276934594
44,6.146068853697659,6.050514312628761
45,6.173184236902974,6.016315846488436
46,6.404687478052265,5.983273967896186
47,6.361402550264024,6.0267679500726565
48,6.374581059884107,5.966016332131185
49,6.1339126362517336,6.158475679264323
50,6.078959818364267,6.157195543156077
