,Kampala,Masindi
0,6.062626852386032,6.123251474202466
1,6.09072285150714,6.060442530899319
2,6.139226924669675,6.07692304133352
3,6.144191047856933,6.077322641474356
4,6.181575043675408,6.064285957152308
5,6.134167266475048,6.070042738305509
6,6.131081105653541,6.068293011053473
7,6.085522439767753,6.054682991384673
8,5.988219344105672,6.056735343862079
9,6.011723901415866,6.052104707506678
10,6.04544923422998,6.052130773563463
11,6.0455047006442335,6.1069795792240145
12,6.1061937291492265,6.10306056731719
13,6.15657674005763,6.095489048077792
14,6.135130873309249,6.077143615658899
15,6.122531294927363,6.173519819667611
16,6.140075824644642,6.142057985848633
17,6.158082002828329,6.133074570711704
18,6.19681024654512,6.141759257364711
19,6.242566656293172,6.136612844860007
20,6.336532113449884,6.135574564806038
21,6.286929341858527,6.134535205606046
22,6.233440409848054,6.127784079959406
23,6.303271015773716,6.124489577113207
24,6.367273182820459,6.121292687066978
25,6.31628120553039,6.113643140753075
26,5.939568693678022,6.122483898456167
27,5.941103502770316,6.123622512423043
28,5.934920514536505,6.118333395413176
29,5.900443646822555,6.116939383429103
30,5.930573014720752,6.1101261299601
31,5.887946763794555,6.108122953880963
32,5.840978656373405,6.104634076604516
33,5.767369358556267,6.09294639019578
34,5.771640296084297,6.096754435110813
35,5.770193600100865,6.096423615231827
36,5.7673689040246625,6.093598919155624
37,5.771605357997039,5.913047367970069
38,5.797635573930532,5.902456860672624
39,5.76750807297175,5.842409381144868
40,5.839799265618317,5.839799265618317
41,5.837415263340288,5.839995909933781
42,5.863064243269277,5.902478211810154
43,5.898711691261576,5.828507432588327
44,6.011644827736443,5.8876329296930106
45,6.039038772214684,5.8852374373691445
46,6.030339835370349,5.91239643131641
47,6.246782991763333,6.287738756600155
48,6.253849702009266,6.253849702009266
49,6.297009093784002,6.379122069505014
50,6.288425456447108,6.305033192846769
51,6.323656981542247,6.343399460271448
52,6.357432088559859,6.350019156170734
53,6.463373999770067,6.386200734524484
