,Gulu,Lira
0,6.281089093774321,6.284467475365949
1,6.28032944653131,6.326504178166685
2,6.405513693022968,6.403282379341532
3,6.519273661151749,6.441571359574251
4,6.550593704745909,6.511475288150438
5,6.6127555968902145,6.543291845062377
6,6.62002426828871,6.551180550355619
7,6.52673237592274,6.488903597652056
8,6.529804686986427,6.4923421122342475
9,6.094397799582862,6.064976322601498
10,5.939917966176214,6.0042340426459795
11,5.939080996020765,5.999496259519676
12,5.934222491583547,5.865483781999095
13,5.705650631037101,6.08201182847926
14,5.8578693085572775,6.0794849756934335
15,5.986789004284445,6.018118854425363
16,5.976920603642268,6.006939533632155
17,6.201313026106578,5.50906796558977
18,6.095423615148493,5.689458131748428
19,6.035469931277337,5.909176205953044
20,5.771605357997039,6.039056534663201
21,5.9995307093644445,5.935872857592468
22,6.036262135538013,5.97497381156673
23,6.0362326666049535,6.03517053161397
24,6.0317232650146115,6.0610754770271384
25,6.025080533902487,6.083188164709767
26,6.02159335596944,6.0788112493633095
27,6.011644827736443,5.966358238098193
28,6.009249335412577,6.009249335412577
29,6.002530556671921,6.000359003158413
30,5.999027233486417,5.970295975445936
31,5.919375761068152,5.636013349760887
32,5.608430701153913,5.730847500225399
33,5.615851078339013,5.647201608223089
34,5.641398737657507,5.455050537665471
35,5.647919383584474,5.359217423231947
36,5.58713531147474,5.342731760733681
37,5.328199550090468,5.330285056581489
38,5.329945477229976,5.521269940409946
39,5.331688361419905,5.529888746837217
40,5.437376343279495,5.530633836766078
41,5.439999923605536,5.538205447338319
42,5.453966124106448,5.604937151016327
43,5.349524937947573,5.550195633409724
44,5.356716232503921,5.55590159534988
45,5.175118084318262,5.638278741600945
46,4.953058665636901,5.64008961917941
47,4.951798933106279,5.647990256047452
48,4.769684157070914,5.72463396209482
49,4.760133801550239,5.713946972747484
50,5.09063649177608,5.669612526996045
51,5.150500702194178,5.70054703911345
52,5.326919357918798,5.770226819210122
53,5.423454266151022,5.895328803332569
54,5.833164810626566,5.925757597454391
55,5.833672182178691,5.869106555166567
56,5.83803024778327,5.8529673097373704
57,5.8509916339755135,5.446748273117672
58,5.7088856027066575,5.3392864077869895
59,5.674188679358706,5.39516466965004
60,5.673236806213697,5.446463486848908
61,5.703672152090274,5.623278259162909
62,5.55396900920264,5.530903736271644
63,5.694800635798286,5.615463893561765
64,5.695617170683403,5.616512989592131
65,5.696429779953402,5.614512657485514
66,5.437964891650919,5.437964891650919
67,5.480370847779199,5.613902240403721
68,5.48279563487325,5.696169394591656
69,5.529209803476454,5.431910892489655
70,5.528905376261507,5.481438839022584
