,Busia,Masindi
0,6.484273434130676,6.465225239159982
1,6.5097193815338565,6.455271570344619
2,6.487370746174096,6.458589092132568
3,6.480575301000738,6.492322866350689
4,6.54795668949815,6.679165800083002
5,6.549507351979704,6.679861549024396
6,6.504827322206012,6.676941645377108
7,6.544519930548691,6.702156046269875
8,6.333078952381815,6.7014573486616476
9,6.351968029604088,6.696148575961132
10,6.348159339610958,6.689633670863659
11,6.326456781179954,6.497408484717015
12,6.30475379309067,6.482272895773473
13,6.336876534329248,6.506644149537146
14,6.333496132248131,6.523361731526907
15,6.44080757466837,6.523105074728996
16,6.459829224395914,6.593452490785948
17,6.5521888183429535,6.588568383098891
18,6.557256755296448,6.501129119006803
19,6.472967513574678,6.47904873424721
20,6.362495507720011,6.279218116108922
21,6.358446097206194,6.300161239991715
22,6.477459806090242,6.420259995524769
23,6.52600340998999,6.429318290751434
24,6.527799111664322,6.422438596006496
25,6.521873300117559,6.502437728059688
26,6.5682621866316495,6.576508348170308
27,6.755208606620563,6.569405482771316
28,6.8144264820429035,6.5664279873774465
29,6.836408044213878,6.597569785439308
30,6.763172859837966,6.590755438475138
31,6.755151279648352,6.586698709388025
32,6.757273450876662,6.578006596294953
33,6.5686053536510105,6.5860404154731125
34,6.45524907719179,6.591907192610265
35,6.335859699897743,6.451292870809253
36,6.39597073814894,6.41053682201548
37,6.452166065288748,6.527440987522891
38,6.478555173605915,6.525614734516767
39,6.474503260213176,6.592977142183737
40,6.490188802656174,6.586298810232551
41,6.587247809928879,6.5810939443545005
42,6.499956941318101,6.259280911242251
43,6.395096163241861,6.247240634735078
44,6.283574874774027,6.100754440444159
45,6.212372552833423,6.096423615231827
46,6.209992795585473,6.0930990441139725
47,6.35076064995387,6.201628316886867
48,6.306302535228485,6.191351789549613
49,6.359145339474154,6.534912024138188
50,6.384164618504159,6.534237601941882
51,6.585852906913254,6.530562443900234
52,6.583474574587587,6.487981003885049
53,6.551717638267006,6.519704661279193
54,6.564760051068772,6.511175804934666
55,6.562364558744907,6.510090070492864
56,6.631283818798617,6.536089306104479
57,6.258538428971502,5.804871219045459
58,6.057030870876536,5.787024309583478
59,6.0213704836787825,6.012823423100325
60,5.955502967877606,6.010643726556405
61,5.960273905882792,5.866086690823091
62,5.956033494853461,6.050321702162092
63,6.056329551764917,6.0338106882295675
64,6.05218165042742,6.022390027562991
65,6.133655764325432,6.014703821464067
66,6.126954902622973,6.020651435457276
67,6.132401458663641,6.023490766989252
68,5.996663085586993,6.27462060814678
69,5.94231889202038,6.094844876120637
70,6.041642782338404,6.042672118507518
71,6.064048048055822,6.049863413063866
72,6.19304763747439,6.194812862998959
73,6.266651194980059,6.373813365371398
74,6.4511225008960125,6.382810133007966
75,6.477744607422322,6.456353417441004
76,6.470879912437218,6.368100043372883
77,6.490652074375765,6.364233547174291
78,6.551501210703764,6.469124069085033
79,6.604173346422462,6.530685529327375
80,6.590809707238734,6.558233536804122
81,6.5736796800094,6.790396932878082
82,6.473166649246316,6.5634534959184165
83,6.457991137211788,6.511285099155636
