,Nairobi,Meru
0,6.043448405287259,5.90073795790374
1,6.0484778753471,6.018563318775577
2,6.147326547331649,5.945009930296401
3,6.09409885631993,5.937330373950593
4,6.0093684917455406,5.634288120264093
5,6.045955241352255,5.533765360894449
6,5.951169348546963,5.5816893021735945
7,5.957432935276257,5.586206400697214
8,5.838868489147492,5.5885506634405795
9,5.789942314452403,5.552661873377691
10,5.78841996717783,5.553816903873834
11,5.839259753458919,5.551577681007138
12,5.837862975246761,5.517815618292949
13,5.833923919941989,5.475790186539596
14,5.874681468392518,5.4320373570426
15,5.818264920736835,5.498531598912676
16,5.830468460863813,5.491735200794748
17,5.722114475353969,5.423259102304064
18,5.735793228107389,5.385897971154036
19,5.618234964950236,5.164511466149675
20,5.6110414513169395,5.160193797845806
21,5.5891451194912865,5.197347650111786
22,5.60878098707073,5.201808719671995
23,5.576448073861501,5.178765106195391
24,5.593345855903224,5.206229886463256
25,5.569670359017267,5.210725266543995
26,5.4888778881188385,5.209182167299708
27,5.459460796833347,5.112331265738146
28,5.436557075662312,5.001892812861884
29,5.438673283148107,4.9968405308690675
30,5.284324379361271,5.103675063759679
31,5.214531237636422,5.105158680488635
32,5.210916764411365,5.201825792710114
33,5.207282627478537,5.2582349546524645
34,5.303447292269301,5.311644059473479
35,5.191622332581704,5.308385480337343
36,5.3583460022397995,5.3505638617977445
37,5.371993093906342,5.29159019089933
38,5.416344927098195,5.2289194583860645
39,5.4267273868554975,5.098820513093208
40,5.37882122126736,5.040107668803134
41,5.301672348210398,5.032484858394782
42,5.400289637619711,5.023296203592858
43,5.407137892891147,5.33110499232784
44,5.570751928922461,5.399845335366764
45,5.57607355855524,5.472042830327415
46,5.5830140756979105,5.46671362000175
47,5.7321955625862575,5.468043987544671
48,5.730706355830271,5.456538002545213
49,5.8170807193050305,5.4817455174944145
50,5.845985095446202,5.506333205907609
51,5.752997736003181,5.6224229125033105
52,5.746629404694002,5.726426697376483
53,5.813529536407596,5.696791260962384
54,5.813816010033001,5.666250672617582
55,5.74005315666646,5.664594745414867
56,5.759364169368541,5.665645859122193
57,5.7214621011750655,5.664005046150279
58,5.722984032857879,5.705149165221846
59,5.713122016246839,5.635194816026122
60,5.626878299010426,5.621338118634811
