,Kisumu,Arusha
0,5.663050592336632,5.3161332504449055
1,5.658422997047921,5.313708138404248
2,5.603264899627125,5.30891085511358
3,5.658435682791919,5.731657082610951
4,5.649614801044308,5.7245594047698205
5,5.6453157285155475,5.721962954176504
6,5.644411917069104,5.617142605034944
7,5.661726557228723,5.400440642658901
8,5.662286980255242,5.399964071637734
9,5.656204742720281,5.39768511652383
10,5.802409186260294,5.296231023149782
11,5.798528843119516,5.291335463523213
12,5.795368494635372,5.395121450512922
13,5.792136561535243,5.3918837370684916
14,5.791749730263689,5.357856917668446
15,5.790034499001399,5.39836341672408
16,5.79116715685274,5.403761418458451
17,5.788058315131654,5.43679595632625
18,5.784959108361613,5.44444472114339
19,5.779982896630039,5.534579538846854
20,5.77430474846033,5.649944168589701
21,5.768359647969329,5.75282669928617
22,5.763139938819203,5.794338779709701
23,5.756721464185711,5.827777437084094
24,5.747452117001923,5.869704669993074
25,5.852975591899102,5.930973454855508
26,5.852145456585041,5.986426665467563
27,5.964318411082766,6.031250271040776
28,6.057741573514864,6.11528598802862
29,6.045890772185865,6.111559480006191
30,6.1341510512095425,6.268523178429757
31,6.2214516905106825,6.261541545051247
32,6.219830190693429,6.1877713548258875
33,6.230121695754557,6.183889545754441
34,6.234106630229812,6.006220888349961
35,6.236415078500186,5.7846371836482176
36,6.0489982865163086,5.497595701740491
37,5.938092164952554,5.514044262101511
38,5.832822456095262,5.499299789558962
39,5.838244418011139,5.4992076023025565
40,5.838868489147492,5.412854321800954
41,5.789942314452403,5.408898442850501
42,5.595333601459176,5.380760254795821
43,5.691082366106241,5.54110921613512
44,5.6812723892289725,5.53579587677543
45,5.7570714098044515,5.4499121698897035
46,5.67054198068604,5.259386746576515
47,5.748978841888254,5.257175820927511
48,5.670452751457429,5.25021947087972
49,5.741984323720734,5.3430828702914175
50,5.575087141284258,5.34498329758997
51,5.54308517019238,5.391339105961063
52,5.516384814767096,5.253218435175246
53,5.51754129358232,5.031718853651894
54,5.521002374922609,4.900092483650358
55,5.339466838321893,4.902001142312378
56,5.330396879833921,4.901519197262282
57,5.507666154635059,4.739282205158855
58,5.44265043059901,4.9023315780284715
59,5.512297429154828,4.969585316326035
60,5.513197636284299,5.029941707869589
61,5.5107485676315795,5.028424999593834
62,5.527413550334973,5.025798518342362
63,5.4941026261324355,5.136507602734529
64,5.5611286309050945,5.188366307921746
65,5.65008736520297,5.218885617578165
66,5.493305968234323,5.184950383554069
67,5.437422675972245,5.114944618859133
68,5.427966688336249,5.1628664932766215
69,5.422118501286266,5.1313885312131235
70,5.476715704823058,5.128853674501414
71,5.476130764378098,5.141140312830274
72,5.620836033319873,5.2216896097719925
73,5.878614745410771,5.240051789536639
74,5.874398484848228,5.213997725698514
75,5.872401062298474,5.3096563986669185
76,5.717985684444245,5.746956373572211
77,5.718253174917198,5.686171358715641
78,5.714671083395043,5.807795590512352
79,5.740418591141374,5.688434236107429
80,5.904179009916696,6.042551197210232
81,5.896530832160317,5.823283862802259
