,Machakos,Nairobi
0,7.203495633283781,6.976395953810355
1,7.051440072562689,6.9644286955730585
2,7.015992517815172,6.969037625026219
3,6.9586365192124084,6.872958698013008
4,6.949589746913631,6.891196321007663
5,6.944983520439066,6.850134914610164
6,6.847708817347679,6.849735160492912
7,6.865036890513538,6.8645397490665605
8,6.867249393766345,6.915992455889184
9,6.860012380640688,6.955187404001223
10,6.85577364531681,6.948831064537871
11,6.943402849603698,6.944306600230055
12,6.942049186344503,6.942049186344503
13,6.938045564906418,6.946164689344923
14,6.936089831272608,6.9462269934952445
15,6.934130265248393,6.943163750346061
16,6.9351365952064965,6.9450421241959
17,6.932488370885018,6.941933282474813
18,6.929833114845796,6.9386100362728955
19,7.012008031304075,6.934382869273539
20,7.005973144572913,6.927921658868566
21,7.000503329261961,6.92254178779225
22,6.906970837420569,6.916948244452567
23,6.900615701018805,6.909702542280784
24,6.891995627987074,6.912848604823
25,6.86165474610844,6.879978348189089
26,6.866175378769005,6.813519155821566
27,6.8576485135248175,6.742404429030368
28,6.857018578914012,6.7434696858768275
29,6.846520602884505,6.7309748971348045
30,6.834947252322877,6.937123713238327
31,6.917465278108666,6.723580933077895
32,6.913753919605064,6.862594086080313
33,6.918917142641159,6.918917142641159
34,6.988866158800316,6.734997450714313
35,6.840473727891594,6.764585191897196
36,6.842550882070501,6.839996602265405
37,6.838570474197825,6.847582666910338
38,6.737567502194116,6.7840875178290085
39,6.88777101187092,6.826732031130862
40,6.851544882626548,6.8919829141380236
41,6.448058883581744,6.716442261281928
42,6.454081647763497,6.820726764022079
43,6.44111094428759,6.8266658924364245
44,6.438242399317682,6.795454701147532
45,6.6603725917598355,6.65984862004232
46,6.585838074161033,6.659054816764169
47,6.2835597947718185,6.360634965102319
48,6.248752708480322,6.365110227145485
49,6.210688474142265,6.499832687846701
50,6.139913583328657,6.438290944897186
51,6.152607977393292,6.436750223139949
52,6.199176629037024,6.429675613045191
53,6.280856042868541,6.4219548838385405
54,6.28329354413385,6.477993233832854
55,6.360072958526515,6.493962453213951
56,6.359539473654137,6.430157040868091
57,6.35612704163298,6.423004324293556
58,6.411615967657628,6.389637060938853
59,6.339461562014965,6.448309439533206
60,6.342078014909487,6.476152738164056
61,6.474780445172006,6.4769465579129
62,6.591918256902433,6.41964703596198
63,6.59902086264247,6.4209079730420875
64,6.649545581237234,6.508657350387003
65,6.644014821801107,6.592006318184378
66,6.634837166223737,6.553918725067488
67,6.573631324193517,6.456960017389824
68,6.718010507218355,6.460717296052026
69,6.769814555291399,6.6746858472233495
70,6.76508709974917,6.863783054289599
71,6.809320131517678,6.8543383486645615
72,6.921842013395526,6.921842013395526
73,6.911256544077335,6.923450998784079
74,6.900557822703477,6.918950045320755
75,6.905179650127709,6.9755659902614235
76,6.909780214499683,6.974806897716756
77,6.8191653686176,6.921444217738019
78,6.857713115249154,6.917661375862936
79,6.987016774735873,6.779293171834601
80,7.101499171687513,6.779838253727508
81,7.046933534015064,6.845138358506392
