,Ruhengeri,Kabale
0,5.809899963020098,5.864640134535914
1,5.565998630249903,5.860057895725204
2,5.540403243665132,5.9181962574657865
3,5.685380660383976,6.074722820423918
4,5.827045976287395,6.075674742172574
5,5.605813449939738,5.995293085665356
6,5.601585196201171,5.9984969115443585
7,5.494674294856354,6.00169050569505
8,5.804549160761584,6.054123550810641
9,5.896911203271378,6.056735343862079
10,5.886068239536137,5.91234276513152
11,5.969562627875629,5.7393490504576326
12,5.725988766039724,5.8206912352208375
13,5.793144301235133,5.818164011986835
14,5.885365371973309,5.887970814666663
15,6.023036726185589,5.866712099933052
16,6.019248857314792,5.859760650285631
17,6.017624374055705,5.73312151298501
18,6.067536700489121,5.807270155526661
19,6.068104917462647,5.813227849686463
20,6.068674618106615,5.845959002019068
21,5.993772259893822,5.8831635447086805
22,5.912801970203955,5.883361167610363
23,5.903901266889405,5.876892216654152
24,5.959418756616188,5.875497049611605
25,5.956394825763953,5.938773677414251
26,5.952275649165432,5.931817738769596
27,6.030813243481567,5.989057916220662
28,6.035900224312573,5.983435180334269
29,6.044198305282314,5.929260879084041
30,6.160727962320427,5.935325499727626
31,6.1591854203209255,5.837313889777912
32,5.76177159343919,5.940162341662212
33,5.912575778920711,5.939917966176214
34,5.909434098622017,5.830155414198442
35,5.905307902819664,5.528757383475383
36,5.89071926244637,5.614042787931312
37,5.885046007533101,5.783957050270508
38,6.059003508184932,5.779707830980365
39,6.061307584499176,5.68697864322305
40,6.071677381470038,5.602819426509245
41,6.085435287853515,5.603265420379634
42,6.159666166554744,5.598802722299193
43,6.158045356678502,5.691102139147969
44,5.7509560227244725,5.680526165783623
45,5.903780169615618,5.686539010438083
46,5.902458565057477,5.686509541505024
47,5.891147034475059,5.684125539226995
48,5.8858695278639335,5.675704892445366
49,5.754875960864952,5.539959184248697
50,5.862250120202743,5.529909584470062
51,5.857796833267144,5.575304755982544
52,5.850939046591927,5.566226000180676
53,5.857831007394825,5.4683989824242465
54,5.993283549476262,5.345191557304439
55,5.937696004520118,5.069893442679584
56,5.633588328070851,5.00812164893342
57,5.528804922411252,4.943603988701015
58,5.709600122925881,4.951709413493983
59,5.991774893223915,4.935198399561458
60,5.878150919984036,4.924819948473324
61,5.861096686347354,4.917143610746762
62,5.866342462953229,4.890087546982564
63,5.866568482702396,4.9227842367180275
64,5.864323480928714,4.929799495233464
65,5.868572647754504,5.097291180167716
66,5.900907683408751,5.098210509666667
67,5.894875115457288,5.031607754533023
68,5.62558865786655,5.096200574330849
69,5.570762311305188,5.233089591353161
70,5.716099514565805,5.241004235098581
71,5.6993354778032455,5.355034767175152
72,5.750670923712082,5.344647141107389
73,5.705888549649205,5.286030130137388
74,5.731178024565783,5.328698541804271
75,5.726996139497009,5.483428529405349
76,5.758209508868859,5.830167035057341
77,5.801774790427058,5.691784644209972
78,5.800886824560006,5.6922920157620975
79,5.828561575156329,5.700038377160435
80,5.763262629627971,5.85011203155298
81,5.80823603718836,5.851667611676873
82,5.799037238218257,5.850715738531863
83,5.757170050978357,5.8473346357344775
84,5.771015811669442,5.699239051090859
85,5.732502770058035,5.694800635798286
86,5.785674872420951,5.695617170683403
87,5.818029138934011,5.7020320355020715
88,5.786700268917317,5.842217143333874
89,5.75435806875749,5.8382645609120605
90,5.763321038796345,5.838428369233539
91,5.675781063510792,5.614840536866957
92,5.614574181422755,5.617571013347163
