,Machakos,Makueni
0,6.562791194386278,6.626356644137863
1,6.558673564716479,6.492915613849857
2,6.642141817272417,6.641520506286292
3,6.644353091804366,6.644353091804366
4,6.636621028557028,6.6375499649916865
5,6.628910312900068,6.747107341524484
6,6.6244969367003845,6.743936973564398
7,6.623821061543903,6.740776625080254
8,6.61970505201614,6.736519028276414
9,6.618032368987572,6.736132197004858
10,6.616356883402047,6.734970828952519
11,6.617135250433609,6.735470924954569
12,6.614036043663568,6.731809444368906
13,6.6109272019424825,6.729262876463442
14,6.606127899326081,6.7246025457714955
15,6.600716001527368,6.718291072121132
16,6.595038221153797,6.655662842970232
17,6.588744974595147,6.649517012937241
18,6.582190495280729,6.640690267577683
19,6.57314099196354,6.635728177591476
20,6.620523118161618,6.666327634215451
21,6.665761376585466,6.662934119966538
22,6.656900779427753,6.656900779427753
23,6.656551736270831,6.656551736270831
24,6.645415885178283,6.645415885178283
25,6.634071769966371,6.7226776696406025
26,6.91999799368795,6.735312768732915
27,6.91290825359272,6.731601410229312
28,6.918917142641159,6.736595585847204
29,6.9164661289917495,6.822605410156545
30,6.921298880389344,6.791174646086436
31,6.840693871323289,6.7472407022661764
32,6.637693422977616,6.637977151167915
33,6.632377649562559,6.632377649562559
34,6.642341637789341,6.640362838557079
35,6.632941201237457,6.644808522838236
36,6.544106889292635,6.56899436499229
37,6.633950856878744,6.581246793388176
38,6.623656490330998,6.619729416560388
39,6.642193578858994,6.61955943568563
40,6.672984121029003,6.672984121029003
41,6.695339231698333,6.695339231698333
42,6.7157319947758065,6.716727515017308
43,6.6354442258711,6.607672225917502
44,6.566953392770506,6.5494704299901585
45,6.426866061584948,6.426866061584948
46,6.556072424785176,6.49596328587717
47,6.475108766062382,6.499206317641442
48,6.498915566713621,6.532149394468324
49,6.357925744754901,6.499874846258469
50,6.352847807536467,6.4947969090400335
51,6.488495407646785,6.456746709332204
52,6.490604189903722,6.459495904087616
53,6.494862660343422,6.464971722750536
54,6.489478302761023,6.486953048893829
55,6.4760695667111605,6.49559429914353
56,6.534558994643471,6.5041615174591
57,6.570425394098724,6.535210487807658
58,6.582929713837039,6.563966289890722
59,6.595279604605138,6.591918256902433
60,6.6012381584511175,6.546032107589777
61,6.5957691844564295,6.5957691844564295
62,6.589250736391131,6.589250736391131
63,6.616283758327989,6.583101491824548
64,6.679103068370451,6.679103068370451
65,6.670370760201973,6.671376290703991
66,6.682706090693324,6.654523873933005
67,6.694891113024504,6.670686424327686
68,6.669688502111016,6.669688502111016
69,6.7561260042163465,6.659167623324681
70,6.74937695063103,6.7103795942779705
71,6.742582037638564,6.759096174402977
72,6.786871164936991,6.7581008527969875
73,6.795380463594158,6.756107232650463
74,6.774277960220293,6.729562481892944
