,Nairobi,Owino
0,6.646389256953784,6.549089386259068
1,6.639041435259668,6.577317384946351
2,6.687488450843135,6.518566601942577
3,6.664819458193112,6.535536160018683
4,6.633927826383913,6.677355844837763
5,6.635206259414846,6.605846195190644
6,6.640537434794652,6.540388189406946
7,6.642141817272417,6.552406136343881
8,6.668774329881169,6.591873480460989
9,6.661404307088801,6.615933575438553
10,6.654662809002483,6.449038453929686
11,6.6502810538561,6.477066337580395
12,6.623821061543903,6.437522699974859
13,6.6209496072483445,6.44215294216079
14,6.630053253646404,6.436160547191164
15,6.616980130539704,6.5423232365565624
16,6.617135250433609,6.556107830249778
17,6.614026408712523,6.589533478879123
18,6.6109272019424825,6.5743119407576085
19,6.607061460931148,6.398114045424532
20,6.6247541389301885,6.381882860752917
21,6.595038221153797,6.43848880487973
22,6.608596743147879,6.500073397992073
23,6.582504220773498,6.509105407369265
24,6.597418561544886,6.6114883655834955
25,6.577088911765866,6.61245173027075
26,6.5698298857950155,6.607299149439882
27,6.564017031985086,6.749134376931457
28,6.564431530349914,6.788620214694112
29,6.5300176440869455,6.867545437902375
30,6.53994365666427,6.861353697393771
31,6.526892946567049,6.856648166002482
32,6.534979303293161,6.848876293235224
33,6.736087842754295,6.515723917055652
34,6.73550882888961,6.443179353104459
35,6.7449322539958025,6.369176518407709
36,6.7472407022661764,6.451225325979993
37,6.7431674395719465,6.491195409194483
38,6.740124394407893,6.4869349505875125
39,6.749620673390103,6.484474118132993
40,6.753015007712652,6.516910499473327
41,6.755159221021647,6.618651356660965
42,6.7583281582099595,6.615360439861219
43,6.755414007099377,6.39917401875369
44,6.756570373233819,6.382430488835728
45,6.753898897589661,6.299680577704196
46,6.7509796652411875,6.35930208488863
47,6.742619896426794,6.424592157534765
48,6.733019947164562,6.413767803545446
49,6.721602231451038,6.459265399242641
50,6.741763720215278,6.460625784598636
51,6.732315032958749,6.566099178177021
52,6.721296273593566,6.602245940175688
53,6.67596542327674,6.722959450631854
54,6.662211052945607,6.386170099468836
55,6.611632335676067,6.1455842682179815
56,6.559014468684269,6.172172096591272
57,6.423072002342487,6.157100877128949
58,6.368775520489862,6.153768763274872
59,6.212608833725317,6.156908459543163
60,6.287445604180244,6.140722794578813
61,6.325240913570056,6.223818801333028
62,6.356079930192133,6.216999989388145
63,6.360072958526515,6.309119362566396
64,6.317042236430258,6.223781017326023
65,6.337217387275688,6.137826569887441
66,6.2671555045009155,6.1471133046663935
67,6.291762505427867,6.148032634165344
68,6.343526241085852,6.154407268815136
69,6.2697933143828655,6.2906039276406345
70,6.267272555535977,6.373813365371398
71,6.427517382429762,6.418604935085321
72,6.452880812929591,6.455001152190991
73,6.390234301025007,6.445987944428703
74,6.395011114949591,6.546800532856458
75,6.4290748139002885,6.602490322579463
76,6.492465994366607,6.626953374754281
77,6.5695470856411635,6.680488463777335
78,6.541147052972701,6.671897308154846
79,6.475104252705267,6.492660443927318
80,6.497597010635765,6.558265308079828
