,Makueni,Meru
0,6.736595585847204,6.618749096401022
1,6.9096167871461756,6.616766744535951
2,6.837694661721328,6.253426844787594
3,6.7472407022661764,6.2183965729975075
4,6.7431674395719465,6.286355275080574
5,6.737567502194116,6.332102394085951
6,6.745553560513844,6.344155565281938
7,6.698553266927505,6.347042671594628
8,6.649234530454639,6.348678368793648
9,6.738850351250389,6.353370535522481
10,6.755414007099377,6.39990337707474
11,6.756570373233819,6.398875541394341
12,6.753389083660699,6.397660730246647
13,6.749449052697467,6.348822869095615
14,6.742619896426794,6.385507092158509
15,6.5428810290214185,6.333428946101424
16,6.375822792174269,6.269249420091233
17,6.383512957599335,6.303709170008167
18,6.375855320215022,6.333358082991144
19,6.369679727880385,6.397253054784485
20,6.607814485954423,6.38003055508371
21,6.636436823670675,6.38666894688887
22,6.611919638224058,6.388776086909848
23,6.628978686106459,6.411225983427125
24,6.568684994934784,6.20224095268945
25,6.1162255195772595,6.0247331791525935
26,6.025208435862414,6.0489719303145995
27,6.210688474142265,6.031705818613825
28,6.169924661744696,6.079904811264352
29,6.212608833725317,6.125748708343024
30,6.207530896506882,6.171964065512139
31,6.280856042868541,6.084279518939052
32,6.20312242554521,6.160490223749327
33,6.283612474715751,6.02445995151566
34,6.358103723228033,6.080902928243835
35,6.35612704163298,6.13262319487261
36,6.340585471507749,6.188812032580339
37,6.32479854270489,6.296332201117933
38,6.342078014909487,6.342078014909487
39,6.44337812268831,6.268066001924324
40,6.535353843673951,6.188135234977254
41,6.485736571466569,6.377540743926958
42,6.5957691844564295,6.344612596914546
43,6.644014821801107,6.366383085202827
44,6.608225696998227,6.354133489153418
45,6.639262124379034,6.37629211432237
46,6.669364217590571,6.386036531519875
47,6.6746858472233495,6.512519092407855
48,6.763265605620779,6.5081674948299115
49,6.669688502111016,6.566656276212781
50,6.841993085395108,6.661181722696382
51,6.834854370271537,6.575586864175662
52,6.827664327259632,6.481973862166198
53,6.8284733274976945,6.56667362328174
54,6.829281673783383,6.644756165940486
55,6.732620083456497,6.71564269559263
56,6.857713115249154,6.781835231128974
57,6.876463706498625,6.779293171834601
58,6.894869174417017,6.734763699625318
