,Meru,Eldoret
0,5.90073795790374,5.959846070158149
1,6.018563318775577,5.9888055438607015
2,5.945009930296401,5.996869315839742
3,5.937330373950593,5.85614021922058
4,5.634288120264093,5.8020564056480115
5,5.533765360894449,5.772486606150529
6,5.5816893021735945,5.783397572767739
7,5.586206400697214,5.718719359584662
8,5.5885506634405795,5.763783859039392
9,5.552661873377691,5.649511699367608
10,5.553816903873834,5.553816903873834
11,5.551577681007138,5.554973270008276
12,5.517815618292949,5.521318248844151
13,5.475790186539596,5.459230470500578
14,5.4320373570426,5.469216360284354
15,5.498531598912676,5.46268546713954
16,5.491735200794748,5.481115631967288
17,5.423259102304064,5.49897092403976
18,5.385897971154036,5.49549659756693
19,5.164511466149675,5.52262078757555
20,5.160193797845806,5.481896746596045
21,5.155915119885291,5.478688512148342
22,5.158209693010464,5.482449361196043
23,5.197347650111786,5.475938750862315
24,5.201808719671995,5.473526941134762
25,5.178765106195391,5.246206386990925
26,5.206229886463256,5.206229886463256
27,5.210725266543995,5.206169450008134
28,5.209182167299708,5.162662151664815
29,5.112331265738146,4.949812336240371
30,5.001892812861884,4.822899046160605
31,4.9968405308690675,4.879057495212685
32,5.103675063759679,4.8184961215260165
33,5.105158680488635,4.883897777989041
34,5.201825792710114,4.820050455724354
35,5.2582349546524645,4.8108673548902905
36,5.311644059473479,4.86663165427706
37,5.308385480337343,4.983277002366445
38,5.3505638617977445,5.088590146056171
39,5.29159019089933,5.040090552975195
40,5.2289194583860645,5.184068892220713
41,5.098820513093208,5.191413299921033
42,5.040107668803134,4.98633127202233
43,5.032484858394782,5.037706802375934
44,5.023296203592858,5.077086378178995
45,5.33110499232784,5.210427598645093
46,5.399845335366764,5.431594033681344
47,5.472042830327415,5.438255832750031
48,5.46671362000175,5.649035176795705
49,5.468043987544671,5.754895150102365
50,5.456538002545213,5.743380796726998
51,5.4817455174944145,5.589840001006751
52,5.506333205907609,5.5438376013660635
53,5.6224229125033105,5.587806427414205
54,5.726426697376483,5.5870473348695375
55,5.696791260962384,5.586288818109315
56,5.666250672617582,5.525745210656986
57,5.664594745414867,5.522532862906612
58,5.665645859122193,5.521094538642053
59,5.664005046150279,5.7214621011750655
60,5.705149165221846,5.42003448827531
61,5.635194816026122,5.329027928900238
62,5.621338118634811,5.33365604618303
