,Eldoret,Kampala
0,7.2857998494089715,6.797703299801299
1,7.283754175849106,6.767859774885163
2,7.268272663216036,6.777904312992352
3,7.234668422408563,6.768072718295499
4,7.190784742349406,6.79728365343428
5,7.3201385438559,6.801450297836939
6,7.316380423942373,6.7803388590375375
7,7.34732803813147,6.804630896958932
8,7.308340030983496,6.850090250237013
9,7.266137990754371,6.854761481672814
10,7.190476283175049,6.730229919679549
11,7.220061456829194,6.691881727850796
12,7.236925534430312,6.71369716557516
13,7.178430922655134,6.68255771003577
14,7.1787560885656685,6.6585445086473545
15,7.17061455885785,6.673387277778334
16,7.176751038369032,6.669579553199765
17,7.174175103668285,6.715641890832525
18,7.142981126328327,6.711029309676086
19,7.092497495215696,6.751729402537795
20,7.123941040198397,6.732031854731596
21,7.167429200577943,6.5989813912322735
22,7.149434299939093,6.6429563529729885
23,7.188697054769562,6.6996863311358
24,7.226764956153801,6.678983140193819
25,7.194643125527804,6.6590830115524895
26,7.133786765819096,6.661833739512934
27,7.119817206790433,6.695677712426985
28,7.135657592303315,6.775205768889622
29,7.122766057873517,6.822795777635917
30,7.129516404338379,6.81420691896807
31,7.107086137384232,6.830170769542119
32,7.10337477888063,6.833619739863409
33,7.142399046183262,6.815215125447011
34,7.133447387611423,6.792577888072415
35,7.143588825164313,6.7891845540846925
36,7.166051730228647,6.802313314191814
37,7.122415109531602,6.816522870817105
38,7.073966588601332,6.8412752096780824
39,7.127827729788931,6.823338291654072
40,7.128627152671136,6.828931407134244
41,7.133004424352959,6.839175547029991
42,7.134606645231592,6.8238649008539705
43,7.104619739457457,6.757549329050427
44,7.127817524031642,6.746775490723683
45,7.1366826210159005,6.776112319585729
46,7.164484422289458,6.7724008178518655
47,7.163625857851087,6.79121031440766
48,7.125421961298002,6.779138454451733
49,7.097292353375164,6.7579266180726325
50,7.134793783196345,6.757639184479301
51,7.098686659062667,6.754222657587084
52,7.083402306156786,6.747703532595385
53,7.037305883772062,6.744018639932947
54,7.052320563833304,6.829033623992183
55,7.070113474080583,6.839666860321264
56,7.049110485312021,6.832085953122172
57,7.046443940947998,6.868029940388789
58,7.039414082395344,6.836374624684397
59,7.076632483010425,6.749535613786933
60,7.080427337668469,6.7365115042288854
61,6.987595394574869,6.688202400826429
62,6.887283616649819,6.6882933447007735
63,6.939034472097251,6.673537436235919
64,6.9347825102752045,6.702152937991156
65,6.954239228574494,6.708640164237795
66,6.9570499907613135,6.768362238389773
67,7.018760365676765,6.784374800449423
68,7.0449420854537905,6.788292340766275
69,7.069501977025853,6.760294935069912
70,7.09537167081274,6.7632182732555775
71,7.196801651993541,6.795680491078833
72,7.194447111880922,6.788850769199765
73,7.219553753093459,6.790991638143216
74,7.213096007448676,6.611187775945774
75,7.189065505169518,6.603141149840569
76,7.185099005964277,6.624840730862728
77,7.190242421622816,6.641552832590525
78,7.175409380811988,6.678166016494928
79,7.166807646515863,6.751718982421796
80,7.17829990127378,6.748201880990163
81,7.190075278754165,6.748460022259219
82,7.20284045084742,6.736943200844543
83,7.212426845505268,6.722714740107661
