,Mulindi,Ruhengeri
0,6.813521055164761,6.813521055164761
1,6.807770681886676,6.810748082922316
2,6.7760978809169945,6.790431092119046
3,6.75549879438876,6.765571627177055
4,6.752097401946285,6.779237455066693
5,6.736256897887701,6.792719043066423
6,6.754797815745553,6.798544539692396
7,6.767494833372926,6.821736316210255
8,6.750147987945943,6.7911934211890586
9,6.7611142054171625,6.805207369387469
10,6.745774752578109,6.792370396876302
11,6.7484220841200795,6.861092994156332
12,6.702427529643627,6.813201935145533
13,6.688547499490726,6.802872318444153
14,6.676085989263267,6.78904322653777
15,6.656985645303576,6.768226647180095
16,6.710253252164891,6.762050781454818
17,6.698471867612233,6.736856110620549
18,6.684263425495448,6.792533393429326
19,6.665469807143367,6.8110443112941885
20,6.659403230216061,6.810413684426482
21,6.673209519653741,6.809377056711561
22,6.681718944500208,6.810479038787743
23,6.68441167711708,6.811583308225625
24,6.67550015231221,6.805929147388593
25,6.661708758240538,6.800242835141403
26,6.652412085236046,6.848428079655556
27,6.652013908456621,6.847954797375551
28,6.649542006323898,6.845384689993779
29,6.645975163348919,6.841007786991967
30,6.6477178106060135,6.843339265348304
31,6.651141358838321,6.846374027923991
32,6.658581387216461,6.852737401657419
33,6.665767649019375,6.853417162565521
34,6.655323236739954,6.854164942208932
35,6.6607232367284945,6.858107532387714
36,6.662003795379246,6.8576869493303585
37,6.657755920277485,6.853863218306122
38,6.673914955157913,6.848732973604506
39,6.670388654990838,6.836158484034943
40,6.647264212055518,6.828856108109329
41,6.630568861681154,6.820229900963154
42,6.637074274733229,6.8233815623447205
43,6.6510176747532395,6.833153202340072
44,6.664975966741286,6.847343831622957
45,6.669561124827782,6.852580761929317
46,6.668684569781263,6.851658411926584
47,6.6689260161183475,6.805668132517342
48,6.667517666091672,6.805091157745374
49,6.6649977390414215,6.8045167566006155
50,6.665818678860372,6.8359432593471405
51,6.661096265241573,6.829728545544641
52,6.674697865768655,6.817473276852352
53,6.664262563497018,6.807652905583659
54,6.659809276561418,6.710613852196878
55,6.653201819598087,6.703079531454919
56,6.65900504866579,6.730464012647935
57,6.647588603737463,6.773753335714742
58,6.600573046815747,6.809158933198022
59,6.617306296845496,6.806864602037824
60,6.61440822419771,6.796921553933091
61,6.623072924813738,6.827230029427219
62,6.628318701419614,6.813598416771321
63,6.627558448366056,6.810071778101436
64,6.629100317627914,6.807959666693399
65,6.636799746645856,6.812208833519188
66,6.638192654794407,6.817439060212475
67,6.663210625225972,6.8355631349145005
68,6.655321267645033,6.830828488019258
69,6.630667434440515,6.809306459696213
70,6.6404734313287825,6.7872859902530065
71,6.6191186462889,6.776335923355868
72,6.608868074557321,6.763516390622766
73,6.595873385409056,6.8760581790826185
74,6.583410267806092,6.870501498290906
75,6.576270675760085,6.862767211617764
76,6.570920669456183,6.852355510523528
77,6.573683448504491,6.851404835019904
78,6.588178004034093,6.851349769330533
79,6.565125371416499,6.849216775737552
80,6.555929656478118,6.782376834188294
81,6.527823990363879,6.593910587099939
82,6.523308578377271,6.579529471221743
83,6.511744944632696,6.5716571634839
84,6.49898560044542,6.563257642718898
85,6.48619570722927,6.544967024644683
