,Masindi,Kasese
0,6.695282992076009,6.85651289461052
1,6.720822459543145,6.846294610070295
2,6.730876771790358,6.8749915146261005
3,6.750687117923312,6.747877338047209
4,6.752140206445604,6.711271538568826
5,6.746014980333689,6.712511488848022
6,6.770894058271242,6.8227773515096315
7,6.771018518893061,6.8345108264562
8,6.759652894450565,6.8240528250536485
9,6.7626378901459425,6.800296410172921
10,6.761624268926409,6.7963537494475075
11,6.747550490779322,6.843750293823358
12,6.681068506484302,6.847365684337016
13,6.676617289707049,6.8998802368783645
14,6.675174588352429,6.898080016079373
15,6.668386947214642,6.892007711613546
16,6.663273905315209,6.886417456629419
17,6.65517982382773,6.880360890079465
18,6.636454757742766,6.859476424725056
19,6.615628319914756,6.838523701479584
20,6.581908576923682,6.805052128237891
21,6.57462355454389,6.799043430217704
22,6.5836271608819565,6.798830381450847
23,6.576430002121544,6.798617378064098
24,6.576469175913188,6.78243099362471
25,6.7597819649749775,6.73223785079909
26,6.780810600762836,6.757571754831194
27,6.794305764650775,6.7791155991568
28,6.882671939423787,6.758792375998723
29,6.875027678466785,6.739221946974403
30,6.882480322191302,6.775537810337138
31,6.892433478336285,6.788287660671727
32,6.895987797507099,6.7871561558233
33,6.869776385633712,6.788561757047894
34,6.843314536597355,6.78975454333694
35,6.813956437599327,6.784852526933321
36,6.809592370749438,6.779994022496103
37,6.80253046041779,6.775159009039205
38,6.7968025171811925,6.771612268352634
39,6.74085635860623,6.79678820842347
40,6.7292307088611825,6.7860935707557255
41,6.733214621992752,6.775265977188408
42,6.734878691666694,6.761185717260585
43,6.729146632633346,6.697961309806346
44,6.539895886126755,6.671182608897453
45,6.532359181336218,6.806045907371657
46,6.6040338363770426,6.811898807473221
47,6.603402501641885,6.786626721352554
48,6.60222186894349,6.78962837432224
49,6.83232249954551,6.8045029596903825
50,6.830324752527179,6.80437423335443
51,6.811044716095681,6.788032684728935
52,6.765332120597391,6.713453268182942
53,6.7059345306596025,6.701104899592258
54,6.490240999896085,6.750262269352953
55,6.492592570548907,6.7716965633469055
56,6.476530358526835,6.7413466062416125
57,6.498630683264274,6.743302487842133
58,6.525950409243852,6.7750176455678535
59,6.532734130413318,6.794324999637309
60,6.534734713288011,6.720813318959678
61,6.695172209288324,6.680628457109515
62,6.705670331253574,6.812089608259642
63,6.485166027835435,6.789399072119459
64,6.49140457764584,6.795680491078833
65,6.650159334444721,6.790310268364219
66,6.57160134506392,6.81638222368294
67,6.658761865674257,6.797946496381307
68,6.716115546690544,6.7986004535561015
69,6.7055186025503914,6.7055186025503914
70,6.728099071658377,6.755359719867269
71,6.770255581599211,6.75051160360952
72,6.766519449926777,6.793574240158408
73,6.776911986872595,6.7870203761933565
74,6.784649790622513,6.814926464638243
75,6.789948738184538,6.8873426138287295
76,6.782374576513997,6.894996310390155
