,Kampala,Ruhengeri
0,6.007031667686231,6.283217251193524
1,6.023765894143638,6.279903592265833
2,6.056416972618743,6.234497842581117
3,6.062626852386032,6.294194544742304
4,6.09072285150714,6.3505274176451865
5,6.139226924669675,6.356295554316818
6,6.144191047856933,6.380077795136465
7,6.181575043675408,6.349003142985581
8,6.134167266475048,6.3633161666305815
9,6.131081105653541,6.289103919590747
10,6.085522439767753,6.350349206799406
11,5.988219344105672,6.302376311379542
12,6.011723901415866,6.291961155137457
13,6.04544923422998,6.279249062378441
14,6.0455047006442335,6.257052652046707
15,6.1061937291492265,6.2517427560440675
16,6.15657674005763,6.226291958943903
17,6.135130873309249,6.215248861663603
18,6.122531294927363,6.27304775892336
19,6.140075824644642,6.2909486980697835
20,6.158082002828329,6.38580526356713
21,6.19681024654512,6.386651314105039
22,6.242566656293172,6.38749933791425
23,6.336532113449884,6.37628657758218
24,6.286929341858527,6.364946664171547
25,6.233440409848054,6.355993085751263
26,6.303271015773716,6.355643362824861
27,6.367273182820459,6.353732811193225
28,6.31628120553039,6.348489997501445
29,5.939568693678022,6.164504459410481
30,5.941103502770316,6.164539768770413
31,5.934920514536505,6.160488584088879
32,5.900443646822555,6.256489932812973
33,5.930573014720752,6.248098183886897
34,5.887946763794555,6.2412519083112645
35,5.840978656373405,6.23363083040881
36,5.767369358556267,6.2355023862255505
37,5.771640296084297,6.244994375170911
38,5.770193600100865,6.259788674998292
39,5.7673689040246625,6.360040835118575
40,5.771605357997039,6.359139583551838
41,5.797635573930532,6.3578554765800845
42,5.76750807297175,6.358377966301426
43,5.839799265618317,6.3550967145094175
44,5.837415263340288,6.342913076171015
45,5.863064243269277,6.337635569559889
46,5.898711691261576,6.328197204138714
47,6.011644827736443,6.315005363352365
48,6.039038772214684,6.311321603195794
49,6.030339835370349,6.303806393594676
50,6.112200288881037,6.3091539525461995
51,6.038338737864384,6.312222270177028
52,5.927760984556476,6.1185064163344025
53,5.877725266834921,6.008281777512261
54,5.866086690823091,5.996031662122927
55,5.803379821293796,5.994437243245431
56,5.78338317796689,6.107053903247108
57,5.771224552883313,6.104732686814956
58,6.014703821464067,6.117584713642469
59,6.075711212640304,6.222280034362545
60,6.078438463773156,6.221517800673659
61,6.135021518959832,6.220750869475664
62,6.093868790147582,6.226731638465731
63,6.148032634165344,6.268354724329394
64,6.154407268815136,6.266689120611705
65,6.194812862998959,6.281604857851449
66,6.246782991763333,6.31453254494073
67,6.253849702009266,6.228662758230336
68,6.297009093784002,6.210744022017104
69,6.288425456447108,6.229199753781177
70,6.323656981542247,6.224954026826148
71,6.357432088559859,6.237561664348352
72,6.463373999770067,6.211437970741141
73,6.545509948009071,6.196981814994793
74,6.559342516862992,6.224587488212667
75,6.558645794350314,6.197768188976779
76,6.546114490297316,6.156069595177607
