,Soroti,Busia
0,5.635845373847415,5.752193689028138
1,5.632550871001215,5.76315459508666
2,5.791608808453554,5.861196332657981
3,5.862824867282645,5.928837110631458
4,5.927802490107859,6.079054370053745
5,5.919009075587126,6.083893311057493
6,5.822576736495707,5.980881500846523
7,5.7967794350841455,6.01459182757544
8,5.630280035160463,5.688290027834117
9,5.430325348723161,5.474777111293995
10,5.407508770743049,5.462532472239282
11,5.30802271951776,5.416722136441101
12,5.366866266073148,5.477651372541887
13,5.383759991607632,5.480279080286579
14,5.41348878419944,5.433135781583236
15,5.324971673865417,5.450898467104721
16,5.342936347741292,5.44403246461266
17,5.289075440965589,5.411591328899088
18,5.154315200331731,5.281738231253175
19,5.076987976957607,5.235077220363793
20,5.1529607047350146,5.241253311880692
21,5.214152304588466,5.357897063254608
22,5.149262200584922,5.3907923781495715
23,4.993362360945079,5.347322780520523
24,5.187258267711711,5.258887923850967
25,5.179917146043915,5.254202785427384
26,5.178569006359618,5.186003984847137
27,5.126191201696839,5.136607962555095
28,5.047672013900172,5.285397988508652
29,5.039616508713424,5.2114667656400835
30,5.111724038485514,5.197853192215453
31,5.029877546190572,4.985817556396541
32,4.831482419234586,5.09438446268788
33,4.829302722690667,5.025513391645289
34,4.767474402154981,5.041170232632022
35,4.770614098423273,4.888397134079656
36,4.649584580173736,4.916389067603962
37,4.637137876021543,4.9122411662664645
38,4.630512510540956,4.785862950560118
39,4.6322584376804645,4.85034721833305
40,4.8908326369114254,4.9101258398461045
41,4.898050796918883,5.09637269505928
42,4.89896928202732,5.065030317949494
43,4.853675768371139,4.9922619316572865
44,4.862754414789935,5.020243995882708
45,4.901099290890496,5.177463538409615
46,5.029341970386531,5.228470645496867
47,5.109427877309861,5.28346871561634
48,5.1775794000323705,5.367156127707497
49,5.165598909658404,5.281200919368427
50,5.193098072738031,5.315883093287069
51,5.210398843775247,5.353189561812566
52,5.269517842096371,5.587374617670365
53,5.265551236705213,5.789448942038557
54,5.523688078347364,5.629726330391688
55,5.322017027050325,5.520799860898352
56,5.532984292497268,5.546362418443445
