,Ngozi,Ruhengeri
0,5.800053222391385,6.040304680308272
1,5.86990366183599,6.011286117483688
2,5.8744416833772455,5.891147034475059
3,5.875488760740866,5.8858695278639335
4,5.87355829151794,5.829566853466542
5,5.869307728576876,5.997897915733644
6,5.858775215490107,6.040925167031038
7,5.9870418642376055,6.034473459811091
8,6.049819425140857,6.039343175233221
9,5.936272031350254,6.103328911862708
10,6.114310584957968,5.8673270045932275
11,6.008515448312788,5.753936125328072
12,6.124114584542641,5.7065654678776445
13,6.016312240858618,5.916706675330274
14,6.136254589697888,5.992846130605414
15,6.14537874047434,6.035329222014908
16,6.197289005113433,6.021894233396215
17,6.20511498084665,5.99956668309799
18,6.196450250776229,6.000099875326919
19,6.192225701277987,5.997390656910471
20,6.289454653656934,6.050275201124174
21,6.289454653656934,6.123328952279136
22,6.282474754276641,6.123331405662144
23,6.273903548211585,6.000480185945827
24,6.132909327358523,5.868444467091552
25,6.056590331400893,5.952488292630035
26,6.131487411580053,5.98628842153151
27,6.114685372918901,5.975456961023795
28,6.153588867704077,5.962419968657595
29,6.193954689071636,6.015043960556395
30,6.403427824330405,6.064654850451594
31,6.403968822122032,6.0535493513875585
32,6.2471359750348245,6.053942461080548
33,5.876888951456165,6.0750159306070834
34,5.806235923633672,5.933375583093265
35,5.931384492792854,6.043318161974349
36,5.95849633237177,6.142361748868113
37,5.98489248111995,6.005459359447893
38,6.0364631851751085,5.901329177417885
39,6.081235798981164,5.886382290661799
40,6.127336585856836,5.97516682476429
41,6.150864688685514,5.883160292742626
42,6.167609368916407,5.851819844084738
43,6.060055276934594,5.8423984408812535
44,6.050514312628761,6.146068853697659
45,6.016315846488436,6.173184236902974
46,5.983273967896186,6.404687478052265
47,6.0267679500726565,6.361402550264024
48,5.966016332131185,6.374581059884107
49,6.158475679264323,6.1339126362517336
50,6.157195543156077,6.078959818364267
