,Gitega,Ngozi
0,6.865100051882092,6.796363623530281
1,6.796639172399495,6.642580013187319
2,6.795266595321443,6.676314652460078
3,6.778783626542012,6.705876855733924
4,6.7660341127686685,6.684344074574107
5,6.774901445615591,6.698696094415852
6,6.826199041133555,6.686463338246203
7,6.8490244834866045,6.780250694046756
8,6.845448202454812,6.775560018507979
9,6.747834118025431,6.527621687520081
10,6.522128887772034,6.423233414258223
11,6.40337779635737,6.449844647367992
12,6.439896842275917,6.526658500198199
13,6.529176096097467,6.610008256721139
14,6.6040351960843635,6.6040351960843635
15,6.604195317677902,6.521088849750354
16,6.6738524505225225,6.519407263256823
17,6.6789081743070815,6.642409956263854
18,6.682205652188828,6.646642364630414
19,6.670113371590146,6.670113371590146
20,6.656913386272335,6.655729954181555
21,6.710702043271596,6.710702043271596
22,6.819769861284269,6.820013022379691
23,6.86289733852379,6.890383452714823
24,6.855862479929755,6.856779490539636
25,6.7625571178219355,6.87464120456885
26,6.836534868985286,6.838285416478271
27,6.880655512571653,6.829713619400052
28,6.773022319706008,6.743905447107665
29,6.71097374466288,6.595159213579168
30,6.825832500893881,6.682495098839073
31,6.818856204014143,6.650454559336517
32,6.714431531347168,6.574571448729524
33,6.717461284424855,6.522935379097491
34,6.275775210324592,6.3630764563920525
35,6.501184359241759,6.445844326089781
36,6.587083706752373,6.369406395577907
37,6.517312504122805,6.442079567005593
38,6.513148083852709,6.436808990163779
39,6.501454443918998,6.501454443918998
40,6.520346018488,6.486444466812319
41,6.549713223468156,6.479571586777331
42,6.603039018320619,6.538860792629208
43,6.662752554799725,6.538709517863751
44,6.662668441846831,6.60172521678432
45,6.668827279658887,6.60778781938417
46,6.611731072941602,6.5467567269987015
47,6.618234456890616,6.409421284649685
48,6.559515410476124,6.33491731345092
49,6.559529713682596,6.251811614470395
50,6.3368395799621595,6.253744180498596
51,6.4238609767860275,6.4231887078531456
52,6.42607287664594,6.42607287664594
53,6.422977584926722,6.422977584926722
54,6.471621871444935,6.419891844481952
55,6.416376904053828,6.416376904053828
56,6.616473230411444,6.4866941874054715
57,6.624576589752642,6.49151347154548
58,6.5674275358822305,6.341372774360563
59,6.569965437589987,6.463049711665355
60,6.507359933096713,6.47053037381762
61,6.511026284755057,6.474797346458598
62,6.440799661675883,6.528371671073536
63,6.449841314481712,6.52375699743188
64,6.5328811482083315,6.5328811482083315
65,6.533509701046613,6.6027541132215966
66,6.541084515433901,6.611459209890555
67,6.600150133359824,6.601327296532839
68,6.597690809386151,6.597690809386151
69,6.662999280515012,6.599449824791331
70,6.69385423156306,6.600620785112481
71,6.718687258923526,6.640669759310491
72,6.7120547500829515,6.647792815864582
73,6.656123017471842,6.365127855297101
74,6.595082163942198,6.489590766797371
75,6.5181195713551245,6.481986608370936
76,6.428488333446317,6.535780683567229
77,6.4184493198496195,6.527266458375356
78,6.479482980807147,6.582058249983899
79,6.609150311288972,6.641501152542139
80,6.6114345607170115,6.6727228846882936
81,6.4893556734098485,6.622240862457765
82,6.3432628126513215,6.384811815564194
83,6.254691216673205,6.338534765106397
84,6.336248967105975,6.362476731353213
85,6.547288808941099,6.611258986784031
86,6.634236347797868,6.66151572621953
87,6.688521001564885,6.659902196259232
88,6.5974015371096915,6.656144184987139
89,6.593265529262515,6.652579116350448
90,6.643630045119263,6.725170132658303
91,6.689702350816131,6.743661493188706
92,6.68209183025225,6.762529747985074
93,6.730434276198684,6.876904962960908
94,6.770474300430715,6.514230800690161
95,6.6044934926943135,6.476015167921182
96,6.594241924221874,6.677733056188251
97,6.531994829502916,6.702802940741385
