,Tororo,Busia
0,5.366612950491872,5.36207779532648
1,5.340941584956898,5.28363414666162
2,5.3145937976166415,5.405565575822368
3,5.295622821353832,5.385648973011552
4,5.291061483717872,5.463674226384866
5,5.348429982859414,5.477292535162619
6,5.549749753989781,5.534768200374164
7,5.610142423642327,5.637730380161156
8,5.602991124233586,5.616097471738887
9,5.576141902958443,5.6194157628448895
10,5.4923782278421704,5.634434821290053
11,5.423705056340891,5.469654946532747
12,5.360092855457803,5.456208999440352
13,5.454821743197266,5.4980504777480865
14,5.5281612144275725,5.6144753223593185
15,5.5139818386605155,5.574993019280119
16,5.555958906579959,5.571987744855858
17,5.635625854879024,5.665746161968274
18,5.656488286964094,5.61794312996396
19,5.725621390378153,5.6592902186260625
20,5.695102992115967,5.657481000326382
21,5.643596694341668,5.732630316712065
22,5.687556151203077,5.756137415357606
23,5.72931576756422,5.714467684831294
24,5.722318971851242,5.727483129399476
25,5.7813879192895,5.869151850657754
26,5.969114394466924,5.998561595793225
27,5.9628779560878975,5.959988615736292
28,5.964084995289282,6.002421144032829
29,5.983435180334269,6.0187784503382575
30,6.007103365847976,6.03479995022846
31,6.029826072147289,6.074183924777686
32,5.797147848052577,5.659705617436055
33,5.1801395887336295,5.528147641817006
34,5.372561740665815,5.460618596056998
35,5.366130350325041,5.439461623410591
36,5.423792202869158,5.525192317310887
37,5.527474771622853,5.5759271550088
38,5.471308355088266,5.540051507507869
39,5.342139477487782,5.377670905866268
40,5.342936347741292,5.3681477670877875
41,5.154580502417795,5.2868257212315735
42,5.154315200331731,5.198209393888956
43,5.075605806730655,5.28116832756406
44,5.1529607047350146,5.241253311880692
45,5.275061057675458,5.240375499687569
46,5.133677469568224,5.223738293486406
47,5.117816535418485,5.209250741378117
48,5.211709363575876,5.3214082808323
49,5.204488406774421,5.237904403694265
50,5.054234707216013,5.161002682641719
51,5.094273598728534,5.157121502388198
52,5.123795709372973,5.17731166271308
53,5.039616508713424,5.136990672738601
54,5.073983710502667,5.163281848150364
55,5.044143123349394,5.123095675022673
56,5.072644476051474,5.136495948038006
57,5.064955123696586,5.123953464458541
58,4.53969047128427,4.710315988315033
59,4.526104197836701,4.709989476606838
60,4.526622869038901,4.674075600182032
61,4.507543104770602,4.677959870541799
62,4.468255461410195,4.653049207349539
63,4.641371777279842,4.897305151417043
64,4.8450582667783735,4.981561429792054
65,4.943140500340458,5.031693897681903
66,4.944059829839408,5.035434103522495
67,4.8042179123373625,5.042843827799949
68,5.019239533194721,5.111948931298989
69,5.100216309973188,5.131306897043219
70,5.033716055574165,5.145237330006572
71,5.300741684808489,5.326166783174299
72,5.227376269354647,5.281200919368427
73,5.223509773156054,5.315883093287069
74,5.367203805187378,5.49049406921397
75,5.550062909233008,5.6431166006786
76,5.563053355337969,5.591947821337684
77,5.520292489346226,5.533806208512949
78,5.500180573695616,5.562437848935936
79,5.579045065873803,5.638344808155095
