,Tororo,Mbale
0,6.185519821966424,6.125694585280951
1,6.073898430220707,6.097763169405871
2,6.068477088366464,6.069029117085975
3,6.060260250682779,6.149586336358325
4,5.990600297611413,5.990600297611413
5,5.984066945929966,6.052661965810316
6,6.003388257527522,6.090790989056548
7,6.077143615658899,6.076076948891097
8,6.019229611621754,6.075212876056446
9,5.957754267850688,6.151910282291645
10,5.992409450916572,6.183377283779265
11,6.310628435613145,6.436508681502148
12,6.316157340665454,6.2258225973734085
13,6.125979730139825,6.22956876614927
14,5.761986482247964,6.2275476341741385
15,5.798048228634538,5.941103502770316
16,5.866523058369317,5.936110990867579
17,5.865483781999095,5.933629195808209
18,5.858104237907202,5.928200534367122
19,5.829480305294592,5.989968378186867
20,5.779707830980365,5.985112557957192
21,5.767369358556267,5.974660715674831
22,5.690036036952649,5.914833599620557
23,5.692456634744684,5.915600186058894
24,5.689631938668482,6.198809498536087
25,5.771605357997039,6.201628316886867
26,5.759169293102736,6.191351789549613
27,5.76750807297175,5.912089301782857
28,5.805630370003067,5.909653092819234
29,5.834827939775338,5.906063544885857
30,5.832449607449671,5.900059830945873
31,5.8717161869195635,5.896287447650069
32,5.9515600169992435,5.8876329296930106
33,6.0114068335525985,5.882789455730505
34,6.030339835370349,5.875485673277005
35,6.102425039976394,6.155975117934736
36,6.038338737864384,6.139918530682304
37,5.798226932364573,6.347915185539579
38,5.769091425832126,6.340348788783034
39,5.722985847182417,5.9568974254661855
40,5.724427269620517,5.869226387091382
41,5.71029759625086,5.852730596523678
42,5.823455745108759,5.838607550129361
43,5.896394331465438,6.015755899414871
44,5.9646022840716135,6.020651435457276
45,5.995917440085153,6.023490766989252
46,6.028411783901574,6.029452908409985
47,6.039693056045557,6.145259736017071
48,6.042672118507518,6.148032634165344
49,6.0478205114340655,6.154407268815136
50,6.125441991129507,6.147872838117689
51,6.150301557746637,6.152141484668644
52,6.208040165977971,6.158207792230096
53,6.251620427969974,6.155978518190804
54,6.241069669764819,6.144588235748122
55,6.25870937878719,6.14072173954953
56,6.350019156170734,6.133180094494065
57,6.407463052176407,6.346750768733793
58,6.523314215617287,6.34869360360119
59,6.5275549994261075,6.343990434392556
