,Ngozi,Kamembe
0,6.274015287068532,5.900901049243412
1,6.369134044251951,6.041636172187146
2,6.276161683759354,5.910786217851494
3,6.364820103532932,5.908853020990589
4,6.367989462999362,5.911038020125913
5,6.363567750828419,5.907886438557325
6,6.358082072153762,5.860907057727357
7,6.261654122552297,6.039276262897065
8,6.245282409995431,6.02454403925959
9,6.2384095299604425,6.327715790077802
10,6.230014936380357,6.327670314523226
11,6.228869104423331,6.334514734891375
12,6.313681937899138,5.737791438939411
13,6.233045042035486,5.748963051232302
14,6.141727443695866,6.039205129647183
15,6.146922782984865,5.90606501640655
16,6.0467499218923075,5.906306462743634
17,6.052198560566379,5.56778743432222
18,6.013160074860922,5.344637572698077
19,6.000084065035526,5.330928655379493
20,5.9354275585128615,5.325651148768367
21,5.804897977400199,5.316212783347193
22,5.801812236955429,5.352231273406693
23,5.798297296527306,5.302409381441243
24,5.547036430877266,5.293747502268011
25,5.461644335296973,5.346195994673276
26,5.56306778546031,5.296929524906737
27,5.471353148921878,5.256929398529727
28,5.572823964055831,5.224263701470508
29,5.5777379765123305,5.144446549724103
30,5.486095427777976,5.299151024436736
31,5.6607107800765375,5.188851124901327
32,5.767163274813551,5.135332129626853
33,5.768670592030551,5.194617752869569
34,5.917726034587793,5.14579630820517
35,6.19468502525166,5.306952694766974
36,6.18781457811301,5.52586908310351
37,5.7636072881951055,5.305237078716549
38,5.800746835144563,5.313842779635041
39,6.053106908196236,5.3095068314194505
40,6.130679026381403,5.179697673286487
41,6.133839127518489,5.305714382026771
42,5.718906462967478,5.306277101088684
43,5.88163779480016,5.014896625135084
44,5.473115000427939,4.99243712663225
45,5.35788509881904,4.9823262802248225
46,5.3466568286844325,5.099795438260684
47,5.344411151746888,5.254218583368548
48,5.545029386719342,5.241125482914446
49,5.3552366962848295,5.243758235200941
50,5.471423843348001,5.143007782837518
51,5.652946199520379,5.108300859490772
