,Lira,Soroti
0,6.039157628594478,6.04131048195558
1,6.067679170932938,6.067679170932938
2,6.186263000457503,6.221705147107435
3,6.193265832765308,6.218606555244162
4,6.052053768235239,6.438389706434408
5,6.045018242280258,6.4301943469023986
6,6.052320971841269,6.216049695558607
7,5.938288464858283,6.119623341749793
8,5.871499740494358,5.71903860700354
9,5.676134973936596,5.719241836835949
10,5.717663699046889,5.800096710061011
11,5.788285692873584,5.933728619282173
12,5.791668993331471,5.90105695564276
13,5.784779888087635,5.823103905767166
14,5.781213564324757,5.617400973585761
15,5.779707830980365,5.656328809819859
16,5.768065010758233,5.766673222085411
17,5.50906796558977,5.607733441311675
18,5.558069444036266,5.604900743720365
19,5.686633435672225,5.602076047644162
20,5.692598025739551,5.603546248123648
21,5.724977928354456,5.680526165783623
22,5.76750807297175,5.686539010438083
23,5.802952992232351,5.767478604038691
24,5.834827939775338,5.904856544135821
25,5.859288279059743,5.758540898024515
26,5.864225515190406,5.752999880080181
27,5.9515600169992435,5.7432146867839835
28,5.980769864090709,5.7408191944601175
29,6.002530556671921,5.732763689273369
30,6.058241146508461,5.732186734676591
31,6.038338737864384,5.720147026922902
32,5.83478452809837,5.775922780561859
33,5.790713889845292,5.828751262238462
34,5.804998998843253,5.931781950088486
35,5.647919383584474,5.869226387091382
36,5.628345580121404,5.852730596523678
37,5.61796712903327,5.841110680347479
38,5.896394331465438,5.896394331465438
39,5.9646022840716135,6.126011951115102
40,6.023490766989252,6.0276661383997325
41,6.028411783901574,6.028411783901574
42,6.039693056045557,6.037629071824705
43,6.042672118507518,6.042672118507518
44,6.103500896467623,6.0478205114340655
45,6.146022698829527,6.069061657693399
46,6.1748594085283015,6.099299003294265
47,6.2063025460794305,6.2063025460794305
48,6.251620427969974,6.205810891938681
49,6.241069669764819,6.244408571030333
50,6.235529533008196,6.301166696648176
51,6.316733178537267,6.310560319430186
52,6.426908109295631,6.425531646586908
53,6.489068637104119,6.420997000136489
54,6.5238213298740595,6.5275549994261075
55,6.309250996115041,6.526819362738636
56,6.0356962814890895,6.537520207809981
