,Nairobi,Kampala
0,5.727903134516193,5.3845506511785395
1,5.702948076089333,5.1937148154921715
2,5.705047593937068,5.307425308138028
3,5.691551291576417,5.356531574440825
4,5.681257740805567,5.425347422518691
5,5.677805050045487,5.413154735328748
6,5.676002241356694,5.448326518888029
7,5.694302727663336,5.509585207304187
8,5.691557362555356,5.477387842636589
9,5.689500550827232,5.514758004367279
10,5.684271226021658,5.606639793091126
11,5.7094492130658265,5.606502980345127
12,5.7062888645816825,5.518558680276081
13,5.702791461199394,5.4923782278421704
14,5.702404629927838,5.457606608016572
15,5.636358540284409,5.4244927860608865
16,5.636305997421883,5.470758335460079
17,5.634025999511198,5.627181973628433
18,5.631754950138386,5.554465747867358
19,5.691548031855556,5.605005513884532
20,5.684113305838485,5.694206580903874
21,5.678747489279642,5.758867694182038
22,5.673393650962927,5.823641598941343
23,5.666840644768128,5.769210964269688
24,5.6555892258743565,5.587818608667763
25,5.637504712496552,5.7164555007664255
26,5.756644175719524,5.687172586241856
27,5.918685313466101,5.682328731918932
28,5.965644198304391,5.8162156113416374
29,5.952268704618338,5.970263159670798
30,5.9389513681883095,5.950101940264485
31,5.935226184175415,5.959476692203088
32,6.037439516238821,5.967570824954286
33,6.043448405287259,6.011498977321014
34,6.0484778753471,6.04907800364661
35,6.147326547331649,6.40700251050163
36,6.09409885631993,5.343673231661951
37,6.0093684917455406,5.372561740665815
38,6.045955241352255,5.366831366827636
39,5.951169348546963,5.423792202869158
40,5.957432935276257,5.621333221193991
41,5.838868489147492,5.489861762984013
42,5.789942314452403,5.340009551229958
43,5.78841996717783,5.281513535114885
44,5.839259753458919,5.20226833320351
45,5.837862975246761,5.218853721469302
46,5.833923919941989,5.1489231087502825
47,5.874681468392518,5.222295398136079
48,5.818264920736835,5.209309680112678
49,5.830468460863813,5.112512658376181
50,5.722114475353969,5.117816535418485
51,5.735793228107389,5.272618116662868
52,5.618234964950236,5.15217261741026
53,5.6110414513169395,5.059852699520237
54,5.5891451194912865,5.039616508713424
55,5.60878098707073,5.111724038485514
56,5.576448073861501,5.112569262035685
57,5.593345855903224,5.115661861135165
58,5.569670359017267,5.108205107490402
59,5.4888778881188385,4.615789814822916
60,5.459460796833347,4.549307094916364
61,5.436557075662312,4.653708297357598
62,5.438673283148107,4.594578261602748
63,5.284324379361271,4.56091921874176
64,5.214531237636422,4.615308879366691
65,5.210916764411365,4.802639924875964
66,5.207282627478537,4.9483758808064
67,5.303447292269301,5.037327715400159
68,5.191622332581704,5.05496052587285
69,5.3583460022397995,5.014513321173723
70,5.371993093906342,5.096200574330849
71,5.416344927098195,5.15898161919944
72,5.4267273868554975,5.10420593332871
73,5.37882122126736,5.326166783174299
74,5.301672348210398,5.311310720839797
75,5.400289637619711,5.1011077916433765
76,5.407137892891147,5.369189903159008
77,5.570751928922461,5.615633954984768
78,5.57607355855524,5.607646730880788
79,5.5830140756979105,5.523688078347364
80,5.7321955625862575,5.54764711093454
81,5.730706355830271,5.629212324591822
82,5.8170807193050305,5.584291539316778
83,5.845985095446202,5.476083391530559
84,5.752997736003181,5.35472937439742
85,5.746629404694002,5.320824344947255
86,5.813529536407596,5.2944760673529565
87,5.813816010033001,5.39421279650503
88,5.74005315666646,5.459953203059609
89,5.759364169368541,5.52756483500613
90,5.7214621011750655,5.529286197320713
91,5.722984032857879,5.576072020033621
92,5.713122016246839,5.656309786163976
93,5.626878299010426,5.667632569042072
94,5.645938088041276,5.698624413799216
95,5.631963517254477,5.357169421755842
96,5.642436958473532,5.383303193424278
97,5.6137081930822825,5.327866695514615
