,Dodoma,Arusha
0,6.0367332235162365,6.11528598802862
1,6.084326329547832,6.111559480006191
2,6.016723136445002,6.268523178429757
3,5.707040857782595,6.261541545051247
4,5.647985276476183,6.1877713548258875
5,5.598505173424054,6.183889545754441
6,5.42493956641831,6.006220888349961
7,5.353269332280783,5.7846371836482176
8,5.286829113376017,5.497595701740491
9,5.258565330144365,5.514044262101511
10,5.263156983701112,5.499299789558962
11,5.257206548876339,5.4992076023025565
12,5.220421455402679,5.412854321800954
13,5.225610444060843,5.408898442850501
14,5.086949460402667,5.380760254795821
15,5.032009218336599,5.54110921613512
16,4.995813668717984,5.53579587677543
17,5.065675362401393,5.4499121698897035
18,5.049666215594446,5.259386746576515
19,5.00779003355301,5.257175820927511
20,4.9930570727163905,5.25021947087972
21,4.972138956551486,5.3430828702914175
22,4.949795772240045,5.34498329758997
23,4.9268538194537745,5.391339105961063
24,4.928495091043115,5.253218435175246
25,4.930139060833974,5.031718853651894
26,4.783120807064854,4.900092483650358
27,4.8278931701586565,4.902001142312378
28,4.809774083622453,4.901519197262282
29,4.746886804544074,4.739282205158855
30,4.701660882566321,4.9023315780284715
31,4.678859101493026,4.969585316326035
32,4.709342820404666,5.029941707869589
33,4.776293911406372,5.028424999593834
34,5.048398350259603,5.025798518342362
35,5.03454267607784,5.136507602734529
36,5.037431064948462,5.188366307921746
37,5.006201197054092,5.218885617578165
38,5.029195854144836,5.184950383554069
39,5.029330866136141,5.114944618859133
40,5.044476477328462,5.1628664932766215
41,5.064525585983997,5.1313885312131235
42,5.118853591166832,5.128853674501414
43,5.36819776346562,5.141140312830274
44,5.430738815471762,5.2216896097719925
45,5.423986610055315,5.240051789536639
46,5.410343863659013,5.3096563986669185
