,Eldoret,Nakuru
0,7.268272663216036,6.398194774497013
1,7.234668422408563,6.384698472136362
2,7.190784742349406,6.438302868526916
3,7.3201385438559,6.432925990142166
4,7.316380423942373,6.3716014051639265
5,7.34732803813147,6.386648304973945
6,7.308340030983496,6.451718963030507
7,7.266137990754371,6.4487076584972955
8,7.190476283175049,6.436726620121427
9,7.220061456829194,6.4436668044931
10,7.236925534430312,6.446450009909804
11,7.178430922655134,6.485283742095189
12,7.1787560885656685,6.554696674159666
13,7.17061455885785,6.547987259052753
14,7.176751038369032,6.483603857809086
15,7.174175103668285,6.536468174366648
16,7.142981126328327,6.533368967596608
17,7.092497495215696,6.528469230097079
18,7.123941040198397,6.509328249937939
19,7.167429200577943,6.517076679684085
20,7.149434299939093,6.506506876358174
21,7.188697054769562,6.506947462931485
22,7.226764956153801,6.494855823139383
23,7.194643125527804,6.475317329493039
24,7.133786765819096,6.412670748903304
25,7.119817206790433,6.422393469463228
26,7.135657592303315,6.433268040607714
27,7.122766057873517,6.422974334594903
28,7.129516404338379,6.450679519091376
29,7.107086137384232,6.432644039765539
30,7.10337477888063,6.8491590429770435
31,7.142399046183262,6.482521733841636
32,7.133447387611423,6.414559655454889
33,7.143588825164313,6.4437583877859055
34,7.166051730228647,6.444824767251019
35,7.122415109531602,6.441427189427153
36,7.073966588601332,6.43631017186397
37,7.127827729788931,6.450885006547106
38,7.128627152671136,6.453087884300771
39,7.133004424352959,6.454191311858216
40,7.134606645231592,6.451858171892545
41,7.104619739457457,6.453013202388689
42,7.127817524031642,6.416217016430829
43,7.1366826210159005,6.532283230453505
44,7.164484422289458,6.520031071425579
45,7.163625857851087,6.503776627459613
46,7.125421961298002,6.434348753137186
47,7.097292353375164,6.380900786401212
48,7.134793783196345,6.536741553451624
49,7.098686659062667,6.529801019002309
50,7.083402306156786,6.5278163090448675
51,7.037305883772062,6.521109153343616
52,7.052320563833304,7.183436604386768
53,7.070113474080583,7.1907652847224615
54,7.049110485312021,7.183174406572542
55,7.046443940947998,7.187014165146625
56,7.039414082395344,7.120013242144894
57,7.076632483010425,7.123612710625074
58,6.987595394574869,7.130773010700321
59,6.887283616649819,7.126805802875904
60,6.939034472097251,7.1228227936051365
61,6.9347825102752045,7.116770678167922
62,6.954239228574494,7.161237632979397
63,7.018760365676765,7.244645979701413
64,7.0449420854537905,7.243769219687977
65,7.069501977025853,7.035867321711047
66,7.09537167081274,7.072326129377245
67,7.213096007448676,7.206165137455979
68,7.189065505169518,7.171202387748887
69,7.185099005964277,7.166682279178047
70,7.190242421622816,7.153405844266326
71,7.175409380811988,7.148856416048117
72,7.166807646515863,7.141065800267546
73,7.17829990127378,7.144564718188092
74,7.190075278754165,7.1406900535734215
75,7.20284045084742,7.13931743579251
76,7.212426845505268,7.131948006281767
