Date,Masindi,Soroti
2016-01-01,,
2016-01-15,,
2016-02-01,,
2016-02-15,,
2016-03-01,,
2016-03-15,6.177429259904277,
2016-04-01,6.1779149786102305,
2016-04-15,6.203216766657812,
2016-05-01,6.179494764568006,
2016-05-15,6.130905644493703,
2016-06-01,6.194913668721518,
2016-06-15,6.193412836773711,
2016-07-01,6.179648720459842,
2016-07-15,6.182094873305326,
2016-08-01,6.177661241496442,
2016-08-15,6.178142286718774,
2016-09-01,6.226156343329002,
2016-09-15,6.221308394987518,
2016-10-01,6.213213755990568,
2016-10-15,6.194689712562842,
2016-11-01,6.173519819667611,
2016-11-15,6.140075824644642,
2016-12-01,6.133074570711704,
2016-12-15,6.142251262294685,
2017-01-01,6.134632646193144,
2017-01-15,6.264355423921132,
2017-02-01,6.379166142370841,
2017-02-15,6.372391869941915,6.372391869941915
2017-03-01,6.393507427294286,6.370640577278522
2017-03-15,6.449836239932684,6.5257701407738695
2017-04-01,6.442286155887745,6.55629087456297
2017-04-15,6.438389706434408,6.620651652486489
2017-05-01,6.612455971419808,6.612455971419808
2017-05-15,6.62002426828871,6.62002426828871
2017-06-01,6.365989714413329,6.561597107918934
2017-06-15,6.4527123174634795,6.006536024298302
2017-07-01,6.6327158742379675,6.227102299052104
2017-07-15,6.6342506833302615,6.066754399627313
2017-08-01,6.62896068518407,6.062777709467196
2017-08-15,6.627369672143493,6.116445190189492
2017-09-01,6.620159360657688,6.083029640271961
2017-09-15,6.618651356660965,6.02178675077425
2017-10-01,6.58143835029827,5.971031784621603
2017-10-15,6.570147672170397,6.033953602043412
2017-11-01,6.574369305791731,6.070356963259788
2017-11-15,6.574019539333248,6.040939431857416
2017-12-01,6.569954148308811,5.976565227858021
2017-12-15,6.202077452308745,6.039056534663201
2018-01-01,6.193168320476011,6.027762768991995
2018-01-15,6.293222309231491,6.036262135538013
2018-02-01,6.293192840298432,6.03517053161397
2018-02-15,6.290808838020404,6.056934684361107
2018-03-01,6.327872237746034,6.026148339663316
2018-03-15,6.323362040091088,6.02159335596944
2018-04-01,6.357025125107407,5.9515600169992435
2018-04-15,6.354629632783541,5.882789455730505
2018-05-01,6.500475312463859,5.875485673277005
2018-05-15,6.49934027686332,5.871391901387022
2018-06-01,6.36684280483642,5.864783674282612
2018-06-15,6.347147431183248,5.650923325118823
2018-07-01,6.340348788783034,5.51894727269941
2018-07-15,5.866086690823091,5.407377068196114
2018-08-01,6.050321702162092,5.463761278983219
2018-08-15,6.0338106882295675,5.444781015087852
2018-09-01,6.264743092411093,5.433142442021197
2018-09-15,6.259917808488924,5.427338120575742
2018-10-01,6.266593901736292,5.529888746837217
2018-10-15,6.2689769936693915,5.554323607888483
2018-11-01,6.27462060814678,5.5847254629732115
2018-11-15,6.1471133046663935,5.63319648833073
2018-12-01,6.096739339777794,5.6372070103993535
2018-12-15,6.049863413063866,5.639283204288931
2019-01-01,6.094729404441977,5.6565719346482695
2019-01-15,6.099299003294265,5.6821378554229085
2019-02-01,6.107682547035447,5.68966295244802
2019-02-15,6.105453272996156,5.645760982008161
2019-03-01,6.285230565550589,5.634376297180895
2019-03-15,6.280563749181227,5.630509800982303
2019-04-01,6.292598102802026,5.617413138870241
2019-04-15,6.308006842048808,5.694485193435976
2019-05-01,6.339744998025177,5.691277529953199
2019-05-15,6.345481858979227,5.766301865397439
2019-06-01,6.344497805944682,5.833672182178691
2019-06-15,6.359873281253265,
2019-07-01,6.360684890580913,
2019-07-15,,
2019-08-01,6.3623061357761745,
2019-08-15,6.032433588346935,
2019-09-01,6.033179779515269,
2019-09-15,6.0322279063702595,
2019-10-01,6.029250595280933,
2019-10-15,5.843278421313797,
2019-11-01,6.021947850459032,
2019-11-15,6.021978097700296,
2019-12-01,6.019977765593679,
2019-12-15,6.025751556553039,
2020-01-01,6.020383092631721,
2020-01-15,6.022370671925227,
2020-02-01,5.903282199176756,
2020-02-15,5.902977771961809,
