Date,Owino,Kampala
2016-01-01,6.798784380987672,6.797703299801299
2016-01-15,6.780863139737147,6.767859774885162
2016-02-01,6.785863734730093,6.777904312992352
2016-02-15,6.782920392762594,6.768072718295499
2016-03-01,6.812433444848947,6.79728365343428
2016-03-15,6.81666122532976,6.801450297836939
2016-04-01,6.781698478553577,6.7803388590375375
2016-04-15,6.804630896958932,6.804630896958932
2016-05-01,6.865181079880216,6.850090250237013
2016-05-15,6.854761481672814,6.854761481672814
2016-06-01,6.731512427871016,6.730229919679549
2016-06-15,6.693065159941576,6.691881727850796
2016-07-01,6.711959545676619,6.71369716557516
2016-07-15,6.681962294716007,6.68255771003577
2016-08-01,6.676617289707049,6.6585445086473545
2016-08-15,6.676958710145931,6.673387277778334
2016-09-01,6.669579553199765,6.669579553199765
2016-09-15,6.73250569688453,6.715641890832526
2016-10-01,6.72413270251338,6.711029309676086
2016-10-15,6.767621992926765,6.751729402537795
2016-11-01,6.747918247451214,6.732031854731596
2016-11-15,6.616691967556228,6.5989813912322735
2016-12-01,6.643105439816351,6.6429563529729885
2016-12-15,6.71367257311054,6.6996863311358
2017-01-01,6.709005219374411,6.678983140193819
2017-01-15,6.675305847059376,6.6590830115524895
2017-02-01,6.677944559785632,6.661833739512934
2017-02-15,6.688526311269359,6.695677712426985
2017-03-01,6.789634928124658,6.775205768889622
2017-03-15,6.836408044213878,6.822795777635917
2017-04-01,6.820345673666395,6.81420691896807
2017-04-15,6.830895669900067,6.830170769542119
2017-05-01,6.848876293235224,6.833619739863409
2017-05-15,6.854794478039374,6.815215125447011
2017-06-01,6.798353170916925,6.792577888072415
2017-06-15,6.7891845540846925,6.7891845540846925
2017-07-01,6.816866714907912,6.802313314191814
2017-07-15,6.844035257349273,6.816522870817105
2017-08-01,6.841756325876922,6.8412752096780824
2017-08-15,6.836897821439705,6.823338291654072
2017-09-01,6.829654908914267,6.828931407134244
2017-09-15,6.853850366589606,6.839175547029991
2017-10-01,6.849756700969181,6.8238649008539705
2017-10-15,6.757807827177755,6.757549329050427
2017-11-01,6.76015492002685,6.746775490723683
2017-11-15,6.791068923412794,6.776112319585729
2017-12-01,6.786246224673918,6.7724008178518655
2017-12-15,6.79121031440766,6.79121031440766
2018-01-01,6.779138454451733,6.779138454451733
2018-01-15,6.7576686534123604,6.7579266180726325
2018-02-01,6.757639184479301,6.757639184479301
2018-02-15,6.754222657587084,6.754222657587084
2018-03-01,6.747703532595385,6.747703532595385
2018-03-15,6.743758663329377,6.744018639932947
2018-04-01,6.86693289658317,6.829033623992183
2018-04-15,6.864996435711017,6.839666860321264
2018-05-01,6.8575456956748635,6.832085953122172
2018-05-15,6.880288890733101,6.868029940388789
2018-06-01,6.836374624684397,6.836374624684397
2018-06-15,6.749535613786933,6.749535613786933
2018-07-01,6.7365115042288854,6.7365115042288854
2018-07-15,6.713384551210295,6.68820240082643
2018-08-01,6.716524247478587,6.6882933447007735
2018-08-15,6.703920200722496,6.673537436235919
2018-09-01,6.716058448687252,6.702152937991156
2018-09-15,6.709428704165631,6.708640164237795
2018-10-01,6.768858393200249,6.768362238389773
2018-10-15,6.797002457317225,6.784374800449423
2018-11-01,6.800158323315804,6.788292340766275
2018-11-15,6.787015970707526,6.760294935069912
2018-12-01,6.789886520337739,6.7632182732555775
2018-12-15,6.795680491078833,6.795680491078833
2019-01-01,6.788850769199765,6.788850769199765
2019-01-15,6.790506319036384,6.790991638143216
2019-02-01,6.56367290033826,6.611187775945774
2019-02-15,6.594939580727151,6.603141149840569
2019-03-01,6.6302377046216385,6.624840730862728
2019-03-15,6.641552832590525,6.641552832590525
2019-04-01,6.692003384699462,6.678166016494928
2019-04-15,6.765539538040429,6.751718982421796
2019-05-01,6.762291843417632,6.748201880990163
2019-05-15,6.76328975523027,6.748460022259219
2019-06-01,6.763797126782395,6.736943200844543
2019-06-15,6.7349348514424365,6.722714740107661
2019-07-01,,6.6917576709008335
2019-07-15,,
2019-08-01,,6.626811125527418
2019-08-15,,6.607035247510162
2019-09-01,,6.608860169954498
2019-09-15,,6.609045953359949
2019-10-01,,6.635017531270527
2019-10-15,,6.630626519223781
2019-11-01,,6.686167394112799
2019-11-15,,6.684163052656274
2019-12-01,,6.71414069027346
2019-12-15,,6.718898737112983
2020-01-01,,6.713530273191666
2020-01-15,,6.714505194170786
2020-02-01,,6.766719854716554
2020-02-15,,6.68541164334852
