Date,Tororo,Kampala
2016-01-01,5.380096300829159,5.470728347419592
2016-01-15,5.440210694952086,5.458969852156508
2016-02-01,5.496915354410596,5.460547710239721
2016-02-15,5.4923331155998865,5.456993749154578
2016-03-01,5.745240071819211,5.428510313927199
2016-03-15,5.709080380694847,5.430104293642521
2016-04-01,,5.461639567537767
2016-04-15,,5.566097417567529
2016-05-01,,5.567228546636379
2016-05-15,5.549749753989781,5.595170821967687
2016-06-01,5.558112752196465,5.611889148977269
2016-06-15,5.558939057898939,5.612619207362562
2016-07-01,5.831958815207664,5.911840245564505
2016-07-15,5.832478206686689,5.6792556011719855
2016-08-01,5.423705056340891,5.54276441635688
2016-08-15,5.422411619857062,5.534623610463989
2016-09-01,5.4159222635835285,5.533937237081611
2016-09-15,5.494131465841262,5.58418308839212
2016-10-01,5.519599830964739,5.633328596293082
2016-10-15,5.552361780399109,5.653388594799817
2016-11-01,5.580410132276577,5.7656386678618405
2016-11-15,5.5540732815360245,5.733866391976621
2016-12-01,5.544493151148241,5.728602018516291
2016-12-15,5.554071012816001,5.735801902138559
2017-01-01,5.72891973731553,5.731147736751843
2017-01-15,5.726895565763109,5.7298585308937655
2017-02-01,5.72931576756422,5.730052415847992
2017-02-15,5.722318971851242,5.726010375083201
2017-03-01,5.719024469005042,5.720502665874353
2017-03-15,5.790922231014981,5.811989948718504
2017-04-01,5.863462419105324,5.790089578940895
2017-04-15,5.910368925640306,5.958899158256917
2017-05-01,5.952030943892073,6.102029828334253
2017-05-15,5.9926827055215375,6.109099196459389
2017-06-01,5.939471197107332,6.033060576314948
2017-06-15,5.801237833304102,5.798513035977917
2017-07-01,5.251160858481973,5.676134973936596
2017-07-15,5.429487677461824,5.719883455785202
2017-08-01,5.425681877812573,5.623736305825427
2017-08-15,5.423792202869158,5.528757383475383
2017-09-01,5.414996788196163,5.6189089775824845
2017-09-15,5.442816399293959,5.7011708566512205
2017-10-01,5.411983050855047,5.5896642280924995
2017-10-15,5.398793679133816,5.600378535003355
2017-11-01,5.283441623247333,5.4036072545508675
2017-11-15,5.286242743374279,5.508936755458621
2017-12-01,5.28116832756406,5.400951363887112
2017-12-15,5.287132917631387,5.405414085303052
2018-01-01,5.277331206209998,5.341019025467256
2018-01-15,5.378572266814796,5.398856937986302
2018-02-01,5.402835490450782,5.398827469053243
2018-02-15,5.396443466775215,5.501201391272897
2018-03-01,5.390040984149822,5.331933353342541
2018-03-15,5.2688916446529035,5.3284461754094945
2018-04-01,5.050067506224038,5.320655145316519
2018-04-15,5.123795709372973,5.37278049187107
2018-05-01,5.116156585835759,5.307211822598467
2018-05-15,5.114366047948352,5.245255431110037
2018-06-01,5.093877129023532,5.225047245462376
2018-06-15,4.736172239430261,4.918493796224216
2018-07-01,4.726270496792432,4.922703897779067
2018-07-15,4.767474402154981,5.235160533260355
2018-08-01,4.770614098423273,5.110232640733851
2018-08-15,4.751633834527906,5.090235997406944
2018-09-01,4.743747611079802,4.840078720018234
2018-09-15,4.514828111541494,4.734190940015797
2018-10-01,4.530625792136653,4.743484072790689
2018-10-15,4.74422916271955,4.837486656206132
2018-11-01,4.8450582667783735,4.929799495233464
2018-11-15,4.943140500340458,5.097291180167716
2018-12-01,4.944059829839408,5.098210509666667
2018-12-15,4.7681129076952455,4.949208222765956
2019-01-01,5.019239533194721,5.167659538312995
2019-01-15,5.131306897043219,5.267067944995011
2019-02-01,5.145237330006572,5.302970958847781
2019-02-15,5.300741684808489,5.359091567870766
2019-03-01,5.289896626335981,5.344647141107389
2019-03-15,5.223509773156054,5.340780644908796
2019-04-01,5.273482819201824,5.3849382601271465
2019-04-15,5.271703635316351,5.40823271379379
2019-05-01,5.760461405165304,5.864484127981471
2019-05-15,5.691784644209972,5.834407818866163
2019-06-01,5.866702707855173,5.867905353820933
2019-06-15,5.45602325136114,5.700038377160435
2019-07-01,,5.615845094691474
2019-07-15,,
2019-08-01,,5.422650721538611
2019-08-15,,5.223026601671128
2019-09-01,,5.253389207250436
2019-09-15,,5.285013504540038
2019-10-01,,5.336103414720988
2019-10-15,,5.3565503491268665
2019-11-01,,5.481495533484364
2019-11-15,,5.510474737547807
2019-12-01,,5.528609313850247
2019-12-15,,5.578517035568579
2020-01-01,,5.615425469944242
2020-01-15,,5.432963261125375
2020-02-01,,5.383303193424278
2020-02-15,,5.269516812452338
