Date,Tororo,Masindi
2016-01-01,6.296387032703314,6.465225239159982
2016-01-15,6.320586014466734,6.455271570344619
2016-02-01,6.344213214797799,6.458589092132568
2016-02-15,6.363161473397284,6.492322866350689
2016-03-01,6.481904996602015,6.679165800083002
2016-03-15,6.429551051454128,6.679861549024396
2016-04-01,,6.676941645377108
2016-04-15,,6.702156046269875
2016-05-01,,6.7014573486616476
2016-05-15,6.1874863909384645,6.696148575961132
2016-06-01,6.2517202319590135,6.689633670863659
2016-06-15,6.357125011186533,6.497408484717015
2016-07-01,6.342784438973655,6.482272895773473
2016-07-15,6.3932870748988515,6.506644149537146
2016-08-01,6.388736192476026,6.523361731526907
2016-08-15,6.47410698873742,6.523105074728996
2016-09-01,6.512793301594033,6.593452490785948
2016-09-15,6.547504969030527,6.588568383098891
2016-10-01,6.541587156469973,6.501129119006803
2016-10-15,6.441994004612874,6.47904873424721
2016-11-01,6.374409866289913,6.279218116108922
2016-11-15,6.294226504471901,6.300161239991715
2016-12-01,6.289492503883714,6.420259995524769
2016-12-15,6.394385161243428,6.429318290751434
2017-01-01,6.540097754301309,6.422438596006496
2017-01-15,6.577578956256621,6.502437728059688
2017-02-01,6.6115778845739985,6.576508348170308
2017-02-15,6.638905517956219,6.569405482771316
2017-03-01,6.641214923006386,6.5664279873774465
2017-03-15,6.825240168977693,6.597569785439308
2017-04-01,6.834685450311611,6.590755438475138
2017-04-15,6.843377829081585,6.586698709388025
2017-05-01,6.848876293235224,6.578006596294953
2017-05-15,6.55213886379743,6.5860404154731125
2017-06-01,6.319800331943955,6.591907192610265
2017-06-15,6.32383068556651,6.451292870809253
2017-07-01,6.367735363778243,6.41053682201548
2017-07-15,6.368444483235205,6.527440987522891
2017-08-01,6.363348068111329,6.525614734516767
2017-08-15,6.402890709992056,6.592977142183737
2017-09-01,6.39953937633255,6.586298810232551
2017-09-15,6.51408323407154,6.5810939443545005
2017-10-01,6.510595339523157,6.259280911242251
2017-10-15,6.421128797400659,6.247240634735078
2017-11-01,6.29596660706919,6.100754440444159
2017-11-15,6.203880881695268,6.096423615231827
2017-12-01,6.222371379818112,6.0930990441139725
2017-12-15,6.296693428683594,6.201628316886867
2018-01-01,6.286661969353938,6.191351789549613
2018-01-15,6.293222309231491,6.534912024138188
2018-02-01,6.338144228160699,6.534237601941882
2018-02-15,6.493716170514268,6.530562443900234
2018-03-01,6.524300611548169,6.487981003885049
2018-03-15,6.520355067806187,6.519704661279193
2018-04-01,6.644707197559189,6.511175804934666
2018-04-15,6.542805529109412,6.510090070492864
2018-05-01,,6.536089306104479
2018-05-15,6.30130810535935,5.804871219045459
2018-06-01,6.00530430091895,5.787024309583478
2018-06-15,6.022433748000113,6.012823423100325
2018-07-01,6.06290222022528,6.010643726556405
2018-07-15,5.986883014610757,5.866086690823091
2018-08-01,6.050321702162092,6.050321702162092
2018-08-15,6.0338106882295675,6.0338106882295675
2018-09-01,6.0801275808179795,6.022390027562991
2018-09-15,6.1204853011356875,6.014703821464067
2018-10-01,6.126011951115102,6.020651435457276
2018-10-15,6.024536245390805,6.023490766989252
2018-11-01,5.911409693228261,6.27462060814678
2018-11-15,5.921652255211821,6.094844876120637
2018-12-01,5.924889082851135,6.042672118507518
2018-12-15,6.0478205114340655,6.049863413063866
2019-01-01,6.146022698829527,6.194812862998959
2019-01-15,6.246782991763333,6.373813365371398
2019-02-01,6.253849702009266,6.382810133007966
2019-02-15,6.359961571765939,6.456353417441004
2019-03-01,6.372508573657649,6.368100043372883
2019-03-15,6.364233547174291,6.364233547174291
2019-04-01,6.530603093066148,6.469124069085033
2019-04-15,6.496239502871641,6.530685529327375
2019-05-01,,6.558233536804122
2019-05-15,,6.790396932878082
2019-06-01,6.385439196322043,6.5634534959184165
2019-06-15,6.468615407132018,6.511285099155636
2019-07-01,,6.5223567013969665
2019-07-15,,
2019-08-01,,6.544138814535459
2019-08-15,,6.473830705681163
2019-09-01,,6.624670775981141
2019-09-15,,6.639834839297474
2019-10-01,,6.6941109837239425
2019-10-15,,6.536425601873741
2019-11-01,,6.532366059267259
2019-11-15,,6.531583465061057
2019-12-01,,6.626113569163994
2019-12-15,,6.690208244650055
2020-01-01,,6.685214353074378
2020-01-15,,6.686768439199186
2020-02-01,,6.714465483849453
2020-02-15,,6.715172690509349
