Date,Kasese,Kampala
2016-01-01,6.465979102746381,6.424434666971581
2016-01-15,6.3640641162465394,6.548953959601279
2016-02-01,6.455550730509163,6.500184393944528
2016-02-15,6.491592672816966,6.494874353063846
2016-03-01,6.512276094478314,6.618917840292188
2016-03-15,6.562793188691354,6.6108579266410885
2016-04-01,6.56363709979081,6.4525903644475
2016-04-15,6.630871307801319,6.552406136343881
2016-05-01,6.664316212353267,6.565444617365182
2016-05-15,6.494985536439013,6.614492537642149
2016-06-01,6.4973427750168735,6.281417529383605
2016-06-15,6.4774332427395285,6.477066337580395
2016-07-01,6.483002024496989,6.436759632406356
2016-07-15,6.505223694752854,6.39447873343113
2016-08-01,6.5629303312726694,6.448236165626591
2016-08-15,6.561512514144189,6.540622266593799
2016-09-01,6.555773996162218,6.556107830249778
2016-09-15,6.549849635989781,6.60864234057717
2016-10-01,6.542930340016441,6.577396609166684
2016-10-15,6.5236865490992715,6.398114045424532
2016-11-01,6.533567448084982,6.274648420418857
2016-11-15,6.507800604769959,6.300161239991715
2016-12-01,6.462571193596491,6.461141600786897
2016-12-15,6.462358144829634,6.506716735358224
2017-01-01,6.462145141442885,6.504280558759954
2017-01-15,6.470067619684719,6.540788747110095
2017-02-01,,6.5395087924460205
2017-02-15,,6.638017812616078
2017-03-01,6.493465281379583,6.6202616339528095
2017-03-15,6.517169360001271,6.693659996484432
2017-04-01,6.441928821597718,6.743012470263224
2017-04-15,6.43695806696297,6.788462071485471
2017-05-01,6.431272514122744,6.795052188323606
2017-05-15,6.515723917055652,6.457610625961792
2017-06-01,6.52673237592274,6.29567321599587
2017-06-15,6.48892797440099,6.254304622917901
2017-07-01,6.491349319745419,6.348590414901033
2017-07-15,6.493243890620956,6.431339459747963
2017-08-01,6.488305752721292,6.42795934562421
2017-08-15,6.483447248284074,6.425462546345036
2017-09-01,6.478612234827176,6.4602948054482185
2017-09-15,6.475733428696675,6.494082567364871
2017-10-01,6.510595339523157,6.483104503385116
2017-10-15,6.458426674196753,6.234672755335146
2017-11-01,6.404032818634217,6.187225085769094
2017-11-15,6.343174366847618,6.097422616313912
2017-12-01,6.337221001813375,6.173064825751855
2017-12-15,6.249862128999495,6.273969872959751
2018-01-01,6.373673346343568,6.263249528729196
2018-01-15,6.3796861909980285,6.247874489253032
2018-02-01,6.199441379378957,6.03517053161397
2018-02-15,6.201716136854186,6.08959064733516
2018-03-01,,6.089719210280764
2018-03-15,,6.078305560351269
2018-04-01,,6.2691793717656585
2018-04-15,,6.065927672431015
2018-05-01,6.213012947801603,6.059447919528419
2018-05-15,6.2602176904912215,5.937244533949354
2018-06-01,6.244142036553056,5.746454978558903
2018-06-15,6.216026998630689,5.779434433015206
2018-07-01,5.909090926113141,5.830679903144867
2018-07-15,5.866086690823091,5.831546365570914
2018-08-01,5.933305243775905,5.869226387091382
2018-08-15,5.78338317796689,5.852730596523678
2018-09-01,5.963328313071728,6.023432237141434
2018-09-15,5.986953908511165,6.015229998797965
2018-10-01,5.965710317425975,6.020651435457276
2018-10-15,6.023490766989252,5.874903383847323
2018-11-01,5.7762040996434525,5.85480216770964
2018-11-15,5.980227556002278,5.714904871582719
2018-12-01,5.98551370466757,5.825810236461387
2018-12-15,5.8667251963633555,5.8667251963633555
2019-01-01,5.858340626377746,6.040662183171701
2019-01-15,5.988757128894441,6.046576699783267
2019-02-01,5.934151415658526,6.081429216198022
2019-02-15,5.934202644317961,6.2170324166826445
2019-03-01,5.713946972747484,6.157397194040704
2019-03-15,5.8524256050581895,6.18924878044419
2019-04-01,5.846113975249317,6.271091897581063
2019-04-15,6.020066538478743,6.369587856970138
2019-05-01,5.956503026701722,6.422032375552536
2019-05-15,5.898169640935562,6.418737860900371
2019-06-01,6.220726728443676,6.3256648576115895
2019-06-15,6.241169350421754,6.409434590611459
2019-07-01,,6.432292617934824
2019-07-15,,
2019-08-01,,6.476498503301829
2019-08-15,,6.360449731425417
2019-09-01,,6.51024344817173
2019-09-15,,6.510547067972552
2019-10-01,,6.471228222605499
2019-10-15,,6.465689050781964
2019-11-01,,6.351998582235302
2019-11-15,,6.348529039051449
2019-12-01,,6.125947851523352
2019-12-15,,6.1329286031372625
2020-01-01,,6.248141634158375
2020-01-15,,6.351441379945331
2020-02-01,,6.530523181157765
2020-02-15,,6.598400266358889
