Date,Ngozi,Kamembe
2016-01-01,6.408598092521518,
2016-01-15,6.17296067908498,
2016-02-01,6.319639708521345,
2016-02-15,6.5390410163793495,
2016-03-01,6.428206556310445,
2016-03-15,6.525570279259593,
2016-04-01,6.32987460492005,
2016-04-15,6.338539633279884,
2016-05-01,6.3075833984752,
2016-05-15,6.146254130990976,
2016-06-01,5.992716020139272,
2016-06-15,5.997327721868091,
2016-07-01,6.056654870952463,
2016-07-15,6.295020733579091,
2016-08-01,6.288037203515295,
2016-08-15,6.286532413014185,
2016-09-01,6.28546680291197,
2016-09-15,6.291204488129656,
2016-10-01,6.342498594337777,
2016-10-15,6.334582976338297,
2016-11-01,6.413760208119562,
2016-11-15,6.486386360958224,
2016-12-01,6.553580195906542,
2016-12-15,6.6150971596926045,
2017-01-01,6.566956417117085,
2017-01-15,6.4155079536871895,
2017-02-01,6.458610785564427,
2017-02-15,6.451861115047146,
2017-03-01,6.384879124484967,
2017-03-15,6.278673953042564,
2017-04-01,6.404985027843036,6.346257022997133
2017-04-15,6.277424726981507,6.255188069320304
2017-05-01,6.071988659195245,6.154823380945268
2017-05-15,6.081335537032618,6.159742208330838
2017-06-01,5.824231758316204,6.042773208624642
2017-06-15,5.959354995424768,6.043120302970567
2017-07-01,6.081842310265665,6.0444959670451395
2017-07-15,6.074938260020598,6.043398828931567
2017-08-01,6.06897448271076,6.100006126870855
2017-08-15,6.059859588631684,6.256489932812973
2017-09-01,6.149972230191106,6.248098183886897
2017-09-15,6.1448220034675645,6.338202777573049
2017-10-01,6.230014936380357,6.411904215356539
2017-10-15,6.228869104423331,6.421148966864277
2017-11-01,6.313681937899138,6.140935821940094
2017-11-15,6.23501626285908,6.153501804480335
2017-12-01,6.141727443695866,6.159666166554744
2017-12-15,6.095905008643141,6.039446517702006
2018-01-01,5.9316332312891165,6.040736731833174
2018-01-15,5.800053222391385,5.903780169615618
2018-02-01,5.86990366183599,5.895246995341916
2018-02-15,5.8744416833772455,5.891147034475059
2018-03-01,5.876653583237159,5.8858695278639335
2018-03-15,5.9367134348092065,5.874018616037375
2018-04-01,5.869307728576876,5.862250120202743
2018-04-15,5.858775215490107,5.911991483655146
2018-05-01,5.9870418642376055,5.850939046591927
2018-05-15,6.049819425140857,5.857831007394825
2018-06-01,5.936272031350254,5.85133137678565
2018-06-15,6.114310584957968,5.715401469812731
2018-07-01,6.008515448312788,5.714933967524803
2018-07-15,6.124114584542641,5.724966553248536
2018-08-01,6.016312240858618,5.7180867368032
2018-08-15,6.082340825038057,5.798460661882215
2018-09-01,6.14537874047434,5.699267578706793
2018-09-15,6.197289005113433,5.828634410202692
2018-10-01,6.20511498084665,5.863882437112367
2018-10-15,6.196450250776229,5.8653361966561315
2018-11-01,6.192225701277987,6.114812486133453
2018-11-15,6.289454653656934,6.116167294932878
2018-12-01,6.289454653656934,6.126214957168272
2018-12-15,6.282474754276641,6.1175342879778185
2019-01-01,6.273903548211585,5.874081712383829
2019-01-15,6.13197866186557,5.806886574092119
2019-02-01,6.056590331400893,5.783351741574972
2019-02-15,6.131487411580053,5.853069577745288
2019-03-01,6.165364111776201,5.842238117237573
2019-03-15,6.157192475207375,5.830464123861751
2019-04-01,6.239378814185892,5.95376740573558
2019-04-15,6.403427824330405,6.1696200310578195
2019-05-01,6.403968822122032,6.254762640460417
2019-05-15,6.2471359750348245,6.077542376421421
2019-06-01,5.876888951456165,5.959423476330518
2019-06-15,5.806235923633672,5.93112586335925
2019-07-01,5.931384492792854,
2019-07-15,5.95849633237177,
2019-08-01,5.98489248111995,
2019-08-15,6.0364631851751085,
2019-09-01,6.133682274353707,
2019-09-15,6.129166412533912,
2019-10-01,6.178143106869191,
2019-10-15,6.120173182809735,
2019-11-01,6.1365851441931785,
2019-11-15,6.101710326020077,
2019-12-01,6.094202385145508,
2019-12-15,6.087606205828446,
2020-01-01,6.0267679500726565,
2020-01-15,6.020301015618259,
2020-02-01,6.203185112129038,
2020-02-15,6.202714364976352,
