Date,Gitega,Kigali
2016-01-01,6.898146317840224,6.846945219870934
2016-01-15,6.917042483160391,6.842570399600188
2016-02-01,6.831437879996723,6.8437122584612915
2016-02-15,6.778783626542012,6.8007769508038365
2016-03-01,6.8273224367399505,6.820810357484784
2016-03-15,6.834773732705734,6.82736972891808
2016-04-01,6.744493095014702,6.814019102862512
2016-04-15,6.743436720924039,6.826507321767071
2016-05-01,6.663995610880257,6.84191811374304
2016-05-15,6.6355225278262555,6.8202575541329695
2016-06-01,6.589962876292342,6.833728877493803
2016-06-15,6.533687631063145,6.800279744726102
2016-07-01,6.568359229397142,6.793554642890417
2016-07-15,6.60811252155624,6.7719535922922365
2016-08-01,6.6349606654105,6.758000564266977
2016-08-15,6.660491897517042,6.7212658919704715
2016-09-01,6.655126981399024,6.703479117785936
2016-09-15,6.6789081743070815,6.785334422519099
2016-10-01,6.682205652188828,6.755766141787966
2016-10-15,6.670113371590146,6.7172483028013215
2016-11-01,6.656913386272335,6.664910991817286
2016-11-15,6.742976030830255,6.707201397306945
2016-12-01,6.760664027159924,6.697095349804479
2016-12-15,6.748591667600305,6.733867281623032
2017-01-01,6.7376779875536155,6.700814450558537
2017-01-15,6.703878968639525,6.689723586846337
2017-02-01,6.841777344950136,6.6743567134837765
2017-02-15,6.930319767940604,6.665923941155781
2017-03-01,6.87355751165983,6.672779681960333
2017-03-15,6.714906886409717,6.655045597540877
2017-04-01,6.874277464137257,6.71684369048589
2017-04-15,6.8506256295072365,6.708700849526039
2017-05-01,6.78545048110637,6.729047404872518
2017-05-15,6.775646455650118,6.740156270879217
2017-06-01,6.587140589862414,6.736950255393017
2017-06-15,6.712876453576534,6.762441001500652
2017-07-01,6.743103773883894,6.738670896924738
2017-07-15,6.711540164632215,6.740386751634418
2017-08-01,6.707895925712549,6.73126419226331
2017-08-15,6.753720120785308,6.726288454889494
2017-09-01,6.737998330027926,6.717691219819535
2017-09-15,6.70369987475408,6.710844944243903
2017-10-01,6.7486592082641454,6.700960386272553
2017-10-15,6.7620837230828,6.708831039316058
2017-11-01,6.82940882562122,6.711642296569674
2017-11-15,6.839037332402341,6.729792304244028
2017-12-01,6.672227530707877,6.733138989151593
2017-12-15,6.735291012311634,6.746142628820267
2018-01-01,6.794679448644459,6.793398039925528
2018-01-15,6.745345741126324,6.733451860868217
2018-02-01,6.7464414502659995,6.753683690801384
2018-02-15,6.692204024138941,6.717750303619431
2018-03-01,6.7513459230365305,6.735917475924561
2018-03-15,6.72068983173844,6.703561440821989
2018-04-01,6.745164890872541,6.689987454735453
2018-04-15,6.684719951406741,6.665763286031526
2018-05-01,6.787861700213757,6.6779209718187635
2018-05-15,6.625122888591686,6.684282006142507
2018-06-01,6.565681826972208,6.678394254959284
2018-06-15,6.571130260086281,6.693929633217189
2018-07-01,6.639175390505719,6.697714440667791
2018-07-15,6.57976943717466,6.69238226240041
2018-08-01,6.4535046135811545,6.686515476616472
2018-08-15,6.468508523201401,6.683849687622107
2018-09-01,6.5328811482083315,6.679018664498173
2018-09-15,6.533509701046613,6.687468087052061
2018-10-01,6.54045578231039,6.692713863657936
2018-10-15,6.533174408295612,6.692168888666519
2018-11-01,6.529703468401219,6.6905378374704165
2018-11-15,6.632296338563627,6.69153143983644
2018-12-01,6.6613486611581285,6.699595868752542
2018-12-15,6.658968024221904,6.695801192539341
2019-01-01,6.708937864442698,6.693082555814008
2019-01-15,6.686527096645392,6.693099850728996
2019-02-01,6.7059047670059195,6.692571462208575
2019-02-15,6.713244325392688,6.680529095912827
2019-03-01,6.7251082447031365,6.667509450724559
2019-03-15,6.715779985417232,6.654462786874487
2019-04-01,6.674019411427988,6.646914586295526
2019-04-15,6.728695461938755,6.641623438772466
2019-05-01,6.64254818156608,6.629659486627841
2019-05-15,6.622240862457765,6.630052596320832
2019-06-01,6.501948647643971,6.628206218016323
2019-06-15,6.5311721763701645,6.62539853644093
2019-07-01,6.491000280728277,6.638285027847643
2019-07-15,6.486899114946158,
2019-08-01,6.482814700050033,6.663570276675353
2019-08-15,6.478295937454148,6.654302151366751
2019-09-01,6.469893788772947,6.640288078433971
2019-09-15,6.53402195037023,6.632482985797308
2019-10-01,6.53377584122948,6.623647077140293
2019-10-15,6.588686242496685,6.602632666494492
2019-11-01,6.548319865314938,6.577633782360149
2019-11-15,6.572175955736031,6.5815348357162815
2019-12-01,6.564437254998124,6.5973111441995576
2019-12-15,6.669200900482644,6.576537734978925
2020-01-01,6.665630447145529,6.581270989480428
2020-01-15,6.659163512691131,6.569050750613709
2020-02-01,6.704573633641416,6.564022491575047
2020-02-15,6.703783813796977,6.560668443687492
