Date,Kisumu,Nairobi
2016-01-01,5.663050592336632,5.727903134516193
2016-01-15,5.658422997047921,5.702948076089333
2016-02-01,5.603264899627125,5.705047593937068
2016-02-15,5.658435682791919,5.691551291576417
2016-03-01,5.649614801044308,5.681257740805567
2016-03-15,5.6453157285155475,5.677805050045487
2016-04-01,5.644411917069104,5.676002241356694
2016-04-15,5.661726557228723,5.694302727663336
2016-05-01,5.662286980255242,5.691557362555356
2016-05-15,5.656204742720281,5.689500550827232
2016-06-01,5.802409186260294,5.684271226021658
2016-06-15,5.798528843119516,5.7094492130658265
2016-07-01,5.795368494635372,5.7062888645816825
2016-07-15,5.792136561535243,5.702791461199394
2016-08-01,5.791749730263689,5.702404629927838
2016-08-15,5.790034499001399,5.636358540284409
2016-09-01,5.79116715685274,5.636305997421883
2016-09-15,5.788058315131654,5.634025999511198
2016-10-01,5.784959108361613,5.631754950138386
2016-10-15,5.779982896630039,5.691548031855556
2016-11-01,5.77430474846033,5.684113305838485
2016-11-15,5.768359647969329,5.678747489279642
2016-12-01,5.763139938819203,5.673393650962927
2016-12-15,5.756721464185711,5.666840644768128
2017-01-01,5.747452117001923,5.6555892258743565
2017-01-15,5.852975591899102,5.637504712496552
2017-02-01,5.852145456585041,5.756644175719524
2017-02-15,5.964318411082766,5.918685313466101
2017-03-01,6.070165435692222,5.965644198304391
2017-03-15,6.057741573514864,5.952268704618338
2017-04-01,6.045890772185865,5.9389513681883095
2017-04-15,6.1341510512095425,5.935226184175415
2017-05-01,6.2214516905106825,6.037439516238821
2017-05-15,6.219830190693429,6.043448405287259
2017-06-01,6.230121695754557,6.0484778753471
2017-06-15,6.234106630229812,6.147326547331649
2017-07-01,6.236415078500186,6.09409885631993
2017-07-15,6.0489982865163086,6.0093684917455406
2017-08-01,5.938092164952554,6.045955241352255
2017-08-15,5.832822456095262,5.951169348546963
2017-09-01,5.838244418011139,5.957432935276257
2017-09-15,5.838868489147492,5.838868489147492
2017-10-01,5.789942314452403,5.789942314452403
2017-10-15,5.838103387324477,5.78841996717783
2017-11-01,5.7086395710418545,5.839259753458919
2017-11-15,5.705968095397696,5.837862975246761
2017-12-01,5.700392527317466,5.833923919941989
2017-12-15,5.690898990958889,5.874681468392518
2018-01-01,5.68728780791741,5.818264920736835
2018-01-15,5.595333601459176,5.830468460863813
2018-02-01,5.691082366106241,5.722114475353969
2018-02-15,5.6812723892289725,5.735793228107389
2018-03-01,5.7570714098044515,5.618234964950236
2018-03-15,5.67054198068604,5.6110414513169395
2018-04-01,5.748978841888254,
2018-04-15,5.670452751457429,
2018-05-01,5.741984323720734,5.5891451194912865
2018-05-15,5.575087141284258,5.60878098707073
2018-06-01,5.54308517019238,5.576448073861501
2018-06-15,5.516384814767096,5.593345855903224
2018-07-01,5.51754129358232,5.569670359017267
2018-07-15,5.521002374922609,5.4888778881188385
2018-08-01,5.339466838321893,5.459460796833347
2018-08-15,5.330396879833921,5.436557075662312
2018-09-01,5.507666154635059,5.438673283148107
2018-09-15,5.44265043059901,5.284324379361271
2018-10-01,5.512297429154828,5.214531237636422
2018-10-15,5.513197636284299,5.210916764411365
2018-11-01,5.5107485676315795,5.207282627478537
2018-11-15,5.527413550334973,5.303447292269301
2018-12-01,5.4941026261324355,5.191622332581704
2018-12-15,5.5611286309050945,5.3583460022397995
2019-01-01,5.65008736520297,5.371993093906342
2019-01-15,5.493305968234323,5.416344927098195
2019-02-01,5.437422675972245,5.4267273868554975
2019-02-15,5.427966688336249,5.37882122126736
2019-03-01,5.422118501286266,5.301672348210398
2019-03-15,5.476715704823058,5.400289637619711
2019-04-01,5.476130764378098,5.407137892891147
2019-04-15,5.620836033319873,5.570751928922461
2019-05-01,5.878614745410771,5.57607355855524
2019-05-15,5.874398484848228,5.5830140756979105
2019-06-01,5.872401062298474,5.7321955625862575
2019-06-15,5.743380796726998,5.730706355830271
2019-07-01,5.841434452492073,5.8170807193050305
2019-07-15,5.930726323901292,5.845985095446202
2019-08-01,5.864716772249512,5.752997736003181
2019-08-15,,5.746629404694002
2019-09-01,5.717985684444245,5.813529536407596
2019-09-15,5.718253174917198,5.813816010033001
2019-10-01,5.714671083395043,5.74005315666646
2019-10-15,5.740418591141374,5.759364169368541
2019-11-01,,5.7214621011750655
2019-11-15,,5.722984032857879
2019-12-01,,5.713122016246839
2019-12-15,,5.626878299010426
2020-01-01,,5.645938088041276
2020-01-15,,5.631963517254477
2020-02-01,5.904179009916696,5.642436958473532
2020-02-15,5.896530832160317,5.6137081930822825
