Date,Lira,Soroti
2016-01-01,5.7855614089373235,
2016-01-15,5.742540875549595,
2016-02-01,5.697586049872747,
2016-02-15,5.693003811062038,
2016-03-01,5.830460479927918,
2016-03-15,5.832325814498507,
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,5.839752551549044,
2016-06-01,5.873044467095622,
2016-06-15,5.9186424995408276,
2016-07-01,6.052443348791168,
2016-07-15,6.120334358693267,
2016-08-01,6.099991985033262,
2016-08-15,6.050464569345713,
2016-09-01,5.861624644147091,
2016-09-15,5.895743004633436,
2016-10-01,6.027620403803121,
2016-10-15,6.043536116767811,
2016-11-01,6.0394367028911615,
2016-11-15,6.245436340302469,
2016-12-01,6.286515678381184,
2016-12-15,6.350628180886328,
2017-01-01,6.379927451160935,
2017-01-15,6.423005711453711,
2017-02-01,6.337526191252908,
2017-02-15,6.284467475365949,6.372391869941915
2017-03-01,6.326504178166685,6.370640577278522
2017-03-15,6.403282379341532,6.5257701407738695
2017-04-01,6.441571359574251,6.55629087456297
2017-04-15,6.511475288150438,6.620651652486489
2017-05-01,6.543291845062377,6.612455971419808
2017-05-15,6.551180550355619,6.62002426828871
2017-06-01,6.488903597652056,6.561597107918934
2017-06-15,6.4923421122342475,6.006536024298302
2017-07-01,6.064976322601498,6.227102299052104
2017-07-15,6.0042340426459795,6.066754399627313
2017-08-01,5.999496259519676,6.062777709467196
2017-08-15,5.865483781999095,6.116445190189492
2017-09-01,6.08201182847926,6.083029640271961
2017-09-15,6.0794849756934335,6.02178675077425
2017-10-01,6.018118854425363,5.971031784621603
2017-10-15,6.006939533632155,6.033953602043412
2017-11-01,5.50906796558977,6.070356963259788
2017-11-15,5.689458131748428,6.040939431857416
2017-12-01,5.909176205953044,5.976565227858021
2017-12-15,6.039056534663201,6.039056534663201
2018-01-01,5.935872857592468,6.027762768991995
2018-01-15,5.97497381156673,6.036262135538013
2018-02-01,6.03517053161397,6.03517053161397
2018-02-15,6.0610754770271384,6.056934684361107
2018-03-01,6.083188164709767,6.026148339663316
2018-03-15,6.0788112493633095,6.02159335596944
2018-04-01,5.966358238098193,5.9515600169992435
2018-04-15,6.009249335412577,5.882789455730505
2018-05-01,6.000359003158413,5.875485673277005
2018-05-15,5.970295975445936,5.871391901387022
2018-06-01,5.636013349760887,5.864783674282612
2018-06-15,5.730847500225399,5.650923325118823
2018-07-01,5.647201608223089,5.51894727269941
2018-07-15,5.455050537665471,5.407377068196114
2018-08-01,5.359217423231947,5.463761278983219
2018-08-15,5.342731760733681,5.444781015087852
2018-09-01,5.330285056581489,5.433142442021197
2018-09-15,5.521269940409946,5.427338120575742
2018-10-01,5.529888746837217,5.529888746837217
2018-10-15,5.530633836766078,5.554323607888483
2018-11-01,5.538205447338319,5.5847254629732115
2018-11-15,5.604937151016327,5.63319648833073
2018-12-01,5.550195633409724,5.6372070103993535
2018-12-15,5.55590159534988,5.639283204288931
2019-01-01,5.638278741600945,5.6565719346482695
2019-01-15,5.64008961917941,5.6821378554229085
2019-02-01,5.647990256047452,5.68966295244802
2019-02-15,5.72463396209482,5.645760982008161
2019-03-01,5.713946972747484,5.634376297180895
2019-03-15,5.669612526996045,5.630509800982303
2019-04-01,5.70054703911345,5.617413138870241
2019-04-15,5.770226819210122,5.694485193435976
2019-05-01,5.895328803332569,5.691277529953199
2019-05-15,5.925757597454391,5.766301865397439
2019-06-01,5.869106555166567,5.833672182178691
2019-06-15,5.8529673097373704,
2019-07-01,5.854203198901352,
2019-07-15,5.855437562528509,
2019-08-01,5.446748273117672,
2019-08-15,5.3392864077869895,
2019-09-01,5.39516466965004,
2019-09-15,5.446463486848908,
2019-10-01,5.623278259162909,
2019-10-15,5.530903736271644,
2019-11-01,5.615463893561765,
2019-11-15,5.616512989592131,
2019-12-01,5.614512657485514,
2019-12-15,5.437964891650919,
2020-01-01,5.613902240403721,
2020-01-15,5.696169394591656,
2020-02-01,5.431910892489655,
2020-02-15,5.481438839022584,
