Date,Owino,Kisumu
2016-01-01,6.798784380987672,6.962333576466893
2016-01-15,6.780863139737147,6.9644286955730585
2016-02-01,6.785863734730093,6.925020739609445
2016-02-15,6.782920392762594,6.916714914225894
2016-03-01,6.812433444848947,6.903102669897625
2016-03-15,6.81666122532976,6.944983520439066
2016-04-01,6.781698478553577,6.944078734159975
2016-04-15,6.804630896958932,6.959804721936134
2016-05-01,6.865181079880216,6.962469649556401
2016-05-15,6.854761481672814,6.955863003621561
2016-06-01,6.731512427871016,6.802132625838909
2016-06-15,6.693065159941576,6.797132431201746
2016-07-01,6.711959545676619,6.792663010662613
2016-07-15,6.681962294716007,6.738179698461554
2016-08-01,6.676617289707049,6.790578410452025
2016-08-15,6.676958710145931,6.734416965742569
2016-09-01,6.669579553199765,6.78819965270293
2016-09-15,6.73250569688453,6.732362083233483
2016-10-01,6.72413270251338,6.6109272019424825
2016-10-15,6.767621992926765,6.606750370556886
2016-11-01,6.747918247451214,6.661817556307076
2016-11-15,6.616691967556228,6.713376658101881
2016-12-01,6.643105439816351,6.707919411616959
2016-12-15,6.71367257311054,6.700426658395675
2017-01-01,6.709005219374411,6.690153584577086
2017-01-15,6.675305847059376,6.7756642982529165
2017-02-01,6.677944559785632,6.768181378927941
2017-02-15,6.688526311269359,6.8574173798129365
2017-03-01,6.789634928124658,6.945844058659234
2017-03-15,6.836408044213878,6.846520602884505
2017-04-01,6.820345673666395,6.833333419119588
2017-04-15,6.830895669900067,6.827298231769488
2017-05-01,6.848876293235224,6.828201556120558
2017-05-15,6.854794478039374,6.831905765651529
2017-06-01,6.798353170916925,6.833093794382744
2017-06-15,6.7891845540846925,6.840011086199327
2017-07-01,6.816866714907912,6.842086952579462
2017-07-15,6.844035257349273,6.743678034426032
2017-08-01,6.841756325876922,6.737567502194116
2017-08-15,6.836897821439705,6.749620673390103
2017-09-01,6.829654908914267,6.8468489001110076
2017-09-15,6.853850366589606,6.848159397488766
2017-10-01,6.849756700969181,6.853176764038861
2017-10-15,6.757807827177755,6.849704299002957
2017-11-01,6.76015492002685,6.851787878926591
2017-11-15,6.791068923412794,6.938172336872028
2017-12-01,6.786246224673918,6.933386187411803
2017-12-15,6.79121031440766,6.9242602542843255
2018-01-01,6.779138454451733,6.830563101473199
2018-01-15,6.7576686534123604,6.826550927891677
2018-02-01,6.757639184479301,6.839075902690276
2018-02-15,6.754222657587084,6.909096409377089
2018-03-01,6.747703532595385,6.907241508137412
2018-03-15,6.743758663329377,6.903043764041587
2018-04-01,6.86693289658317,6.8972163678432175
2018-04-15,6.864996435711017,6.8990490718112625
2018-05-01,6.8575456956748635,6.895078169691565
2018-05-15,6.880288890733101,6.809435037407744
2018-06-01,6.836374624684397,6.81028303247135
2018-06-15,6.749535613786933,6.7213571194261155
2018-07-01,6.7365115042288854,6.724852999173771
2018-07-15,6.713384551210295,6.818620079733808
2018-08-01,6.716524247478587,6.819802918443612
2018-08-15,6.703920200722496,6.812001420758136
2018-09-01,6.716058448687252,6.806494489973673
2018-09-15,6.709428704165631,6.662215329684782
2018-10-01,6.768858393200249,6.717607132075606
2018-10-15,6.797002457317225,6.718006211657631
2018-11-01,6.800158323315804,6.800221540532602
2018-11-15,6.787015970707526,6.793248600397694
2018-12-01,6.789886520337739,6.792769087431823
2018-12-15,6.795680491078833,6.792414877194827
2019-01-01,6.788850769199765,6.794825477266455
2019-01-15,6.790506319036384,6.794423815264695
2019-02-01,6.56367290033826,6.709252955693816
2019-02-15,6.594939580727151,6.7010744499692105
2019-03-01,6.6302377046216385,6.787359453208324
2019-03-15,6.641552832590525,6.687521299668765
2019-04-01,6.692003384699462,6.775413748508359
2019-04-15,6.765539538040429,6.768512121403341
2019-05-01,6.762291843417632,6.7725331795303925
2019-05-15,6.76328975523027,6.767813135058409
2019-06-01,6.763797126782395,6.764907859518475
2019-06-15,6.7349348514424365,6.755210672344658
2019-07-01,,6.746615574853573
2019-07-15,,6.737945960721086
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
