Date,Kasese,Soroti
2016-01-01,6.59185124559715,
2016-01-15,6.6156565153423,
2016-02-01,6.538369229238757,
2016-02-15,6.3094171973905935,
2016-03-01,6.343958585768376,
2016-03-15,6.346395025516676,
2016-04-01,6.339563748316634,
2016-04-15,6.368854314887885,
2016-05-01,6.364867492656624,
2016-05-15,6.302427584043952,
2016-06-01,6.308085776465766,
2016-06-15,6.304022708317681,
2016-07-01,6.294245815492255,
2016-07-15,6.267673380011114,
2016-08-01,6.290076460134158,
2016-08-15,6.286970364640864,
2016-09-01,6.28124928085889,
2016-09-15,6.275131015811402,
2016-10-01,6.269905425364633,
2016-10-15,6.2491060871399045,
2016-11-01,6.227078885024721,
2016-11-15,6.294226504471901,
2016-12-01,6.288217806451714,
2016-12-15,6.288004757684856,
2017-01-01,6.287791754298108,
2017-01-15,6.285826489962831,
2017-02-01,,
2017-02-15,,6.372391869941915
2017-03-01,6.279907416560918,6.370640577278522
2017-03-15,6.276007303184382,6.5257701407738695
2017-04-01,6.218606555244162,6.55629087456297
2017-04-15,6.262058753777611,6.620651652486489
2017-05-01,6.257534701020181,6.612455971419808
2017-05-15,6.310628435613145,6.62002426828871
2017-06-01,6.347297581401177,6.561597107918934
2017-06-15,6.3668608091521115,6.006536024298302
2017-07-01,6.369282154496541,6.227102299052104
2017-07-15,6.369988885086579,6.066754399627313
2017-08-01,6.407006548223583,6.062777709467196
2017-08-15,6.403286631758883,6.116445190189492
2017-09-01,,6.083029640271961
2017-09-15,6.395805026332744,6.02178675077425
2017-10-01,6.432204705577433,5.971031784621603
2017-10-15,6.418592104610791,6.033953602043412
2017-11-01,6.362657981567863,6.070356963259788
2017-11-15,6.252072422680107,6.040939431857416
2017-12-01,6.247963754674888,5.976565227858021
2017-12-15,6.15000395148156,6.039056534663201
2018-01-01,6.310346212392294,6.027762768991995
2018-01-15,6.336602604861716,6.036262135538013
2018-02-01,6.147625904162566,6.03517053161397
2018-02-15,6.090058919852007,6.056934684361107
2018-03-01,,6.026148339663316
2018-03-15,,6.02159335596944
2018-04-01,,5.9515600169992435
2018-04-15,,5.882789455730505
2018-05-01,,5.875485673277005
2018-05-15,5.6507205392182005,5.871391901387022
2018-06-01,6.328376524008624,5.864783674282612
2018-06-15,6.299968870908157,5.650923325118823
2018-07-01,6.3294875493514295,5.51894727269941
2018-07-15,6.3329991274991535,5.407377068196114
2018-08-01,6.263107440216855,5.463761278983219
2018-08-15,6.187961368056826,5.444781015087852
2018-09-01,6.22296592281651,5.433142442021197
2018-09-15,6.301859439573603,5.427338120575742
2018-10-01,6.369328020611899,5.529888746837217
2018-10-15,6.228904854325893,5.554323607888483
2018-11-01,6.057161197187559,5.5847254629732115
2018-11-15,6.405194907341884,5.63319648833073
2018-12-01,6.371176185479554,5.6372070103993535
2018-12-15,6.294808393059292,5.639283204288931
2019-01-01,6.328344255623482,5.6565719346482695
2019-01-15,6.287738756600155,5.6821378554229085
2019-02-01,6.204561901601647,5.68966295244802
2019-02-15,6.205810891938681,5.645760982008161
2019-03-01,6.143667001228802,5.634376297180895
2019-03-15,6.235529533008196,5.630509800982303
2019-04-01,6.357432088559859,5.617413138870241
2019-04-15,6.308781135544713,5.694485193435976
2019-05-01,6.341989667879001,5.691277529953199
2019-05-15,6.382780515227405,5.766301865397439
2019-06-01,6.344497805944682,5.833672182178691
2019-06-15,6.368670991956794,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
