Date,Kisumu,Kampala
2016-01-01,6.962333576466893,6.797703299801299
2016-01-15,6.9644286955730585,6.767859774885163
2016-02-01,6.925020739609445,6.777904312992352
2016-02-15,6.916714914225894,6.768072718295499
2016-03-01,6.903102669897625,6.79728365343428
2016-03-15,6.944983520439066,6.801450297836939
2016-04-01,6.944078734159975,6.7803388590375375
2016-04-15,6.959804721936134,6.804630896958932
2016-05-01,6.962469649556401,6.850090250237013
2016-05-15,6.955863003621561,6.854761481672814
2016-06-01,6.802132625838909,6.730229919679549
2016-06-15,6.797132431201746,6.691881727850796
2016-07-01,6.792663010662613,6.71369716557516
2016-07-15,6.738179698461554,6.68255771003577
2016-08-01,6.790578410452024,6.6585445086473545
2016-08-15,6.734416965742569,6.673387277778334
2016-09-01,6.78819965270293,6.669579553199765
2016-09-15,6.732362083233483,6.715641890832525
2016-10-01,6.6109272019424825,6.711029309676086
2016-10-15,6.606750370556886,6.751729402537795
2016-11-01,6.661817556307076,6.732031854731596
2016-11-15,6.713376658101881,6.5989813912322735
2016-12-01,6.707919411616958,6.6429563529729885
2016-12-15,6.700426658395675,6.6996863311358
2017-01-01,6.690153584577086,6.678983140193819
2017-01-15,6.7756642982529165,6.6590830115524895
2017-02-01,6.768181378927941,6.661833739512934
2017-02-15,6.8574173798129365,6.695677712426985
2017-03-01,6.945844058659234,6.775205768889622
2017-03-15,6.846520602884505,6.822795777635917
2017-04-01,6.833333419119588,6.81420691896807
2017-04-15,6.827298231769488,6.830170769542119
2017-05-01,6.828201556120558,6.833619739863409
2017-05-15,6.831905765651529,6.815215125447011
2017-06-01,6.833093794382744,6.792577888072415
2017-06-15,6.840011086199327,6.7891845540846925
2017-07-01,6.842086952579462,6.802313314191814
2017-07-15,6.743678034426032,6.816522870817105
2017-08-01,6.737567502194116,6.8412752096780824
2017-08-15,6.749620673390103,6.823338291654072
2017-09-01,6.8468489001110076,6.828931407134244
2017-09-15,6.848159397488767,6.839175547029991
2017-10-01,6.853176764038861,6.8238649008539705
2017-10-15,6.849704299002957,6.757549329050427
2017-11-01,6.851787878926591,6.746775490723683
2017-11-15,6.938172336872028,6.776112319585729
2017-12-01,6.933386187411803,6.7724008178518655
2017-12-15,6.9242602542843255,6.79121031440766
2018-01-01,6.830563101473199,6.779138454451733
2018-01-15,6.826550927891677,6.7579266180726325
2018-02-01,6.839075902690276,6.757639184479301
2018-02-15,6.909096409377089,6.754222657587084
2018-03-01,6.907241508137412,6.747703532595385
2018-03-15,6.903043764041586,6.744018639932947
2018-04-01,6.8972163678432175,6.829033623992183
2018-04-15,6.8990490718112625,6.839666860321264
2018-05-01,6.895078169691565,6.832085953122172
2018-05-15,6.809435037407744,6.868029940388789
2018-06-01,6.81028303247135,6.836374624684397
2018-06-15,6.7213571194261155,6.749535613786933
2018-07-01,6.724852999173771,6.7365115042288854
2018-07-15,6.818620079733808,6.688202400826429
2018-08-01,6.819802918443612,6.6882933447007735
2018-08-15,6.812001420758136,6.673537436235919
2018-09-01,6.806494489973673,6.702152937991156
2018-09-15,6.662215329684782,6.708640164237795
2018-10-01,6.717607132075606,6.768362238389773
2018-10-15,6.718006211657632,6.784374800449423
2018-11-01,6.800221540532602,6.788292340766275
2018-11-15,6.793248600397694,6.760294935069912
2018-12-01,6.792769087431823,6.7632182732555775
2018-12-15,6.792414877194827,6.795680491078833
2019-01-01,6.794825477266455,6.788850769199765
2019-01-15,6.794423815264695,6.790991638143216
2019-02-01,6.709252955693816,6.611187775945774
2019-02-15,6.7010744499692105,6.603141149840569
2019-03-01,6.787359453208324,6.624840730862728
2019-03-15,6.687521299668765,6.641552832590525
2019-04-01,6.775413748508359,6.678166016494928
2019-04-15,6.768512121403341,6.751718982421796
2019-05-01,6.7725331795303925,6.748201880990163
2019-05-15,6.767813135058409,6.748460022259219
2019-06-01,6.764907859518475,6.736943200844543
2019-06-15,6.755210672344658,6.722714740107661
2019-07-01,6.746615574853573,6.6917576709008335
2019-07-15,6.737945960721086,
2019-08-01,,6.626811125527418
2019-08-15,,6.607035247510162
2019-09-01,,6.608860169954498
2019-09-15,,6.609045953359949
2019-10-01,,6.635017531270527
2019-10-15,,6.630626519223781
2019-11-01,,6.686167394112799
2019-11-15,,6.684163052656274
2019-12-01,,6.71414069027346
2019-12-15,,6.718898737112983
2020-01-01,,6.713530273191666
2020-01-15,,6.714505194170786
2020-02-01,,6.766719854716554
2020-02-15,,6.68541164334852
