Date,Kasese,Busia
2016-01-01,6.59185124559715,5.764507999739491
2016-01-15,6.6156565153423,5.815850960408928
2016-02-01,6.538369229238757,5.8160903260941135
2016-02-15,6.3094171973905935,5.806448445119823
2016-03-01,6.343958585768376,5.827639603586277
2016-03-15,6.346395025516676,5.839762280010722
2016-04-01,6.339563748316634,5.852416110960883
2016-04-15,6.368854314887885,5.891519818002157
2016-05-01,6.364867492656624,5.8954400662502255
2016-05-15,6.302427584043952,5.895209627108374
2016-06-01,6.308085776465766,5.890366685699979
2016-06-15,6.304022708317681,5.976584584563974
2016-07-01,6.294245815492255,6.07626059202922
2016-07-15,6.267673380011114,6.249023760571426
2016-08-01,6.290076460134158,6.131375313739207
2016-08-15,6.286970364640864,5.972457956776333
2016-09-01,6.28124928085889,5.994738168728259
2016-09-15,6.275131015811402,6.10306056731719
2016-10-01,6.269905425364633,6.127008061224102
2016-10-15,6.2491060871399045,6.155051850803804
2016-11-01,6.227078885024721,6.174484605077709
2016-11-15,6.294226504471901,6.326028347632771
2016-12-01,6.288217806451714,6.329039800971969
2016-12-15,6.288004757684856,6.38362410428713
2017-01-01,6.287791754298108,6.375653110089442
2017-01-15,6.285826489962831,6.4748905468227225
2017-02-01,,6.400107322621503
2017-02-15,,6.373163772720497
2017-03-01,6.279907416560918,6.428312865744372
2017-03-15,6.276007303184382,6.48612773134108
2017-04-01,6.218606555244162,6.538927094258442
2017-04-15,6.262058753777611,6.637498511692277
2017-05-01,6.257534701020181,6.56646380708577
2017-05-15,6.310628435613145,6.499702212524387
2017-06-01,6.347297581401177,6.5204710274061055
2017-06-15,6.3668608091521115,6.45342128594408
2017-07-01,6.369282154496541,6.147875887665223
2017-07-15,6.369988885086579,6.134422813773812
2017-08-01,6.407006548223583,6.132119925935866
2017-08-15,6.403286631758883,6.190270656514652
2017-09-01,,6.1470593850057815
2017-09-15,6.395805026332744,6.102659816379745
2017-10-01,6.432204705577433,6.017577582422973
2017-10-15,6.418592104610791,6.117761559315504
2017-11-01,6.362657981567863,6.161731236942874
2017-11-15,6.252072422680107,6.141852672078576
2017-12-01,6.247963754674888,6.099578010211682
2017-12-15,6.15000395148156,6.064110037108751
2018-01-01,6.310346212392294,6.0960416097452885
2018-01-15,6.336602604861716,6.127510807003157
2018-02-01,6.147625904162566,6.113822589139058
2018-02-15,6.090058919852007,6.097590690002236
2018-03-01,,6.058697144701472
2018-03-15,,6.0552807519531155
2018-04-01,,6.014879331904102
2018-04-15,,6.024254976030447
2018-05-01,,5.993815904569477
2018-05-15,5.6507205392182005,5.922066192350289
2018-06-01,6.328376524008624,5.812308424277783
2018-06-15,6.299968870908157,5.79556381494509
2018-07-01,6.3294875493514295,5.766355446013251
2018-07-15,6.3329991274991535,5.521681839476173
2018-08-01,6.263107440216855,5.584806960274418
2018-08-15,6.187961368056826,5.547526173379695
2018-09-01,6.22296592281651,5.60538834682641
2018-09-15,6.301859439573603,5.545121156232126
2018-10-01,6.369328020611899,5.576720046521316
2018-10-15,6.228904854325893,5.659015003414285
2018-11-01,6.057161197187559,5.671736839962841
2018-11-15,6.405194907341884,5.68742664239159
2018-12-01,6.371176185479554,5.682463601987474
2018-12-15,6.294808393059292,5.672569181922398
2019-01-01,6.328344255623482,5.689264296333812
2019-01-15,6.287738756600155,5.7503461054494425
2019-02-01,6.204561901601647,5.7572943533366505
2019-02-15,6.205810891938681,5.731631891282464
2019-03-01,6.143667001228802,5.702550838016614
2019-03-15,6.235529533008196,5.695814899390069
2019-04-01,6.357432088559859,5.731405027473356
2019-04-15,6.308781135544713,5.906407220006222
2019-05-01,6.341989667879001,5.976090159977027
2019-05-15,6.382780515227405,5.916645917103135
2019-06-01,6.344497805944682,5.855813308055905
2019-06-15,6.368670991956794,5.867530673925267
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
