Date,Nairobi,Owino
2016-01-01,6.646389256953784,6.549089386259068
2016-01-15,6.639041435259668,6.577317384946351
2016-02-01,6.687488450843135,6.518566601942577
2016-02-15,6.664819458193112,6.535536160018683
2016-03-01,6.633927826383913,6.677355844837763
2016-03-15,6.635206259414846,6.605846195190644
2016-04-01,6.640537434794652,6.540388189406946
2016-04-15,6.642141817272417,6.552406136343881
2016-05-01,6.668774329881169,6.591873480460989
2016-05-15,6.661404307088801,6.615933575438553
2016-06-01,6.654662809002483,6.449038453929686
2016-06-15,6.6502810538561,6.477066337580395
2016-07-01,6.623821061543903,6.437522699974859
2016-07-15,6.6209496072483445,6.44215294216079
2016-08-01,6.630053253646404,6.436160547191164
2016-08-15,6.616980130539704,6.5423232365565624
2016-09-01,6.617135250433609,6.556107830249778
2016-09-15,6.614026408712523,6.589533478879123
2016-10-01,6.6109272019424825,6.5743119407576085
2016-10-15,6.607061460931148,6.398114045424532
2016-11-01,6.6247541389301885,6.381882860752917
2016-11-15,6.595038221153797,6.43848880487973
2016-12-01,6.608596743147879,6.500073397992073
2016-12-15,6.582504220773498,6.509105407369265
2017-01-01,6.597418561544886,6.6114883655834955
2017-01-15,6.577088911765866,6.61245173027075
2017-02-01,6.5698298857950155,6.607299149439882
2017-02-15,6.564017031985086,6.749134376931457
2017-03-01,6.564431530349914,6.788620214694112
2017-03-15,6.5300176440869455,6.867545437902375
2017-04-01,6.53994365666427,6.861353697393771
2017-04-15,6.526892946567049,6.856648166002482
2017-05-01,6.534979303293161,6.848876293235224
2017-05-15,6.736087842754295,6.515723917055652
2017-06-01,6.73550882888961,6.443179353104459
2017-06-15,6.7449322539958025,6.369176518407709
2017-07-01,6.7472407022661764,6.451225325979993
2017-07-15,6.7431674395719465,6.491195409194483
2017-08-01,6.740124394407893,6.4869349505875125
2017-08-15,6.749620673390103,6.484474118132993
2017-09-01,6.753015007712652,6.516910499473327
2017-09-15,6.755159221021647,6.618651356660965
2017-10-01,6.7583281582099595,6.615360439861219
2017-10-15,6.755414007099377,6.39917401875369
2017-11-01,6.756570373233819,6.382430488835728
2017-11-15,6.753898897589661,6.299680577704196
2017-12-01,6.7509796652411875,6.35930208488863
2017-12-15,6.742619896426794,6.424592157534765
2018-01-01,6.733019947164562,6.413767803545446
2018-01-15,6.721602231451038,6.459265399242641
2018-02-01,6.741763720215278,6.460625784598636
2018-02-15,6.732315032958749,6.566099178177021
2018-03-01,6.721296273593566,6.602245940175688
2018-03-15,,6.620500447784904
2018-04-01,,6.734581445098495
2018-04-15,,6.745720776779637
2018-05-01,6.67596542327674,6.722959450631854
2018-05-15,6.662211052945607,6.386170099468836
2018-06-01,6.611632335676067,6.1455842682179815
2018-06-15,6.559014468684269,6.172172096591272
2018-07-01,6.423072002342487,6.157100877128949
2018-07-15,6.368775520489862,6.153768763274872
2018-08-01,6.212608833725317,6.156908459543163
2018-08-15,6.287445604180244,6.140722794578813
2018-09-01,6.325240913570056,6.223818801333028
2018-09-15,6.356079930192133,6.216999989388145
2018-10-01,6.360072958526515,6.309119362566396
2018-10-15,6.317042236430258,6.223781017326023
2018-11-01,6.337217387275688,6.137826569887441
2018-11-15,6.2671555045009155,6.1471133046663935
2018-12-01,6.291762505427867,6.148032634165344
2018-12-15,6.343526241085852,6.154407268815136
2019-01-01,6.2697933143828655,6.2906039276406345
2019-01-15,6.267272555535977,6.373813365371398
2019-02-01,6.427517382429762,6.418604935085321
2019-02-15,6.452880812929591,6.455001152190991
2019-03-01,6.390234301025007,6.445987944428703
2019-03-15,6.395011114949591,6.546800532856458
2019-04-01,6.4290748139002885,6.602490322579463
2019-04-15,6.492465994366607,6.626953374754281
2019-05-01,6.5695470856411635,6.680488463777335
2019-05-15,6.541147052972701,6.671897308154846
2019-06-01,6.475104252705267,6.492660443927318
2019-06-15,6.497597010635765,6.558265308079828
2019-07-01,6.312201996789736,
2019-07-15,6.08443047547822,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
